file,R2,r,trait,cs,mode,cv,sp,type
asi_real_a2_cv5_sp2.ghatREL1,0.589619290032735,0.767866713715821,asi,real,a2,cv5,sp2.ghatREL1,real
asi_real_a2_cv5_sp3.ghatREL1,0.165257394814935,0.406518627881842,asi,real,a2,cv5,sp3.ghatREL1,real
asi_real_a2_cv5_sp4.ghatREL1,0.236070934983809,0.485871315251074,asi,real,a2,cv5,sp4.ghatREL1,real
asi_real_a2_cv5_sp5.ghatREL1,0.0605952010025283,0.246160925011522,asi,real,a2,cv5,sp5.ghatREL1,real
asi_real_a2_cv5_sp6.ghatREL1,0.00263349593127347,0.0513175986506916,asi,real,a2,cv5,sp6.ghatREL1,real
asi_real_a2_cv5_sp7.ghatREL1,0.240422922918364,0.490329402461614,asi,real,a2,cv5,sp7.ghatREL1,real
asi_real_a2_cv5_sp8.ghatREL1,2.43991322453464e-05,0.00493954777741307,asi,real,a2,cv5,sp8.ghatREL1,real
asi_real_a2_cv5_sp9.ghatREL1,0.101084902228638,0.317938519573577,asi,real,a2,cv5,sp9.ghatREL1,real
asi_real_d2_cv1_sp10.ghatREL1,0.304750260897986,0.552041901396973,asi,real,d2,cv1,sp10.ghatREL1,real
asi_real_d2_cv1_sp1.ghatREL1,0.0307840265169213,0.175453773162395,asi,real,d2,cv1,sp1.ghatREL1,real
asi_real_d2_cv1_sp2.ghatREL1,0.403981697123221,0.635595545235507,asi,real,d2,cv1,sp2.ghatREL1,real
asi_real_d2_cv1_sp3.ghatREL1,0.126247058149462,-0.35531262030705,asi,real,d2,cv1,sp3.ghatREL1,real
asi_real_d2_cv1_sp4.ghatREL1,0.379439321064709,0.615986461754404,asi,real,d2,cv1,sp4.ghatREL1,real
asi_real_d2_cv1_sp5.ghatREL1,0.151081069283316,0.388691483420097,asi,real,d2,cv1,sp5.ghatREL1,real
asi_real_d2_cv1_sp6.ghatREL1,0.0374489246902304,0.193517246492994,asi,real,d2,cv1,sp6.ghatREL1,real
asi_real_d2_cv1_sp7.ghatREL1,0.132151575279695,0.363526581256027,asi,real,d2,cv1,sp7.ghatREL1,real
asi_real_d2_cv1_sp8.ghatREL1,0.383382399615094,0.619178810696146,asi,real,d2,cv1,sp8.ghatREL1,real
asi_real_d2_cv1_sp9.ghatREL1,0.204585226818927,0.452310984632175,asi,real,d2,cv1,sp9.ghatREL1,real
