frq,totvar,V1,nvar,sample
0.1,0.024592417609,6681,0.0368094860185601,0
0.15,0.036480274096,10238,0.0356322270912288,0
0.2,0.060499812151,12953,0.0467071814645256,0
0.25,0.137810031517,32886,0.041905379650003,0
0.3,0.022111659957,4184,0.0528481356524857,0
0.35,0.159304303586,35192,0.0452671924261196,0
0.4,0.151325344993,31881,0.0474656833201593,0
0.45,0.069352507106,12086,0.0573825145672679,0
0.5,0.075563666692,15943,0.0473961404327918,0
0.1,0.023264606862,6531,0.0356218142122186,1
0.15,0.039552334983,11130,0.0355366891132075,1
0.2,0.06178864715,13237,0.0466787392536073,1
0.25,0.146396082737,34744,0.0421356443521183,1
0.3,0.020615471381,4047,0.0509401319026439,1
0.35,0.164310657712,35388,0.0464311794144908,1
0.4,0.150265615557,30633,0.0490535094691999,1
0.45,0.061870197255,11289,0.0548057376694127,1
0.5,0.073048897235,14833,0.0492475542607699,1
0.1,0.023467829214,6559,0.0357795841042842,2
0.15,0.041198562578,12029,0.0342493661800648,2
0.2,0.059961815912,13029,0.0460218097413462,2
0.25,0.14643665054,34948,0.0419012963660295,2
0.3,0.020953032935,4054,0.0516848370374938,2
0.35,0.1648949436,35544,0.0463917802160702,2
0.4,0.150796092142,30796,0.0489661294135602,2
0.45,0.062743626948,11370,0.0551834889604222,2
0.5,0.073615008599,14762,0.0498679099031297,2
0.1,0.023482016889,6574,0.0357195267554001,3
0.15,0.039605954242,11118,0.0356232723889189,3
0.2,0.061057086805,13118,0.0465445089228541,3
0.25,0.146210225645,34848,0.0419565615372475,3
0.3,0.020265198721,3966,0.0510973240569844,3
0.35,0.165460827897,35513,0.0465916221938445,3
0.4,0.149122865297,30729,0.048528382081096,3
0.45,0.063022673811,11221,0.0561649352205686,3
0.5,0.073394175567,14834,0.0494769957981664,3
0.1,0.024055156071,6692,0.0359461387791393,4
0.15,0.039539999944,11123,0.0355479636285175,4
0.2,0.060593496639,13183,0.0459633593559888,4
0.25,0.145508230331,34575,0.0420848099294288,4
0.3,0.020446281243,4012,0.0509628146635095,4
0.35,0.165061234738,35341,0.0467053096228177,4
0.4,0.151122668707,30954,0.0488216930629321,4
0.45,0.061916939053,11261,0.0549835174966699,4
0.5,0.073564060368,15063,0.0488375890380402,4
0.1,0.023637702818,6557,0.0360495696477047,5
0.15,0.039680863683,11253,0.0352624755025327,5
0.2,0.060961697245,13107,0.0465107936560616,5
0.25,0.145886493021,34905,0.0417952995333047,5
0.3,0.020669653319,4046,0.0510866369723183,5
0.35,0.165953951763,35704,0.0464804928755882,5
0.4,0.149415426147,30855,0.0484250287301896,5
0.45,0.063551063643,11316,0.0561603602359491,5
0.5,0.073735335187,15000,0.0491568901246667,5
0.1,0.024078830151,6733,0.0357624092544185,6
0.15,0.040263306515,11363,0.0354336940200651,6
0.2,0.061451629016,13172,0.0466532257941087,6
0.25,0.145617748111,34817,0.0418237493497429,6
0.3,0.020052421739,3982,0.0503576638347564,6
0.35,0.165384136327,35649,0.0463923634118769,6
0.4,0.148709644947,30646,0.0485249771412256,6
0.45,0.063577352209,11372,0.0559069224489975,6
0.5,0.07359912059,14936,0.0492763260511516,6
0.1,0.024013155419,6679,0.0359532196721066,7
0.15,0.03973392012,11190,0.0355084183378016,7
0.2,0.06084072529,13110,0.0464078758886346,7
0.25,0.145198950023,34798,0.0417262342729467,7
0.3,0.020592241136,4022,0.0511990082943809,7
0.35,0.166345559262,35641,0.0466725286220925,7
0.4,0.149408165578,30764,0.048565910017553,7
0.45,0.062989208159,11354,0.0554775481407433,7
0.5,0.074188608525,15021,0.0493899264529659,7
0.1,0.023973303859,6677,0.0359043041171185,8
0.15,0.040334304956,11380,0.0354431502249561,8
0.2,0.061271136779,13153,0.0465833929742264,8
0.25,0.146332675426,34731,0.0421331592600271,8
0.3,0.020520571932,4028,0.0509448161171797,8
0.35,0.164264493786,35553,0.046202709697072,8
0.4,0.150439447476,30831,0.048794864738737,8
0.45,0.063538527802,11333,0.0560650558563487,8
0.5,0.072643324569,14894,0.0487735494621995,8
0.1,0.023965891675,6655,0.0360118582644628,9
0.15,0.039935601416,11291,0.0353694105181118,9
0.2,0.061496082834,13218,0.0465244990422152,9
0.25,0.145902848183,34819,0.0419032276007352,9
0.3,0.020582460064,4061,0.0506832308889436,9
0.35,0.163726879914,35244,0.0464552490960163,9
0.4,0.149434790337,30668,0.0487266174308726,9
0.45,0.063253349462,11378,0.0555926783810863,9
0.5,0.073910206261,15043,0.0491326239852423,9
0.1,0.02356644549,6509,0.0362059386848978,10
0.15,0.039459890872,11166,0.0353393255167473,10
0.2,0.060411018521,12945,0.0466674534731557,10
0.25,0.145668170889,34505,0.0422165398895812,10
0.3,0.019858597418,3934,0.0504794037061515,10
0.35,0.164021038594,34759,0.0471880775033804,10
0.4,0.148865684516,30744,0.0484210527309394,10
0.45,0.064507988287,11515,0.0560208322075554,10
0.5,0.073450479715,14814,0.0495818008066694,10
