file,R2,r,trait,cs,mode,sp,cv
asi_cs0_a2_sp8_cv3.ghatREL1,0.031385576537763,0.1771597486388,asi,cs0,a2,sp8,cv3.ghatREL1
asi_cs0_a2_sp8_cv4.ghatREL1,0.270909636095453,0.520489804026412,asi,cs0,a2,sp8,cv4.ghatREL1
asi_cs0_a2_sp8_cv5.ghatREL1,0.367604400694806,0.606303884776278,asi,cs0,a2,sp8,cv5.ghatREL1
asi_cs0_a2_sp9_cv1.ghatREL1,0.437131608274209,0.66115929115018,asi,cs0,a2,sp9,cv1.ghatREL1
asi_cs0_a2_sp9_cv2.ghatREL1,0.456204771650065,0.675429323948898,asi,cs0,a2,sp9,cv2.ghatREL1
asi_cs0_a2_sp9_cv3.ghatREL1,0.831909367741916,0.912090657633284,asi,cs0,a2,sp9,cv3.ghatREL1
asi_cs0_a2_sp9_cv4.ghatREL1,0.478934775448502,0.692051136440438,asi,cs0,a2,sp9,cv4.ghatREL1
asi_cs0_a2_sp9_cv5.ghatREL1,0.142316971587129,0.377249216814467,asi,cs0,a2,sp9,cv5.ghatREL1
asi_cs0_d2_sp10_cv1.ghatREL1,0.53009188970655,0.728074096302395,asi,cs0,d2,sp10,cv1.ghatREL1
asi_cs0_d2_sp10_cv2.ghatREL1,0.503519027186561,0.709590746266157,asi,cs0,d2,sp10,cv2.ghatREL1
asi_cs0_d2_sp10_cv3.ghatREL1,0.295702450825075,0.543785298463534,asi,cs0,d2,sp10,cv3.ghatREL1
asi_cs0_d2_sp10_cv4.ghatREL1,0.581458397832259,0.76253419453311,asi,cs0,d2,sp10,cv4.ghatREL1
asi_cs0_d2_sp10_cv5.ghatREL1,0.159081645237403,0.39885040458473,asi,cs0,d2,sp10,cv5.ghatREL1
asi_cs0_d2_sp1_cv1.ghatREL1,0.543731530070872,0.737381536296422,asi,cs0,d2,sp1,cv1.ghatREL1
asi_cs0_d2_sp1_cv2.ghatREL1,0.249121239086072,0.499120465505144,asi,cs0,d2,sp1,cv2.ghatREL1
asi_cs0_d2_sp1_cv3.ghatREL1,0.428085061164898,0.654282096014325,asi,cs0,d2,sp1,cv3.ghatREL1
asi_cs0_d2_sp1_cv4.ghatREL1,0.549132307692027,0.741034619766193,asi,cs0,d2,sp1,cv4.ghatREL1
asi_cs0_d2_sp1_cv5.ghatREL1,0.206168486012183,0.454057800298798,asi,cs0,d2,sp1,cv5.ghatREL1
asi_cs0_d2_sp2_cv1.ghatREL1,0.383399959546319,0.619192990550053,asi,cs0,d2,sp2,cv1.ghatREL1
asi_cs0_d2_sp2_cv2.ghatREL1,0.500251553742393,0.707284634176647,asi,cs0,d2,sp2,cv2.ghatREL1
asi_cs0_d2_sp2_cv3.ghatREL1,0.78467808887677,0.885820573748866,asi,cs0,d2,sp2,cv3.ghatREL1
asi_cs0_d2_sp2_cv4.ghatREL1,0.00962715194708629,0.0981180510766816,asi,cs0,d2,sp2,cv4.ghatREL1
asi_cs0_d2_sp2_cv5.ghatREL1,0.651950492289404,0.807434512694004,asi,cs0,d2,sp2,cv5.ghatREL1
asi_cs0_d2_sp3_cv1.ghatREL1,0.135345177831332,0.36789288907416,asi,cs0,d2,sp3,cv1.ghatREL1
asi_cs0_d2_sp3_cv2.ghatREL1,0.863826423474242,0.929422629095204,asi,cs0,d2,sp3,cv2.ghatREL1
asi_cs0_d2_sp3_cv3.ghatREL1,0.14826883551732,0.385056925034883,asi,cs0,d2,sp3,cv3.ghatREL1
asi_cs0_d2_sp3_cv4.ghatREL1,0.142741231621723,0.377811105741643,asi,cs0,d2,sp3,cv4.ghatREL1
asi_cs0_d2_sp3_cv5.ghatREL1,0.756556212808925,0.86980239871417,asi,cs0,d2,sp3,cv5.ghatREL1
asi_cs0_d2_sp4_cv1.ghatREL1,0.0532363334065099,0.230730001097625,asi,cs0,d2,sp4,cv1.ghatREL1
asi_cs0_d2_sp4_cv2.ghatREL1,0.40088776362448,0.633156981817684,asi,cs0,d2,sp4,cv2.ghatREL1
asi_cs0_d2_sp4_cv3.ghatREL1,0.249566158631931,0.499565970250107,asi,cs0,d2,sp4,cv3.ghatREL1
asi_cs0_d2_sp4_cv4.ghatREL1,0.715686272233452,0.845982430215576,asi,cs0,d2,sp4,cv4.ghatREL1
asi_cs0_d2_sp4_cv5.ghatREL1,0.577122539380531,0.759685816229664,asi,cs0,d2,sp4,cv5.ghatREL1
asi_cs0_d2_sp5_cv1.ghatREL1,0.473243150572173,0.687926704360408,asi,cs0,d2,sp5,cv1.ghatREL1
asi_cs0_d2_sp5_cv2.ghatREL1,0.367194285932527,0.605965581475158,asi,cs0,d2,sp5,cv2.ghatREL1
asi_cs0_d2_sp5_cv3.ghatREL1,0.347755195793633,0.589707720649504,asi,cs0,d2,sp5,cv3.ghatREL1
asi_cs0_d2_sp5_cv4.ghatREL1,0.406674045316809,0.637710000954046,asi,cs0,d2,sp5,cv4.ghatREL1
asi_cs0_d2_sp5_cv5.ghatREL1,0.391137257152024,0.625409671457057,asi,cs0,d2,sp5,cv5.ghatREL1
asi_cs0_d2_sp6_cv1.ghatREL1,0.547118582858296,0.739674646623971,asi,cs0,d2,sp6,cv1.ghatREL1
asi_cs0_d2_sp6_cv2.ghatREL1,0.44708672795257,0.66864544263202,asi,cs0,d2,sp6,cv2.ghatREL1
asi_cs0_d2_sp6_cv3.ghatREL1,0.386319457224137,0.621546021807024,asi,cs0,d2,sp6,cv3.ghatREL1
asi_cs0_d2_sp6_cv4.ghatREL1,0.343712845492967,0.586270283651634,asi,cs0,d2,sp6,cv4.ghatREL1
asi_cs0_d2_sp6_cv5.ghatREL1,0.0803392525925735,0.283441797539766,asi,cs0,d2,sp6,cv5.ghatREL1
asi_cs0_d2_sp7_cv1.ghatREL1,0.305061180725366,0.55232343850806,asi,cs0,d2,sp7,cv1.ghatREL1
asi_cs0_d2_sp7_cv2.ghatREL1,0.267388871597916,0.517096578598153,asi,cs0,d2,sp7,cv2.ghatREL1
asi_cs0_d2_sp7_cv3.ghatREL1,0.655621147064414,0.809704357814884,asi,cs0,d2,sp7,cv3.ghatREL1
asi_cs0_d2_sp7_cv4.ghatREL1,0.46216325989858,0.679825904109707,asi,cs0,d2,sp7,cv4.ghatREL1
asi_cs0_d2_sp7_cv5.ghatREL1,0.380726997928273,0.617030791718106,asi,cs0,d2,sp7,cv5.ghatREL1
asi_cs0_d2_sp8_cv1.ghatREL1,0.335624081195451,0.579330718325423,asi,cs0,d2,sp8,cv1.ghatREL1
asi_cs0_d2_sp8_cv2.ghatREL1,0.529714442902624,0.72781484108434,asi,cs0,d2,sp8,cv2.ghatREL1
asi_cs0_d2_sp8_cv3.ghatREL1,5.72222563207901e-05,-0.00756453939911678,asi,cs0,d2,sp8,cv3.ghatREL1
asi_cs0_d2_sp8_cv4.ghatREL1,0.140272068850991,0.374529129509296,asi,cs0,d2,sp8,cv4.ghatREL1
asi_cs0_d2_sp8_cv5.ghatREL1,0.175737579734898,0.419210662716131,asi,cs0,d2,sp8,cv5.ghatREL1
asi_cs0_d2_sp9_cv1.ghatREL1,0.37564244257978,0.612896763394766,asi,cs0,d2,sp9,cv1.ghatREL1
asi_cs0_d2_sp9_cv2.ghatREL1,0.245973235644146,0.495956888896753,asi,cs0,d2,sp9,cv2.ghatREL1
asi_cs0_d2_sp9_cv3.ghatREL1,0.734385605017627,0.856963012631016,asi,cs0,d2,sp9,cv3.ghatREL1
asi_cs0_d2_sp9_cv4.ghatREL1,0.448545174667141,0.669735152629113,asi,cs0,d2,sp9,cv4.ghatREL1
asi_cs0_d2_sp9_cv5.ghatREL1,0.121722784690983,0.348887925688154,asi,cs0,d2,sp9,cv5.ghatREL1
asi_cs10_a2_sp10_cv1.ghatREL1,0.52559245901681,0.724977557595274,asi,cs10,a2,sp10,cv1.ghatREL1
asi_cs10_a2_sp10_cv2.ghatREL1,0.439730331277052,0.663121656468141,asi,cs10,a2,sp10,cv2.ghatREL1
asi_cs10_a2_sp10_cv3.ghatREL1,0.454983097180584,0.674524348841896,asi,cs10,a2,sp10,cv3.ghatREL1
asi_cs10_a2_sp10_cv4.ghatREL1,0.769347978941671,0.877124836577822,asi,cs10,a2,sp10,cv4.ghatREL1
asi_cs10_a2_sp10_cv5.ghatREL1,0.328022899993785,0.572732834743901,asi,cs10,a2,sp10,cv5.ghatREL1
asi_cs10_a2_sp1_cv1.ghatREL1,0.625107390834968,0.79063733205242,asi,cs10,a2,sp1,cv1.ghatREL1
asi_cs10_a2_sp1_cv2.ghatREL1,0.311314071401538,0.557955259318826,asi,cs10,a2,sp1,cv2.ghatREL1
asi_cs10_a2_sp1_cv3.ghatREL1,0.425927166745265,0.652630957544358,asi,cs10,a2,sp1,cv3.ghatREL1
asi_cs10_a2_sp1_cv4.ghatREL1,0.691551406872591,0.831595699166723,asi,cs10,a2,sp1,cv4.ghatREL1
asi_cs10_a2_sp1_cv5.ghatREL1,0.53769618418315,0.733277699226664,asi,cs10,a2,sp1,cv5.ghatREL1
asi_cs10_a2_sp2_cv1.ghatREL1,0.392885221507802,0.6268055691423,asi,cs10,a2,sp2,cv1.ghatREL1
asi_cs10_a2_sp2_cv2.ghatREL1,0.649979301787085,0.806212938240937,asi,cs10,a2,sp2,cv2.ghatREL1
asi_cs10_a2_sp2_cv3.ghatREL1,0.752468392778663,0.867449360354057,asi,cs10,a2,sp2,cv3.ghatREL1
asi_cs10_a2_sp2_cv4.ghatREL1,0.205260932818922,0.45305731736605,asi,cs10,a2,sp2,cv4.ghatREL1
asi_cs10_a2_sp2_cv5.ghatREL1,0.745892692944416,0.863650793402297,asi,cs10,a2,sp2,cv5.ghatREL1
asi_cs10_a2_sp3_cv1.ghatREL1,0.15108756607739,0.388699840593471,asi,cs10,a2,sp3,cv1.ghatREL1
asi_cs10_a2_sp3_cv2.ghatREL1,0.828072267157012,0.909984762046603,asi,cs10,a2,sp3,cv2.ghatREL1
asi_cs10_a2_sp3_cv3.ghatREL1,0.145630099514355,0.381615119609215,asi,cs10,a2,sp3,cv3.ghatREL1
asi_cs10_a2_sp3_cv4.ghatREL1,0.244815739435687,0.494788580542929,asi,cs10,a2,sp3,cv4.ghatREL1
asi_cs10_a2_sp3_cv5.ghatREL1,0.62268891986637,0.789106405921515,asi,cs10,a2,sp3,cv5.ghatREL1
asi_cs10_a2_sp4_cv1.ghatREL1,0.293991169520679,0.542209525479476,asi,cs10,a2,sp4,cv1.ghatREL1
asi_cs10_a2_sp4_cv2.ghatREL1,0.5525957991027,0.743367876022834,asi,cs10,a2,sp4,cv2.ghatREL1
asi_cs10_a2_sp4_cv3.ghatREL1,0.236424773088134,0.486235306295352,asi,cs10,a2,sp4,cv3.ghatREL1
asi_cs10_a2_sp4_cv4.ghatREL1,0.627969339750446,0.792445165137908,asi,cs10,a2,sp4,cv4.ghatREL1
asi_cs10_a2_sp4_cv5.ghatREL1,0.728304699747247,0.853407698434486,asi,cs10,a2,sp4,cv5.ghatREL1
asi_cs10_a2_sp5_cv1.ghatREL1,0.421405646974721,0.649157644162588,asi,cs10,a2,sp5,cv1.ghatREL1
asi_cs10_a2_sp5_cv2.ghatREL1,0.610235861407105,0.78117594779096,asi,cs10,a2,sp5,cv2.ghatREL1
asi_cs10_a2_sp5_cv3.ghatREL1,0.472789546949097,0.687596936401768,asi,cs10,a2,sp5,cv3.ghatREL1
asi_cs10_a2_sp5_cv4.ghatREL1,0.555446181413224,0.745282618483233,asi,cs10,a2,sp5,cv4.ghatREL1
asi_cs10_a2_sp5_cv5.ghatREL1,0.410279347636885,0.640530520456976,asi,cs10,a2,sp5,cv5.ghatREL1
asi_cs10_a2_sp6_cv1.ghatREL1,0.700126126562607,0.83673539817711,asi,cs10,a2,sp6,cv1.ghatREL1
asi_cs10_a2_sp6_cv2.ghatREL1,0.46148688797465,0.679328262311123,asi,cs10,a2,sp6,cv2.ghatREL1
asi_cs10_a2_sp6_cv3.ghatREL1,0.627475950948521,0.792133796115606,asi,cs10,a2,sp6,cv3.ghatREL1
asi_cs10_a2_sp6_cv4.ghatREL1,0.619199964961265,0.786892600652252,asi,cs10,a2,sp6,cv4.ghatREL1
asi_cs10_a2_sp6_cv5.ghatREL1,0.292406314440087,0.540746072052389,asi,cs10,a2,sp6,cv5.ghatREL1
asi_cs10_a2_sp7_cv1.ghatREL1,0.468911665274963,0.684771250327409,asi,cs10,a2,sp7,cv1.ghatREL1
asi_cs10_a2_sp7_cv2.ghatREL1,0.311586818606162,0.558199622542117,asi,cs10,a2,sp7,cv2.ghatREL1
asi_cs10_a2_sp7_cv3.ghatREL1,0.640623070575456,0.800389324376242,asi,cs10,a2,sp7,cv3.ghatREL1
asi_cs10_a2_sp7_cv4.ghatREL1,0.509972782143603,0.714123786288906,asi,cs10,a2,sp7,cv4.ghatREL1
