file,R2,r
DTP_gerp29k_s10.ghatREL1,0.91489045114868,0.956499059669522
DTP_gerp29k_s11.ghatREL1,0.966022388965726,0.982864379742051
DTP_gerp29k_s12.ghatREL1,0.913622086266644,0.955835805076711
DTP_gerp29k_s1.ghatREL1,0.974772229712737,0.987305540201582
DTP_gerp29k_s2.ghatREL1,0.897442891211938,0.947334624729793
DTP_gerp29k_s3.ghatREL1,0.827303539194624,0.909562278898275
DTP_gerp29k_s4.ghatREL1,0.976455992175145,0.988157878162769
DTP_gerp29k_s5.ghatREL1,0.959532618468678,0.979557358437309
DTP_gerp29k_s6.ghatREL1,0.935166807920678,0.967040230766372
DTP_gerp29k_s7.ghatREL1,0.950425651448083,0.974897764613338
DTP_gerp29k_s8.ghatREL1,0.941098602398325,0.970102366968726
DTP_gerp29k_s9.ghatREL1,0.900082307235307,0.948726676780677
DTP_snp29k10_s10.ghatREL1,0.914927050115892,0.956518191210127
DTP_snp29k10_s11.ghatREL1,0.966267780976028,0.982989206947883
DTP_snp29k10_s12.ghatREL1,0.913735132540059,0.95589493802408
DTP_snp29k10_s1.ghatREL1,0.974857370271538,0.987348656894584
DTP_snp29k10_s2.ghatREL1,0.897625306430242,0.947430897971056
DTP_snp29k10_s3.ghatREL1,0.827203197260216,0.909507117762261
DTP_snp29k10_s4.ghatREL1,0.976533948479524,0.98819732264337
DTP_snp29k10_s5.ghatREL1,0.959282501886378,0.979429681950868
DTP_snp29k10_s6.ghatREL1,0.93529456623215,0.967106284868499
DTP_snp29k10_s7.ghatREL1,0.950179238740882,0.974771377678316
DTP_snp29k10_s8.ghatREL1,0.941267346837395,0.970189335561567
DTP_snp29k10_s9.ghatREL1,0.899831033029408,0.948594240457641
DTP_snp29k1_s10.ghatREL1,0.914747628456105,0.956424397668788
DTP_snp29k1_s11.ghatREL1,0.966291153191437,0.983001095213753
DTP_snp29k1_s12.ghatREL1,0.913721628340957,0.955887874356065
DTP_snp29k1_s1.ghatREL1,0.974933679492667,0.987387299641163
DTP_snp29k1_s2.ghatREL1,0.897731449092027,0.94748691235923
DTP_snp29k1_s3.ghatREL1,0.827243757732988,0.90952941554025
DTP_snp29k1_s4.ghatREL1,0.976594092310662,0.988227753258662
DTP_snp29k1_s5.ghatREL1,0.959320143480855,0.979448897840441
DTP_snp29k1_s6.ghatREL1,0.935309309358829,0.967113907127195
DTP_snp29k1_s7.ghatREL1,0.950288614491296,0.974827479347652
DTP_snp29k1_s8.ghatREL1,0.941236135572865,0.970173250287218
DTP_snp29k1_s9.ghatREL1,0.89977486185852,0.948564632409685
DTP_snp29k2_s10.ghatREL1,0.91490158121388,0.956504877778404
DTP_snp29k2_s11.ghatREL1,0.966249916103826,0.982980119892476
DTP_snp29k2_s12.ghatREL1,0.913751595994013,0.955903549524749
DTP_snp29k2_s1.ghatREL1,0.97485087066111,0.987345365442665
DTP_snp29k2_s2.ghatREL1,0.897515153203476,0.947372763595975
DTP_snp29k2_s3.ghatREL1,0.827182134020575,0.909495538208173
DTP_snp29k2_s4.ghatREL1,0.976530303615938,0.988195478443379
DTP_snp29k2_s5.ghatREL1,0.959363332970896,0.979470945444986
DTP_snp29k2_s6.ghatREL1,0.935302849930293,0.967110567582783
DTP_snp29k2_s7.ghatREL1,0.950257922708562,0.974811737059296
DTP_snp29k2_s8.ghatREL1,0.941212629280626,0.970161135729847
DTP_snp29k2_s9.ghatREL1,0.89995161313386,0.948657795590096
DTP_snp29k3_s10.ghatREL1,0.914821723211622,0.956463132175842
DTP_snp29k3_s11.ghatREL1,0.966288987158583,0.982999993468252
DTP_snp29k3_s12.ghatREL1,0.913831130233522,0.955945150222293
DTP_snp29k3_s1.ghatREL1,0.974903432327618,0.987371982754026
DTP_snp29k3_s2.ghatREL1,0.897668963058241,0.947453937169634
DTP_snp29k3_s3.ghatREL1,0.827224182170681,0.909518654108139
DTP_snp29k3_s4.ghatREL1,0.976544662655626,0.988202743699706
DTP_snp29k3_s5.ghatREL1,0.959279095145943,0.979427942804341
DTP_snp29k3_s6.ghatREL1,0.935304611953639,0.967111478555414
