file,R2,r,trait,mode,cv,sp
asi_1a2_cv5_sp6.ghatREL1,0.209568781765791,0.457786830048431,asi,1a2,cv5,sp6.ghatREL1
asi_1a2_cv5_sp7.ghatREL1,0.622574773229421,0.789034076088873,asi,1a2,cv5,sp7.ghatREL1
asi_1a2_cv5_sp8.ghatREL1,0.247859583040885,0.497854981938401,asi,1a2,cv5,sp8.ghatREL1
asi_1a2_cv5_sp9.ghatREL1,0.370449670762037,0.608645767883123,asi,1a2,cv5,sp9.ghatREL1
asi_1d2_cv1_sp10.ghatREL1,0.457826915836178,0.676629082907451,asi,1d2,cv1,sp10.ghatREL1
asi_1d2_cv1_sp1.ghatREL1,0.186423975468018,0.431768428058395,asi,1d2,cv1,sp1.ghatREL1
asi_1d2_cv1_sp2.ghatREL1,0.490879901259925,0.70062821900058,asi,1d2,cv1,sp2.ghatREL1
asi_1d2_cv1_sp3.ghatREL1,0.253709038620921,0.503695382767125,asi,1d2,cv1,sp3.ghatREL1
asi_1d2_cv1_sp4.ghatREL1,0.438302156117758,0.662043923103111,asi,1d2,cv1,sp4.ghatREL1
asi_1d2_cv1_sp5.ghatREL1,0.563354201781527,0.750569251822593,asi,1d2,cv1,sp5.ghatREL1
asi_1d2_cv1_sp6.ghatREL1,0.267366296119806,0.517074749064201,asi,1d2,cv1,sp6.ghatREL1
asi_1d2_cv1_sp7.ghatREL1,0.133288541429502,0.365087032677829,asi,1d2,cv1,sp7.ghatREL1
asi_1d2_cv1_sp8.ghatREL1,0.48673343859044,0.697662840196065,asi,1d2,cv1,sp8.ghatREL1
asi_1d2_cv1_sp9.ghatREL1,0.222633322002221,0.471840356478991,asi,1d2,cv1,sp9.ghatREL1
asi_1d2_cv2_sp10.ghatREL1,0.602695837242457,0.77633487442112,asi,1d2,cv2,sp10.ghatREL1
asi_1d2_cv2_sp1.ghatREL1,0.488525038525288,0.698945662069154,asi,1d2,cv2,sp1.ghatREL1
asi_1d2_cv2_sp2.ghatREL1,0.26758308961337,0.5172843411639,asi,1d2,cv2,sp2.ghatREL1
asi_1d2_cv2_sp3.ghatREL1,0.104879067191777,0.323850377785448,asi,1d2,cv2,sp3.ghatREL1
asi_1d2_cv2_sp4.ghatREL1,0.123223070557568,0.35103143813278,asi,1d2,cv2,sp4.ghatREL1
asi_1d2_cv2_sp5.ghatREL1,0.103717810983898,0.322052497248349,asi,1d2,cv2,sp5.ghatREL1
asi_1d2_cv2_sp6.ghatREL1,0.355990594398892,0.596649473643354,asi,1d2,cv2,sp6.ghatREL1
asi_1d2_cv2_sp7.ghatREL1,0.353398006396636,0.594472881128009,asi,1d2,cv2,sp7.ghatREL1
asi_1d2_cv2_sp8.ghatREL1,0.204507550568435,0.452225110501878,asi,1d2,cv2,sp8.ghatREL1
asi_1d2_cv2_sp9.ghatREL1,0.287363790501004,0.536063233677711,asi,1d2,cv2,sp9.ghatREL1
asi_1d2_cv3_sp10.ghatREL1,0.0899447935469064,0.29990797513055,asi,1d2,cv3,sp10.ghatREL1
asi_1d2_cv3_sp1.ghatREL1,0.150488027181294,0.387927863373197,asi,1d2,cv3,sp1.ghatREL1
asi_1d2_cv3_sp2.ghatREL1,0.460856110020553,0.678863837614402,asi,1d2,cv3,sp2.ghatREL1
asi_1d2_cv3_sp3.ghatREL1,0.674972629486788,0.821567178925003,asi,1d2,cv3,sp3.ghatREL1
asi_1d2_cv3_sp4.ghatREL1,0.327863942362649,0.572594046740489,asi,1d2,cv3,sp4.ghatREL1
asi_1d2_cv3_sp5.ghatREL1,0.477345458391444,0.690901916621632,asi,1d2,cv3,sp5.ghatREL1
asi_1d2_cv3_sp6.ghatREL1,0.56008888120409,0.748390861251051,asi,1d2,cv3,sp6.ghatREL1
asi_1d2_cv3_sp7.ghatREL1,0.475681882463194,0.689696949727338,asi,1d2,cv3,sp7.ghatREL1
asi_1d2_cv3_sp8.ghatREL1,0.28915983896506,0.537735844969498,asi,1d2,cv3,sp8.ghatREL1
asi_1d2_cv3_sp9.ghatREL1,0.303278860327194,0.550707599663554,asi,1d2,cv3,sp9.ghatREL1
asi_1d2_cv4_sp10.ghatREL1,0.325668117702859,0.570673389692265,asi,1d2,cv4,sp10.ghatREL1
asi_1d2_cv4_sp1.ghatREL1,0.443187021901989,0.665722931783178,asi,1d2,cv4,sp1.ghatREL1
asi_1d2_cv4_sp2.ghatREL1,0.0822490293891302,0.286790915806499,asi,1d2,cv4,sp2.ghatREL1
asi_1d2_cv4_sp3.ghatREL1,0.40505432653581,0.636438784594253,asi,1d2,cv4,sp3.ghatREL1
asi_1d2_cv4_sp4.ghatREL1,0.366100375506362,0.605062290600201,asi,1d2,cv4,sp4.ghatREL1
asi_1d2_cv4_sp5.ghatREL1,0.48063231504167,0.693276506916014,asi,1d2,cv4,sp5.ghatREL1
asi_1d2_cv4_sp6.ghatREL1,0.456685146839073,0.675784837680658,asi,1d2,cv4,sp6.ghatREL1
asi_1d2_cv4_sp7.ghatREL1,0.475382604922001,0.689479952516389,asi,1d2,cv4,sp7.ghatREL1
asi_1d2_cv4_sp8.ghatREL1,0.0577505199293994,0.240313378590122,asi,1d2,cv4,sp8.ghatREL1
asi_1d2_cv4_sp9.ghatREL1,0.30840711441166,0.555344140521587,asi,1d2,cv4,sp9.ghatREL1
asi_1d2_cv5_sp10.ghatREL1,0.032788795881295,0.1810767679226,asi,1d2,cv5,sp10.ghatREL1
asi_1d2_cv5_sp1.ghatREL1,0.140581318948971,0.374941754075177,asi,1d2,cv5,sp1.ghatREL1
asi_1d2_cv5_sp2.ghatREL1,0.639906969176461,0.799941853622162,asi,1d2,cv5,sp2.ghatREL1
asi_1d2_cv5_sp3.ghatREL1,0.2299419586774,0.479522636251304,asi,1d2,cv5,sp3.ghatREL1
asi_1d2_cv5_sp4.ghatREL1,0.188506714591202,0.43417359960182,asi,1d2,cv5,sp4.ghatREL1
asi_1d2_cv5_sp5.ghatREL1,0.424209621691984,0.651313765931586,asi,1d2,cv5,sp5.ghatREL1
asi_1d2_cv5_sp6.ghatREL1,0.257447127693012,0.507392478948015,asi,1d2,cv5,sp6.ghatREL1
