file,genvar,resvar,totvar,h2,trait,transf,mode
pht_perse_d2.out1,268.326,142.556,410.883,0.653049,pht,perse,d2
tw_BPHmax_a2.out1,1.19486,0.459766,1.65463,0.722134,tw,BPHmax,a2
tw_BPHmax_d2.out1,0.151003,1.45339,1.60439,0.0941187,tw,BPHmax,d2
tw_BPHmin_a2.out1,2.14462,0.376596,2.52122,0.850629,tw,BPHmin,a2
tw_BPHmin_d2.out1,1.39862,1.03725,2.43586,0.574177,tw,BPHmin,d2
tw_pBPHmax_a2.out1,7.68956e-06,0.00830732,0.00831501,0.000924782,tw,pBPHmax,a2
tw_pBPHmax_d2.out1,3.93271e-06,0.00833326,0.0083372,0.000471707,tw,pBPHmax,d2
tw_pBPHmin_a2.out1,7.71723e-06,0.00839196,0.00839967,0.000918754,tw,pBPHmin,a2
tw_pBPHmin_d2.out1,3.86747e-06,0.00838324,0.00838711,0.000461121,tw,pBPHmin,d2
tw_perse_a2.out1,0.948027,0.330066,1.27809,0.741751,tw,perse,a2
tw_perse_d2.out1,0.00032354,1.30447,1.3048,0.000247962,tw,perse,d2
