trait,A,D
ASI,0.546548524270491,1.73055767861656e-07
DTP,0.999999999790033,5.68099148366768e-122
DTS,0.999947734856536,1.35537082549431e-23
EHT,0.937024165128605,0.0444439936314065
GY,0.650798180231168,0.349201816867216
PHT,0.949760685171823,0.0502393107312257
TW,0.726251132524222,0.123604737983176
