file,R2,r
ASI_gerp29k_10.ghatREL1,0.5272020023266,0.72608677327617
ASI_gerp29k_11.ghatREL1,0.360743458892195,0.600619229539144
ASI_gerp29k_12.ghatREL1,0.0516392303233355,0.227242668359918
ASI_gerp29k_1.ghatREL1,0.302986352888584,0.55044196141699
ASI_gerp29k_2.ghatREL1,0.180544997279691,0.424905868728229
ASI_gerp29k_3.ghatREL1,0.728937614352207,0.853778433993391
ASI_gerp29k_4.ghatREL1,0.515934953802249,0.718286122518213
ASI_gerp29k_5.ghatREL1,0.627874737386251,0.792385472725397
ASI_gerp29k_6.ghatREL1,0.513177246927531,0.716363906773318
ASI_gerp29k_7.ghatREL1,0.284429371474333,0.533319202236646
ASI_gerp29k_8.ghatREL1,0.619641725637539,0.787173250077478
ASI_gerp29k_9.ghatREL1,0.20037676093899,0.447634628842531
ASI_snp29k10_s10.ghatREL1,0.527518659574663,0.726304797984058
ASI_snp29k10_s11.ghatREL1,0.361369953613815,0.601140543977708
ASI_snp29k10_s12.ghatREL1,0.0518764044116364,0.227763922541821
ASI_snp29k10_s1.ghatREL1,0.297597215541758,0.545524715793665
ASI_snp29k10_s2.ghatREL1,0.182607307204737,0.427325762392974
ASI_snp29k10_s3.ghatREL1,0.728852183313418,0.853728401374476
ASI_snp29k10_s4.ghatREL1,0.52070819680317,0.721601134147647
ASI_snp29k10_s5.ghatREL1,0.626732885911396,0.791664629695805
ASI_snp29k10_s6.ghatREL1,0.508659499057918,0.713203686935168
ASI_snp29k10_s7.ghatREL1,0.289416124396398,0.537974092681421
ASI_snp29k10_s8.ghatREL1,0.619155175257072,0.78686414027904
ASI_snp29k10_s9.ghatREL1,0.19546944713026,0.442119267992541
ASI_snp29k1_s10.ghatREL1,0.52704748042397,0.725980358153008
ASI_snp29k1_s11.ghatREL1,0.359450888762332,0.599542232676174
ASI_snp29k1_s12.ghatREL1,0.0509328843197759,0.225683150278828
ASI_snp29k1_s1.ghatREL1,0.297215735491996,0.545174958606864
ASI_snp29k1_s2.ghatREL1,0.180766342909139,0.425166253257639
ASI_snp29k1_s3.ghatREL1,0.729352207110107,0.854021198279121
ASI_snp29k1_s4.ghatREL1,0.521659207000255,0.722259791903339
ASI_snp29k1_s5.ghatREL1,0.630118456950768,0.793800010676976
ASI_snp29k1_s6.ghatREL1,0.513426241358092,0.71653767616092
ASI_snp29k1_s7.ghatREL1,0.289878370479348,0.538403538695046
ASI_snp29k1_s8.ghatREL1,0.619744150410579,0.787238305985283
ASI_snp29k1_s9.ghatREL1,0.19722015174173,0.444094755363908
ASI_snp29k2_s10.ghatREL1,0.529876183656782,0.727925946547299
ASI_snp29k2_s11.ghatREL1,0.357691385096977,0.598073059999342
ASI_snp29k2_s12.ghatREL1,0.0517522789404022,0.227491272229073
ASI_snp29k2_s1.ghatREL1,0.298330395420255,0.546196297516062
ASI_snp29k2_s2.ghatREL1,0.180469000720128,0.424816431791577
ASI_snp29k2_s3.ghatREL1,0.729648418859773,0.854194602452962
ASI_snp29k2_s4.ghatREL1,0.516600506207441,0.718749265187409
ASI_snp29k2_s5.ghatREL1,0.62860097724389,0.792843602007288
ASI_snp29k2_s6.ghatREL1,0.513247648441963,0.716413043182467
ASI_snp29k2_s7.ghatREL1,0.289078888739311,0.537660570192116
ASI_snp29k2_s8.ghatREL1,0.619912592468159,0.787345281606589
ASI_snp29k2_s9.ghatREL1,0.197032485597919,0.443883414420858
ASI_snp29k3_s10.ghatREL1,0.528899148296059,0.727254527862191
ASI_snp29k3_s11.ghatREL1,0.358589641816729,0.598823548148141
ASI_snp29k3_s12.ghatREL1,0.0511368651642366,0.226134617350455
ASI_snp29k3_s1.ghatREL1,0.299520982573728,0.547285101728275
ASI_snp29k3_s2.ghatREL1,0.180743228822999,0.425139069979459
ASI_snp29k3_s3.ghatREL1,0.730650165020209,0.854780770151159
ASI_snp29k3_s4.ghatREL1,0.51955749413701,0.720803367179296
ASI_snp29k3_s5.ghatREL1,0.629493184910258,0.79340606558701
ASI_snp29k3_s6.ghatREL1,0.513078306578282,0.716294846120145
ASI_snp29k3_s7.ghatREL1,0.289082513928547,0.537663941443488
ASI_snp29k3_s8.ghatREL1,0.618870183423539,0.786683026017175
ASI_snp29k3_s9.ghatREL1,0.197049193054111,0.443902233666503
ASI_snp29k4_s10.ghatREL1,0.527156059624163,0.726055135388603
ASI_snp29k4_s11.ghatREL1,0.35685252295855,0.597371344273016
ASI_snp29k4_s12.ghatREL1,0.0512653063832446,0.226418432074875
ASI_snp29k4_s1.ghatREL1,0.298574187874399,0.546419424869211
ASI_snp29k4_s2.ghatREL1,0.181554945787208,0.426092649299666
ASI_snp29k4_s3.ghatREL1,0.730029698554738,0.854417754119575
ASI_snp29k4_s4.ghatREL1,0.51852341415879,0.720085699176696
ASI_snp29k4_s5.ghatREL1,0.62890163529724,0.793033186756544
ASI_snp29k4_s6.ghatREL1,0.511645523781472,0.715294012124715
ASI_snp29k4_s7.ghatREL1,0.29077536528479,0.539235908749399
ASI_snp29k4_s8.ghatREL1,0.619462642278716,0.78705949093999
ASI_snp29k4_s9.ghatREL1,0.197839064260105,0.444791034374688
ASI_snp29k5_s10.ghatREL1,0.530426428180409,0.7283038021186
ASI_snp29k5_s11.ghatREL1,0.359233013718351,0.599360503969315
ASI_snp29k5_s12.ghatREL1,0.0518324892258258,0.227667497078142
ASI_snp29k5_s1.ghatREL1,0.297816095730034,0.545725293284115
ASI_snp29k5_s2.ghatREL1,0.182748741102076,0.427491217573035
ASI_snp29k5_s3.ghatREL1,0.729946358952659,0.854368982906483
ASI_snp29k5_s4.ghatREL1,0.519487140984454,0.720754563623744
ASI_snp29k5_s5.ghatREL1,0.628898838047954,0.793031423115096
ASI_snp29k5_s6.ghatREL1,0.513249984950799,0.716414673880148
ASI_snp29k5_s7.ghatREL1,0.288833022981864,0.537431877526691
ASI_snp29k5_s8.ghatREL1,0.618484701961458,0.786437983544448
ASI_snp29k5_s9.ghatREL1,0.196720952467432,0.4435323578584
ASI_snp29k6_s10.ghatREL1,0.528652577389161,0.72708498635934
ASI_snp29k6_s11.ghatREL1,0.357709605284453,0.598088292214831
ASI_snp29k6_s12.ghatREL1,0.0513647167639041,0.226637853775366
ASI_snp29k6_s1.ghatREL1,0.29779612007171,0.54570699104163
ASI_snp29k6_s2.ghatREL1,0.179965390764451,0.42422327937591
ASI_snp29k6_s3.ghatREL1,0.729865292211904,0.854321539124412
ASI_snp29k6_s4.ghatREL1,0.521100929337385,0.721873208629732
ASI_snp29k6_s5.ghatREL1,0.627191630416011,0.791954310813453
ASI_snp29k6_s6.ghatREL1,0.511898344292142,0.715470715188359
ASI_snp29k6_s7.ghatREL1,0.29097548425621,0.539421434739304
ASI_snp29k6_s8.ghatREL1,0.618694012089155,0.786571047070228
ASI_snp29k6_s9.ghatREL1,0.197765909649502,0.44470879196335
ASI_snp29k7_s10.ghatREL1,0.526648796448631,0.725705723036983
ASI_snp29k7_s11.ghatREL1,0.361001408851073,0.600833927846184
ASI_snp29k7_s12.ghatREL1,0.0512271805705679,0.226334223153654
ASI_snp29k7_s1.ghatREL1,0.299108263665775,0.546907911504098
ASI_snp29k7_s2.ghatREL1,0.18119253993203,0.425667170371441
ASI_snp29k7_s3.ghatREL1,0.731684420239603,0.855385538946973
ASI_snp29k7_s4.ghatREL1,0.522458345877013,0.722812801406431
ASI_snp29k7_s5.ghatREL1,0.629160049814802,0.793196097957373
ASI_snp29k7_s6.ghatREL1,0.512464309481603,0.715866125390497
ASI_snp29k7_s7.ghatREL1,0.28882242824865,0.537422020621272
ASI_snp29k7_s8.ghatREL1,0.620468648209441,0.787698323096756
ASI_snp29k7_s9.ghatREL1,0.197364987348998,0.444257793796573
ASI_snp29k8_s10.ghatREL1,0.529939946699239,0.727969742983346
ASI_snp29k8_s11.ghatREL1,0.360637334591532,0.600530877300686
ASI_snp29k8_s12.ghatREL1,0.0509975042954669,0.225826270162412
ASI_snp29k8_s1.ghatREL1,0.299203254062899,0.546994747747086
ASI_snp29k8_s2.ghatREL1,0.181901987586413,0.426499692363796
ASI_snp29k8_s3.ghatREL1,0.728609967266918,0.853586531797988
ASI_snp29k8_s4.ghatREL1,0.518398707422955,0.719999102376493
ASI_snp29k8_s5.ghatREL1,0.629552510834937,0.793443451567241
ASI_snp29k8_s6.ghatREL1,0.513987774712937,0.716929407063859
ASI_snp29k8_s7.ghatREL1,0.288851319669256,0.537448899588841
ASI_snp29k8_s8.ghatREL1,0.617102981015184,0.785559024526601
ASI_snp29k8_s9.ghatREL1,0.196436642478408,0.443211735492651
ASI_snp29k9_s10.ghatREL1,0.530078658952966,0.728065010114458
ASI_snp29k9_s11.ghatREL1,0.355811674230472,0.596499517376563
ASI_snp29k9_s12.ghatREL1,0.0522506456503172,0.228584001299997
ASI_snp29k9_s1.ghatREL1,0.297835971765171,0.545743503639916
ASI_snp29k9_s2.ghatREL1,0.181121378546114,0.425583574102801
ASI_snp29k9_s3.ghatREL1,0.731889724172397,0.855505537195638
ASI_snp29k9_s4.ghatREL1,0.516456820698825,0.718649302997522
ASI_snp29k9_s5.ghatREL1,0.627440343039317,0.792111319853035
ASI_snp29k9_s6.ghatREL1,0.51405921670486,0.716979230316235
ASI_snp29k9_s7.ghatREL1,0.289364944244113,0.537926523090387
ASI_snp29k9_s8.ghatREL1,0.620220118347205,0.787540550287542
ASI_snp29k9_s9.ghatREL1,0.196058873518384,0.442785358292688
