file,R2,r,trait,cs,mode,cv,sp
dtp_real_a1_cv3_sp2.ghatREL1,0.925601131162587,0.962081665537072,dtp,real,a1,cv3,sp2.ghatREL1
dtp_real_a1_cv3_sp3.ghatREL1,0.955163545639911,0.977324687931248,dtp,real,a1,cv3,sp3.ghatREL1
dtp_real_a1_cv3_sp4.ghatREL1,0.973091185670241,0.986453843659317,dtp,real,a1,cv3,sp4.ghatREL1
dtp_real_a1_cv3_sp5.ghatREL1,0.97405818338621,0.986943860301187,dtp,real,a1,cv3,sp5.ghatREL1
dtp_real_a1_cv3_sp6.ghatREL1,0.978798461189072,0.989342438789053,dtp,real,a1,cv3,sp6.ghatREL1
dtp_real_a1_cv3_sp7.ghatREL1,0.93585666556285,0.967396850089377,dtp,real,a1,cv3,sp7.ghatREL1
dtp_real_a1_cv3_sp8.ghatREL1,0.949412378200818,0.974377944229454,dtp,real,a1,cv3,sp8.ghatREL1
dtp_real_a1_cv3_sp9.ghatREL1,0.964185292151137,0.981929372282516,dtp,real,a1,cv3,sp9.ghatREL1
dtp_real_a1_cv4_sp10.ghatREL1,0.949517682394899,0.974431979357666,dtp,real,a1,cv4,sp10.ghatREL1
dtp_real_a1_cv4_sp1.ghatREL1,0.960116694184821,0.979855445555527,dtp,real,a1,cv4,sp1.ghatREL1
dtp_real_a1_cv4_sp2.ghatREL1,0.975471345859626,0.98765952932153,dtp,real,a1,cv4,sp2.ghatREL1
dtp_real_a1_cv4_sp3.ghatREL1,0.958846389935095,0.979207020979269,dtp,real,a1,cv4,sp3.ghatREL1
dtp_real_a1_cv4_sp4.ghatREL1,0.879799486769666,0.937976271965163,dtp,real,a1,cv4,sp4.ghatREL1
dtp_real_a1_cv4_sp5.ghatREL1,0.75473455898232,0.868754602279792,dtp,real,a1,cv4,sp5.ghatREL1
dtp_real_a1_cv4_sp6.ghatREL1,0.94814467305632,0.973727206694113,dtp,real,a1,cv4,sp6.ghatREL1
dtp_real_a1_cv4_sp7.ghatREL1,0.930823687523638,0.964792043667255,dtp,real,a1,cv4,sp7.ghatREL1
dtp_real_a1_cv4_sp8.ghatREL1,0.928097574848083,0.963378209660195,dtp,real,a1,cv4,sp8.ghatREL1
dtp_real_a1_cv4_sp9.ghatREL1,0.961427923949015,0.980524310738401,dtp,real,a1,cv4,sp9.ghatREL1
dtp_real_a1_cv5_sp10.ghatREL1,0.940221931011097,0.969650416908639,dtp,real,a1,cv5,sp10.ghatREL1
dtp_real_a1_cv5_sp1.ghatREL1,0.965992492454509,0.982849170755365,dtp,real,a1,cv5,sp1.ghatREL1
dtp_real_a1_cv5_sp2.ghatREL1,0.980667502196572,0.990286575793377,dtp,real,a1,cv5,sp2.ghatREL1
dtp_real_a1_cv5_sp3.ghatREL1,0.959342807655564,0.979460467632851,dtp,real,a1,cv5,sp3.ghatREL1
dtp_real_a1_cv5_sp4.ghatREL1,0.928936125453685,0.96381332500318,dtp,real,a1,cv5,sp4.ghatREL1
dtp_real_a1_cv5_sp5.ghatREL1,0.973503424509879,0.986662771421867,dtp,real,a1,cv5,sp5.ghatREL1
dtp_real_a1_cv5_sp6.ghatREL1,0.960570998793426,0.980087240399254,dtp,real,a1,cv5,sp6.ghatREL1
