file,R2,r,trait,cs,mode,cv,sp
asi_real_a1_cv1_sp10.ghatREL1,0.604838495092225,0.777713633088829,asi,real,a1,cv1,sp10.ghatREL1
asi_real_a1_cv1_sp1.ghatREL2,0.61509626328641,0.784280729896132,asi,real,a1,cv1,sp1.ghatREL2
asi_real_a1_cv1_sp2.ghatREL1,0.363197818057941,0.602658956672794,asi,real,a1,cv1,sp2.ghatREL1
asi_real_a1_cv1_sp3.ghatREL1,0.121982046467238,0.349259282578485,asi,real,a1,cv1,sp3.ghatREL1
asi_real_a1_cv1_sp4.ghatREL1,0.210898774036608,0.459237165347719,asi,real,a1,cv1,sp4.ghatREL1
asi_real_a1_cv1_sp5.ghatREL1,0.469070020333879,0.684886866813694,asi,real,a1,cv1,sp5.ghatREL1
asi_real_a1_cv1_sp6.ghatREL1,0.653228808023388,0.808225716012172,asi,real,a1,cv1,sp6.ghatREL1
asi_real_a1_cv1_sp7.ghatREL1,0.357962071614694,0.598299316074065,asi,real,a1,cv1,sp7.ghatREL1
asi_real_a1_cv1_sp8.ghatREL1,0.625414756731224,0.790831686726843,asi,real,a1,cv1,sp8.ghatREL1
asi_real_a1_cv1_sp9.ghatREL1,0.498237207028374,0.705859197735904,asi,real,a1,cv1,sp9.ghatREL1
asi_real_a1_cv2_sp10.ghatREL1,0.421187418629438,0.648989536610135,asi,real,a1,cv2,sp10.ghatREL1
asi_real_a1_cv2_sp1.ghatREL1,0.386914006535348,0.622024120541437,asi,real,a1,cv2,sp1.ghatREL1
asi_real_a1_cv2_sp2.ghatREL1,0.685341462611947,0.827853527269134,asi,real,a1,cv2,sp2.ghatREL1
asi_real_a1_cv2_sp3.ghatREL1,0.775244585796537,0.880479747522075,asi,real,a1,cv2,sp3.ghatREL1
asi_real_a1_cv2_sp4.ghatREL1,0.49282500484471,0.702014960556191,asi,real,a1,cv2,sp4.ghatREL1
asi_real_a1_cv2_sp5.ghatREL1,0.72198907931503,0.849699405269317,asi,real,a1,cv2,sp5.ghatREL1
asi_real_a1_cv2_sp6.ghatREL1,0.416523111183642,0.645386017189435,asi,real,a1,cv2,sp6.ghatREL1
asi_real_a1_cv2_sp7.ghatREL1,0.258863704806432,0.508786502185771,asi,real,a1,cv2,sp7.ghatREL1
asi_real_a1_cv2_sp8.ghatREL1,0.60364387452387,0.776945219770268,asi,real,a1,cv2,sp8.ghatREL1
asi_real_a1_cv2_sp9.ghatREL1,0.487087392806492,0.697916465493179,asi,real,a1,cv2,sp9.ghatREL1
asi_real_a1_cv3_sp10.ghatREL1,0.42915166010303,0.655096679966423,asi,real,a1,cv3,sp10.ghatREL1
asi_real_a1_cv3_sp1.ghatREL1,0.403632557713223,0.635320830536213,asi,real,a1,cv3,sp1.ghatREL1
asi_real_a1_cv3_sp2.ghatREL1,0.653766161297549,0.808558075401853,asi,real,a1,cv3,sp2.ghatREL1
asi_real_a1_cv3_sp3.ghatREL1,0.0858091771600916,0.292932035052658,asi,real,a1,cv3,sp3.ghatREL1
asi_real_a1_cv3_sp4.ghatREL1,0.249693512457668,0.49969341846543,asi,real,a1,cv3,sp4.ghatREL1
asi_real_a1_cv3_sp5.ghatREL1,0.405415340359991,0.63672234165293,asi,real,a1,cv3,sp5.ghatREL1
asi_real_a1_cv3_sp6.ghatREL1,0.610905100798515,0.781604184225312,asi,real,a1,cv3,sp6.ghatREL1
asi_real_a1_cv3_sp7.ghatREL1,0.680583306747029,0.824974730974852,asi,real,a1,cv3,sp7.ghatREL1
asi_real_a1_cv3_sp8.ghatREL1,0.0866462451502505,0.294357342613108,asi,real,a1,cv3,sp8.ghatREL1
asi_real_a1_cv3_sp9.ghatREL1,0.783250801600836,0.885014577055563,asi,real,a1,cv3,sp9.ghatREL1
asi_real_a1_cv4_sp10.ghatREL1,0.65904445871534,0.811815532442771,asi,real,a1,cv4,sp10.ghatREL1
asi_real_a1_cv4_sp1.ghatREL1,0.704749728845034,0.839493733654417,asi,real,a1,cv4,sp1.ghatREL1
asi_real_a1_cv4_sp2.ghatREL1,0.210507606131581,0.458811078911114,asi,real,a1,cv4,sp2.ghatREL1
asi_real_a1_cv4_sp3.ghatREL1,0.239270763369417,0.489153108310084,asi,real,a1,cv4,sp3.ghatREL1
asi_real_a1_cv4_sp4.ghatREL1,0.582145135706229,0.762984361377236,asi,real,a1,cv4,sp4.ghatREL1
asi_real_a1_cv4_sp5.ghatREL1,0.612357577443063,0.782532796400933,asi,real,a1,cv4,sp5.ghatREL1
asi_real_a1_cv4_sp6.ghatREL1,0.590096592414091,0.768177448519606,asi,real,a1,cv4,sp6.ghatREL1
asi_real_a1_cv4_sp7.ghatREL1,0.643272857141694,0.802042927243732,asi,real,a1,cv4,sp7.ghatREL1
asi_real_a1_cv4_sp8.ghatREL1,0.237034208839673,0.486861591049934,asi,real,a1,cv4,sp8.ghatREL1
asi_real_a1_cv4_sp9.ghatREL1,0.44133154383795,0.664327888800365,asi,real,a1,cv4,sp9.ghatREL1
asi_real_a1_cv5_sp10.ghatREL1,0.301394293795726,0.54899389231186,asi,real,a1,cv5,sp10.ghatREL1
asi_real_a1_cv5_sp1.ghatREL1,0.415196311656097,0.644357285716625,asi,real,a1,cv5,sp1.ghatREL1
asi_real_a1_cv5_sp2.ghatREL1,0.811416841500717,0.900786790256561,asi,real,a1,cv5,sp2.ghatREL1
asi_real_a1_cv5_sp3.ghatREL1,0.695270974078288,0.833829103640721,asi,real,a1,cv5,sp3.ghatREL1
asi_real_a1_cv5_sp4.ghatREL1,0.683511436094302,0.826747504437904,asi,real,a1,cv5,sp4.ghatREL1
asi_real_a1_cv5_sp5.ghatREL1,0.41040307855224,0.640627097890996,asi,real,a1,cv5,sp5.ghatREL1
asi_real_a1_cv5_sp6.ghatREL1,0.379279131774914,0.615856421396184,asi,real,a1,cv5,sp6.ghatREL1
asi_real_a1_cv5_sp7.ghatREL1,0.549013100165521,0.74095418223094,asi,real,a1,cv5,sp7.ghatREL1
asi_real_a1_cv5_sp8.ghatREL1,0.417509241919341,0.646149550738326,asi,real,a1,cv5,sp8.ghatREL1
asi_real_a1_cv5_sp9.ghatREL1,0.215895723670943,0.464645804533887,asi,real,a1,cv5,sp9.ghatREL1
asi_real_a2_cv1_sp10.ghatREL1,0.365030167253744,0.604177264760719,asi,real,a2,cv1,sp10.ghatREL1
asi_real_a2_cv1_sp1.ghatREL1,0.560353532474121,0.748567653905858,asi,real,a2,cv1,sp1.ghatREL1
asi_real_a2_cv1_sp2.ghatREL1,0.242732326894975,0.492678725839644,asi,real,a2,cv1,sp2.ghatREL1
asi_real_a2_cv1_sp3.ghatREL1,0.152406859823849,0.390393211805545,asi,real,a2,cv1,sp3.ghatREL1
asi_real_a2_cv1_sp4.ghatREL1,0.303514412831821,0.55092142164906,asi,real,a2,cv1,sp4.ghatREL1
asi_real_a2_cv1_sp5.ghatREL1,0.469144700791239,0.684941384931032,asi,real,a2,cv1,sp5.ghatREL1
asi_real_a2_cv1_sp6.ghatREL1,0.690771931972052,0.831126904853917,asi,real,a2,cv1,sp6.ghatREL1
asi_real_a2_cv1_sp7.ghatREL1,0.202823520764874,0.450359324056774,asi,real,a2,cv1,sp7.ghatREL1
asi_real_a2_cv1_sp8.ghatREL1,0.334017368281106,0.577942357230464,asi,real,a2,cv1,sp8.ghatREL1
asi_real_a2_cv1_sp9.ghatREL1,0.407302128215457,0.63820226277839,asi,real,a2,cv1,sp9.ghatREL1
asi_real_a2_cv2_sp10.ghatREL1,0.279649359672435,0.528818834453194,asi,real,a2,cv2,sp10.ghatREL1
asi_real_a2_cv2_sp1.ghatREL1,0.233948044265247,0.483681759285222,asi,real,a2,cv2,sp1.ghatREL1
asi_real_a2_cv2_sp2.ghatREL1,0.525898702533185,0.725188735801367,asi,real,a2,cv2,sp2.ghatREL1
asi_real_a2_cv2_sp3.ghatREL1,0.813493570755561,0.901938784372621,asi,real,a2,cv2,sp3.ghatREL1
asi_real_a2_cv2_sp4.ghatREL1,0.348741559656005,0.590543444342586,asi,real,a2,cv2,sp4.ghatREL1
asi_real_a2_cv2_sp5.ghatREL1,0.462446291159973,0.680034036765788,asi,real,a2,cv2,sp5.ghatREL1
asi_real_a2_cv2_sp6.ghatREL1,0.411389677339845,0.64139666146609,asi,real,a2,cv2,sp6.ghatREL1
asi_real_a2_cv2_sp7.ghatREL1,0.285179318580527,0.53402183343055,asi,real,a2,cv2,sp7.ghatREL1
asi_real_a2_cv2_sp8.ghatREL1,0.489717934030854,0.699798495304794,asi,real,a2,cv2,sp8.ghatREL1
asi_real_a2_cv2_sp9.ghatREL1,0.477941517318365,0.691333144958612,asi,real,a2,cv2,sp9.ghatREL1
asi_real_a2_cv3_sp10.ghatREL1,0.289665171169582,0.538205510162783,asi,real,a2,cv3,sp10.ghatREL1
asi_real_a2_cv3_sp1.ghatREL1,0.379579294863001,0.616100068871121,asi,real,a2,cv3,sp1.ghatREL1
asi_real_a2_cv3_sp2.ghatREL1,0.275457175193155,0.524840142513085,asi,real,a2,cv3,sp2.ghatREL1
asi_real_a2_cv3_sp3.ghatREL1,0.130478368529019,0.361217896191508,asi,real,a2,cv3,sp3.ghatREL1
asi_real_a2_cv3_sp4.ghatREL1,0.189129563907186,0.43489028950666,asi,real,a2,cv3,sp4.ghatREL1
asi_real_a2_cv3_sp5.ghatREL1,0.191175469486581,0.437236171292564,asi,real,a2,cv3,sp5.ghatREL1
asi_real_a2_cv3_sp6.ghatREL1,0.595660872199261,0.771790691962051,asi,real,a2,cv3,sp6.ghatREL1
asi_real_a2_cv3_sp7.ghatREL1,0.516799153185619,0.718887441249059,asi,real,a2,cv3,sp7.ghatREL1
asi_real_a2_cv3_sp8.ghatREL1,0.0876305114553372,0.296024511578581,asi,real,a2,cv3,sp8.ghatREL1
asi_real_a2_cv3_sp9.ghatREL1,0.857404411624352,0.925961344562694,asi,real,a2,cv3,sp9.ghatREL1
asi_real_a2_cv4_sp10.ghatREL1,0.666959862015474,0.816676105941318,asi,real,a2,cv4,sp10.ghatREL1
asi_real_a2_cv4_sp1.ghatREL1,0.66005421399442,0.81243720618545,asi,real,a2,cv4,sp1.ghatREL1
asi_real_a2_cv4_sp2.ghatREL1,0.169758314752273,0.412017371905934,asi,real,a2,cv4,sp2.ghatREL1
asi_real_a2_cv4_sp3.ghatREL1,0.248883552455752,0.498882303209637,asi,real,a2,cv4,sp3.ghatREL1
asi_real_a2_cv4_sp4.ghatREL1,0.669369667300011,0.818150149605811,asi,real,a2,cv4,sp4.ghatREL1
asi_real_a2_cv4_sp5.ghatREL1,0.328997865213216,0.573583355069876,asi,real,a2,cv4,sp5.ghatREL1
asi_real_a2_cv4_sp6.ghatREL1,0.33969229380809,0.582831273876145,asi,real,a2,cv4,sp6.ghatREL1
asi_real_a2_cv4_sp7.ghatREL1,0.554034997720134,0.744335272387473,asi,real,a2,cv4,sp7.ghatREL1
asi_real_a2_cv4_sp8.ghatREL1,0.285211330976213,0.53405180551723,asi,real,a2,cv4,sp8.ghatREL1
asi_real_a2_cv4_sp9.ghatREL1,0.495559067760648,0.703959564009644,asi,real,a2,cv4,sp9.ghatREL1
asi_real_a2_cv5_sp10.ghatREL1,0.278621675252354,0.527846261000639,asi,real,a2,cv5,sp10.ghatREL1
asi_real_a2_cv5_sp1.ghatREL1,0.279039349565833,0.528241752955816,asi,real,a2,cv5,sp1.ghatREL1
asi_real_a2_cv5_sp2.ghatREL1,0.773184308437297,0.879308994857495,asi,real,a2,cv5,sp2.ghatREL1
asi_real_a2_cv5_sp3.ghatREL1,0.566726104947888,0.752812131243837,asi,real,a2,cv5,sp3.ghatREL1
asi_real_a2_cv5_sp4.ghatREL1,0.462371226532028,0.679978842709116,asi,real,a2,cv5,sp4.ghatREL1
asi_real_a2_cv5_sp5.ghatREL1,0.374111159768301,0.611646270133564,asi,real,a2,cv5,sp5.ghatREL1
asi_real_a2_cv5_sp6.ghatREL1,0.335509353542761,0.579231692453686,asi,real,a2,cv5,sp6.ghatREL1
asi_real_a2_cv5_sp7.ghatREL1,0.0958553220886672,0.309605106690228,asi,real,a2,cv5,sp7.ghatREL1
asi_real_a2_cv5_sp8.ghatREL1,0.499814042793596,0.706975277356709,asi,real,a2,cv5,sp8.ghatREL1
asi_real_a2_cv5_sp9.ghatREL1,0.145415254946004,0.381333521927989,asi,real,a2,cv5,sp9.ghatREL1
asi_real_d1_cv1_sp10.ghatREL1,0.468639102582412,0.684572204067922,asi,real,d1,cv1,sp10.ghatREL1
asi_real_d1_cv1_sp1.ghatREL1,0.452465738009202,0.672655735134401,asi,real,d1,cv1,sp1.ghatREL1
asi_real_d1_cv1_sp2.ghatREL1,0.548368469643244,0.74051905420674,asi,real,d1,cv1,sp2.ghatREL1
asi_real_d1_cv1_sp3.ghatREL1,0.0639734248380267,0.252929683584246,asi,real,d1,cv1,sp3.ghatREL1
asi_real_d1_cv1_sp4.ghatREL1,0.0843177804258023,0.290375240724484,asi,real,d1,cv1,sp4.ghatREL1
asi_real_d1_cv1_sp5.ghatREL1,0.481189690508829,0.693678376849696,asi,real,d1,cv1,sp5.ghatREL1
asi_real_d1_cv1_sp6.ghatREL1,0.529459032946611,0.727639356375541,asi,real,d1,cv1,sp6.ghatREL1
asi_real_d1_cv1_sp7.ghatREL1,0.372035199439307,0.609946882473636,asi,real,d1,cv1,sp7.ghatREL1
asi_real_d1_cv1_sp8.ghatREL1,0.556109443709692,0.745727459404367,asi,real,d1,cv1,sp8.ghatREL1
asi_real_d1_cv1_sp9.ghatREL1,0.476052918527243,0.689965882147258,asi,real,d1,cv1,sp9.ghatREL1
asi_real_d1_cv2_sp10.ghatREL1,0.599304906495461,0.774147858290302,asi,real,d1,cv2,sp10.ghatREL1
asi_real_d1_cv2_sp1.ghatREL1,0.288635055581591,0.537247666892646,asi,real,d1,cv2,sp1.ghatREL1
asi_real_d1_cv2_sp2.ghatREL1,0.518370077481766,0.719979220173586,asi,real,d1,cv2,sp2.ghatREL1
asi_real_d1_cv2_sp3.ghatREL1,0.825654305136255,0.908655217965678,asi,real,d1,cv2,sp3.ghatREL1
asi_real_d1_cv2_sp4.ghatREL1,0.42395086671492,0.65111509482957,asi,real,d1,cv2,sp4.ghatREL1
asi_real_d1_cv2_sp5.ghatREL1,0.530416843635277,0.728297222042812,asi,real,d1,cv2,sp5.ghatREL1
asi_real_d1_cv2_sp6.ghatREL1,0.47899087181175,0.692091664313153,asi,real,d1,cv2,sp6.ghatREL1
asi_real_d1_cv2_sp7.ghatREL1,0.236752939389562,0.486572645541817,asi,real,d1,cv2,sp7.ghatREL1
asi_real_d1_cv2_sp8.ghatREL1,0.573868763282971,0.757541261769266,asi,real,d1,cv2,sp8.ghatREL1
asi_real_d1_cv2_sp9.ghatREL1,0.271489457745161,0.52104650247858,asi,real,d1,cv2,sp9.ghatREL1
asi_real_d1_cv3_sp10.ghatREL1,0.345082919454814,0.58743758771023,asi,real,d1,cv3,sp10.ghatREL1
asi_real_d1_cv3_sp1.ghatREL1,0.418091321532674,0.64659981559901,asi,real,d1,cv3,sp1.ghatREL1
asi_real_d1_cv3_sp2.ghatREL1,0.783428414056138,0.885114915734752,asi,real,d1,cv3,sp2.ghatREL1
asi_real_d1_cv3_sp3.ghatREL1,0.119794020707636,0.346112728323642,asi,real,d1,cv3,sp3.ghatREL1
asi_real_d1_cv3_sp4.ghatREL1,0.258924713414055,0.508846453671493,asi,real,d1,cv3,sp4.ghatREL1
asi_real_d1_cv3_sp5.ghatREL1,0.415228736650077,0.64438244595122,asi,real,d1,cv3,sp5.ghatREL1
asi_real_d1_cv3_sp6.ghatREL1,0.42623629483196,0.652867746815509,asi,real,d1,cv3,sp6.ghatREL1
asi_real_d1_cv3_sp7.ghatREL1,0.614632187281068,0.783984813169916,asi,real,d1,cv3,sp7.ghatREL1
asi_real_d1_cv3_sp8.ghatREL1,0.0206110929379247,0.143565639823478,asi,real,d1,cv3,sp8.ghatREL1
asi_real_d1_cv3_sp9.ghatREL1,0.573361983554561,0.757206698038627,asi,real,d1,cv3,sp9.ghatREL1
asi_real_d1_cv4_sp10.ghatREL1,0.585416538861306,0.765125178556624,asi,real,d1,cv4,sp10.ghatREL1
asi_real_d1_cv4_sp1.ghatREL1,0.602890425430981,0.776460189211901,asi,real,d1,cv4,sp1.ghatREL1
asi_real_d1_cv4_sp2.ghatREL1,0.0908397297794643,0.301396300208653,asi,real,d1,cv4,sp2.ghatREL1
asi_real_d1_cv4_sp3.ghatREL1,0.171753353931795,0.414431362147938,asi,real,d1,cv4,sp3.ghatREL1
asi_real_d1_cv4_sp4.ghatREL1,0.686448492092487,0.828521871825051,asi,real,d1,cv4,sp4.ghatREL1
asi_real_d1_cv4_sp5.ghatREL1,0.442925059763523,0.665526152576683,asi,real,d1,cv4,sp5.ghatREL1
asi_real_d1_cv4_sp6.ghatREL1,0.459680963453921,0.677997760655536,asi,real,d1,cv4,sp6.ghatREL1
asi_real_d1_cv4_sp7.ghatREL1,0.439468610382186,0.662924287066167,asi,real,d1,cv4,sp7.ghatREL1
asi_real_d1_cv4_sp8.ghatREL1,0.151478164979205,0.389201959115322,asi,real,d1,cv4,sp8.ghatREL1
asi_real_d1_cv4_sp9.ghatREL1,0.520661619700707,0.721568859985453,asi,real,d1,cv4,sp9.ghatREL1
asi_real_d1_cv5_sp10.ghatREL1,0.204726025796157,0.45246660185715,asi,real,d1,cv5,sp10.ghatREL1
asi_real_d1_cv5_sp1.ghatREL1,0.328386531486701,0.573050199796407,asi,real,d1,cv5,sp1.ghatREL1
asi_real_d1_cv5_sp2.ghatREL1,0.671299535878854,0.819328710517857,asi,real,d1,cv5,sp2.ghatREL1
asi_real_d1_cv5_sp3.ghatREL1,0.735964057525428,0.857883475493862,asi,real,d1,cv5,sp3.ghatREL1
asi_real_d1_cv5_sp4.ghatREL1,0.524948997778301,0.724533641578016,asi,real,d1,cv5,sp4.ghatREL1
asi_real_d1_cv5_sp5.ghatREL1,0.33851146764125,0.581817383412742,asi,real,d1,cv5,sp5.ghatREL1
asi_real_d1_cv5_sp6.ghatREL1,0.151751214190551,0.389552582061204,asi,real,d1,cv5,sp6.ghatREL1
asi_real_d1_cv5_sp7.ghatREL1,0.54323185826014,0.737042643447542,asi,real,d1,cv5,sp7.ghatREL1
asi_real_d1_cv5_sp8.ghatREL1,0.252380254214518,0.502374615416143,asi,real,d1,cv5,sp8.ghatREL1
asi_real_d1_cv5_sp9.ghatREL1,0.166533598962229,0.408085283932451,asi,real,d1,cv5,sp9.ghatREL1
asi_real_d2_cv1_sp10.ghatREL1,0.323393874831455,0.568677302898098,asi,real,d2,cv1,sp10.ghatREL1
asi_real_d2_cv1_sp1.ghatREL1,0.551169866421492,0.742408153525735,asi,real,d2,cv1,sp1.ghatREL1
asi_real_d2_cv1_sp2.ghatREL1,0.426650405457031,0.653184817227889,asi,real,d2,cv1,sp2.ghatREL1
asi_real_d2_cv1_sp3.ghatREL1,0.0740280456753328,0.272080954267903,asi,real,d2,cv1,sp3.ghatREL1
asi_real_d2_cv1_sp4.ghatREL1,0.0881759404195724,0.296944338924945,asi,real,d2,cv1,sp4.ghatREL1
asi_real_d2_cv1_sp5.ghatREL1,0.484864073332925,0.696321817360999,asi,real,d2,cv1,sp5.ghatREL1
asi_real_d2_cv1_sp6.ghatREL1,0.554207492941286,0.744451135361674,asi,real,d2,cv1,sp6.ghatREL1
asi_real_d2_cv1_sp7.ghatREL1,0.392122280756683,0.626196678972895,asi,real,d2,cv1,sp7.ghatREL1
asi_real_d2_cv1_sp8.ghatREL1,0.347105340383508,0.589156465112204,asi,real,d2,cv1,sp8.ghatREL1
asi_real_d2_cv1_sp9.ghatREL1,0.469381738737103,0.68511439828477,asi,real,d2,cv1,sp9.ghatREL1
asi_real_d2_cv2_sp10.ghatREL1,0.282655370489147,0.531653430807276,asi,real,d2,cv2,sp10.ghatREL1
asi_real_d2_cv2_sp1.ghatREL1,0.216059516422778,0.464822026611022,asi,real,d2,cv2,sp1.ghatREL1
asi_real_d2_cv2_sp2.ghatREL1,0.235142044090512,0.484914470902356,asi,real,d2,cv2,sp2.ghatREL1
asi_real_d2_cv2_sp3.ghatREL1,0.625886244930426,0.791129726991994,asi,real,d2,cv2,sp3.ghatREL1
asi_real_d2_cv2_sp4.ghatREL1,0.442828987287304,0.665453970825409,asi,real,d2,cv2,sp4.ghatREL1
asi_real_d2_cv2_sp5.ghatREL1,0.454103442216117,0.673871977616014,asi,real,d2,cv2,sp5.ghatREL1
asi_real_d2_cv2_sp6.ghatREL1,0.492335771554008,0.701666424701944,asi,real,d2,cv2,sp6.ghatREL1
asi_real_d2_cv2_sp7.ghatREL1,0.249856448443099,0.499856427830131,asi,real,d2,cv2,sp7.ghatREL1
asi_real_d2_cv2_sp8.ghatREL1,0.513758802256162,0.716769699594062,asi,real,d2,cv2,sp8.ghatREL1
asi_real_d2_cv2_sp9.ghatREL1,0.293205617496836,0.541484641976886,asi,real,d2,cv2,sp9.ghatREL1
asi_real_d2_cv3_sp10.ghatREL1,0.320080761383272,0.565756804098078,asi,real,d2,cv3,sp10.ghatREL1
asi_real_d2_cv3_sp1.ghatREL1,0.26881949156959,0.518478053122395,asi,real,d2,cv3,sp1.ghatREL1
asi_real_d2_cv3_sp2.ghatREL1,0.490726540945886,0.700518765591534,asi,real,d2,cv3,sp2.ghatREL1
asi_real_d2_cv3_sp3.ghatREL1,0.0638004618044526,0.252587532955315,asi,real,d2,cv3,sp3.ghatREL1
asi_real_d2_cv3_sp4.ghatREL1,0.257377680320643,0.507324038776641,asi,real,d2,cv3,sp4.ghatREL1
asi_real_d2_cv3_sp5.ghatREL1,0.258093098702799,0.508028639648198,asi,real,d2,cv3,sp5.ghatREL1
asi_real_d2_cv3_sp6.ghatREL1,0.352258221373226,0.5935134550903,asi,real,d2,cv3,sp6.ghatREL1
asi_real_d2_cv3_sp7.ghatREL1,0.548655919430933,0.74071311547112,asi,real,d2,cv3,sp7.ghatREL1
asi_real_d2_cv3_sp8.ghatREL1,7.21152263698481e-05,0.00849206843883445,asi,real,d2,cv3,sp8.ghatREL1
asi_real_d2_cv3_sp9.ghatREL1,0.735033084650982,0.857340705117273,asi,real,d2,cv3,sp9.ghatREL1
asi_real_d2_cv4_sp10.ghatREL1,0.764765503443376,0.874508721193434,asi,real,d2,cv4,sp10.ghatREL1
asi_real_d2_cv4_sp1.ghatREL1,0.621862881851398,0.788582831319195,asi,real,d2,cv4,sp1.ghatREL1
asi_real_d2_cv4_sp2.ghatREL1,0.0425339713372294,0.206237657417915,asi,real,d2,cv4,sp2.ghatREL1
asi_real_d2_cv4_sp3.ghatREL1,0.119234201544735,0.345303057537484,asi,real,d2,cv4,sp3.ghatREL1
asi_real_d2_cv4_sp4.ghatREL1,0.660337008518159,0.812611228397786,asi,real,d2,cv4,sp4.ghatREL1
asi_real_d2_cv4_sp5.ghatREL1,0.19713175284046,0.443995217136919,asi,real,d2,cv4,sp5.ghatREL1
asi_real_d2_cv4_sp6.ghatREL1,0.29130906204121,0.539730545773732,asi,real,d2,cv4,sp6.ghatREL1
asi_real_d2_cv4_sp7.ghatREL1,0.535274645152409,0.731624661388891,asi,real,d2,cv4,sp7.ghatREL1
asi_real_d2_cv4_sp8.ghatREL1,0.000301835413261214,0.0173734111003342,asi,real,d2,cv4,sp8.ghatREL1
asi_real_d2_cv4_sp9.ghatREL1,0.459135450597652,0.677595344285697,asi,real,d2,cv4,sp9.ghatREL1
asi_real_d2_cv5_sp10.ghatREL1,0.196661033030218,0.443464804725492,asi,real,d2,cv5,sp10.ghatREL1
asi_real_d2_cv5_sp1.ghatREL1,0.341851761529009,0.584680905733212,asi,real,d2,cv5,sp1.ghatREL1
asi_real_d2_cv5_sp2.ghatREL1,0.642144874819086,0.801339425474053,asi,real,d2,cv5,sp2.ghatREL1
asi_real_d2_cv5_sp3.ghatREL1,0.76312152520243,0.873568271632178,asi,real,d2,cv5,sp3.ghatREL1
asi_real_d2_cv5_sp4.ghatREL1,0.617872155889828,0.786048443729665,asi,real,d2,cv5,sp4.ghatREL1
asi_real_d2_cv5_sp5.ghatREL1,0.337086381261687,0.580591406465585,asi,real,d2,cv5,sp5.ghatREL1
asi_real_d2_cv5_sp6.ghatREL1,0.099623765991569,0.315632327228326,asi,real,d2,cv5,sp6.ghatREL1
asi_real_d2_cv5_sp7.ghatREL1,0.281969613645809,0.531008110715654,asi,real,d2,cv5,sp7.ghatREL1
