frq,totvar,V1,nvar
0.1,0.035416760641988,38191,0.00927358818621875
0.15,0.107081756346576,99525,0.0107592822252274
0.2,0.0817050289926446,46438,0.0175944332212078
0.25,0.196770795575577,100729,0.0195346718001347
0.3,0.0243339754974795,10590,0.0229782582601318
0.35,0.211869111273557,83876,0.0252598015252941
0.4,0.18489919588056,65466,0.0282435456390431
0.45,0.0702697618553051,23647,0.0297161423670255
0.5,0.0876536114948232,30335,0.0288952073495379
