file,R2,r,trait,mode,cv,sp
asi_3d2_cv1_sp2.ghatREL1,0.517270621027715,0.719215281419767,asi,3d2,cv1,sp2.ghatREL1
asi_3d2_cv1_sp3.ghatREL1,0.162497397653116,0.403109659587954,asi,3d2,cv1,sp3.ghatREL1
asi_3d2_cv1_sp4.ghatREL1,0.306521869911199,0.553644172651713,asi,3d2,cv1,sp4.ghatREL1
asi_3d2_cv1_sp5.ghatREL1,0.356357938569369,0.596957233450914,asi,3d2,cv1,sp5.ghatREL1
asi_3d2_cv1_sp6.ghatREL1,0.217652797844783,0.466532740378189,asi,3d2,cv1,sp6.ghatREL1
asi_3d2_cv1_sp7.ghatREL1,0.146044081889322,0.382157142925946,asi,3d2,cv1,sp7.ghatREL1
asi_3d2_cv1_sp8.ghatREL1,0.189186263597811,0.434955473120883,asi,3d2,cv1,sp8.ghatREL1
asi_3d2_cv1_sp9.ghatREL1,0.225087379067826,0.474433745709373,asi,3d2,cv1,sp9.ghatREL1
asi_3d2_cv2_sp10.ghatREL1,0.406311822309733,0.63742593476398,asi,3d2,cv2,sp10.ghatREL1
asi_3d2_cv2_sp1.ghatREL1,0.608823157563191,0.780271207698446,asi,3d2,cv2,sp1.ghatREL1
asi_3d2_cv2_sp2.ghatREL1,0.273819636799999,0.523277781680055,asi,3d2,cv2,sp2.ghatREL1
asi_3d2_cv2_sp3.ghatREL1,0.158548003086117,0.398180867302935,asi,3d2,cv2,sp3.ghatREL1
asi_3d2_cv2_sp4.ghatREL1,0.0551993604177203,0.234945441363991,asi,3d2,cv2,sp4.ghatREL1
asi_3d2_cv2_sp5.ghatREL1,0.264947145881869,0.514730168031629,asi,3d2,cv2,sp5.ghatREL1
asi_3d2_cv2_sp6.ghatREL1,0.278187392105546,0.52743472781525,asi,3d2,cv2,sp6.ghatREL1
asi_3d2_cv2_sp7.ghatREL1,0.238888323612857,0.488762031680917,asi,3d2,cv2,sp7.ghatREL1
asi_3d2_cv2_sp8.ghatREL1,0.191950073271925,0.438121071476738,asi,3d2,cv2,sp8.ghatREL1
asi_3d2_cv2_sp9.ghatREL1,0.204803539529506,0.45255225060705,asi,3d2,cv2,sp9.ghatREL1
asi_3d2_cv3_sp10.ghatREL1,0.266591310259642,0.516324810811607,asi,3d2,cv3,sp10.ghatREL1
asi_3d2_cv3_sp1.ghatREL1,0.104466355138146,0.323212554115934,asi,3d2,cv3,sp1.ghatREL1
asi_3d2_cv3_sp2.ghatREL1,0.440614887428553,0.663788285094392,asi,3d2,cv3,sp2.ghatREL1
asi_3d2_cv3_sp3.ghatREL1,0.381071157857679,0.617309612639945,asi,3d2,cv3,sp3.ghatREL1
asi_3d2_cv3_sp4.ghatREL1,0.424737831425515,0.651719135383882,asi,3d2,cv3,sp4.ghatREL1
asi_3d2_cv3_sp5.ghatREL1,0.389525874440063,0.624120080144889,asi,3d2,cv3,sp5.ghatREL1
asi_3d2_cv3_sp6.ghatREL1,0.192759056532731,0.439043342430711,asi,3d2,cv3,sp6.ghatREL1
asi_3d2_cv3_sp7.ghatREL1,0.395747998384635,0.629085048609991,asi,3d2,cv3,sp7.ghatREL1
asi_3d2_cv3_sp8.ghatREL1,0.105689454426716,0.32509914553366,asi,3d2,cv3,sp8.ghatREL1
asi_3d2_cv3_sp9.ghatREL1,0.30831159869595,0.555258136992111,asi,3d2,cv3,sp9.ghatREL1
asi_3d2_cv4_sp10.ghatREL1,0.187198495529277,0.432664414447591,asi,3d2,cv4,sp10.ghatREL1
asi_3d2_cv4_sp1.ghatREL1,0.423074583243632,0.650441836941345,asi,3d2,cv4,sp1.ghatREL1
asi_3d2_cv4_sp2.ghatREL1,0.12704356740108,0.356431714920376,asi,3d2,cv4,sp2.ghatREL1
asi_3d2_cv4_sp3.ghatREL1,0.396138920069572,0.629395678464328,asi,3d2,cv4,sp3.ghatREL1
asi_3d2_cv4_sp4.ghatREL1,0.271817652108228,0.521361345046051,asi,3d2,cv4,sp4.ghatREL1
asi_3d2_cv4_sp5.ghatREL1,0.509355808851399,0.713691676322065,asi,3d2,cv4,sp5.ghatREL1
asi_3d2_cv4_sp6.ghatREL1,0.497167817286134,0.705101281580266,asi,3d2,cv4,sp6.ghatREL1
asi_3d2_cv4_sp7.ghatREL1,0.607800841293352,0.779615829298862,asi,3d2,cv4,sp7.ghatREL1
asi_3d2_cv4_sp8.ghatREL1,0.0744253309438689,0.272810063861048,asi,3d2,cv4,sp8.ghatREL1
asi_3d2_cv4_sp9.ghatREL1,0.355527018820697,0.596260864740171,asi,3d2,cv4,sp9.ghatREL1
asi_3d2_cv5_sp10.ghatREL1,0.023696359422325,0.15393621868269,asi,3d2,cv5,sp10.ghatREL1
asi_3d2_cv5_sp1.ghatREL1,0.212268771744738,0.460726352344576,asi,3d2,cv5,sp1.ghatREL1
asi_3d2_cv5_sp2.ghatREL1,0.803136019550086,0.896178564545083,asi,3d2,cv5,sp2.ghatREL1
asi_3d2_cv5_sp3.ghatREL1,0.182569639904104,0.427281686834463,asi,3d2,cv5,sp3.ghatREL1
asi_3d2_cv5_sp4.ghatREL1,0.219284120981552,0.468277824567373,asi,3d2,cv5,sp4.ghatREL1
asi_3d2_cv5_sp5.ghatREL1,0.279668891700642,0.528837301729598,asi,3d2,cv5,sp5.ghatREL1
asi_3d2_cv5_sp6.ghatREL1,0.265476497888961,0.515244114851359,asi,3d2,cv5,sp6.ghatREL1
asi_3d2_cv5_sp7.ghatREL1,0.450334837248511,0.671069919791158,asi,3d2,cv5,sp7.ghatREL1
asi_3d2_cv5_sp8.ghatREL1,0.190510120038007,0.436474649937435,asi,3d2,cv5,sp8.ghatREL1
asi_3d2_cv5_sp9.ghatREL1,0.100711835158545,0.317351280379558,asi,3d2,cv5,sp9.ghatREL1
asi_4a2_cv1_sp10.ghatREL1,0.17864420818577,0.42266323259277,asi,4a2,cv1,sp10.ghatREL1
asi_4a2_cv1_sp1.ghatREL1,0.489930866474296,0.699950617168309,asi,4a2,cv1,sp1.ghatREL1
asi_4a2_cv1_sp2.ghatREL1,0.566592819461785,0.752723600973017,asi,4a2,cv1,sp2.ghatREL1
asi_4a2_cv1_sp3.ghatREL1,0.238396392679396,0.488258530575141,asi,4a2,cv1,sp3.ghatREL1
asi_4a2_cv1_sp4.ghatREL1,0.538466156403681,0.733802532295768,asi,4a2,cv1,sp4.ghatREL1
asi_4a2_cv1_sp5.ghatREL1,0.336942349221505,0.580467354139322,asi,4a2,cv1,sp5.ghatREL1
asi_4a2_cv1_sp6.ghatREL1,0.298736463107416,0.546567894325505,asi,4a2,cv1,sp6.ghatREL1
asi_4a2_cv1_sp7.ghatREL1,0.0817226417729024,0.285871722583578,asi,4a2,cv1,sp7.ghatREL1
asi_4a2_cv1_sp8.ghatREL1,0.578514824914248,0.760601620373141,asi,4a2,cv1,sp8.ghatREL1
asi_4a2_cv1_sp9.ghatREL1,0.267095071081186,0.516812413822642,asi,4a2,cv1,sp9.ghatREL1
asi_4a2_cv2_sp10.ghatREL1,0.525294541423708,0.724772061701959,asi,4a2,cv2,sp10.ghatREL1
asi_4a2_cv2_sp1.ghatREL1,0.185738617992982,0.430974034012471,asi,4a2,cv2,sp1.ghatREL1
asi_4a2_cv2_sp2.ghatREL1,0.295699282834404,0.543782385549959,asi,4a2,cv2,sp2.ghatREL1
asi_4a2_cv2_sp3.ghatREL1,0.101003124368825,0.317809887147685,asi,4a2,cv2,sp3.ghatREL1
asi_4a2_cv2_sp4.ghatREL1,0.0839163561608387,0.289683199652377,asi,4a2,cv2,sp4.ghatREL1
asi_4a2_cv2_sp5.ghatREL1,0.369024858421168,0.607474162760169,asi,4a2,cv2,sp5.ghatREL1
asi_4a2_cv2_sp6.ghatREL1,0.352690298787864,0.593877343218163,asi,4a2,cv2,sp6.ghatREL1
asi_4a2_cv2_sp7.ghatREL1,0.392554995115337,0.626542093650009,asi,4a2,cv2,sp7.ghatREL1
asi_4a2_cv2_sp8.ghatREL1,0.274373988378269,0.523807205351615,asi,4a2,cv2,sp8.ghatREL1
