file,R2,r,trait,cs,mode,cv,sp,type
asi_real_a1_cv5_sp3.ghatREL1,0.695270974078288,0.833829103640721,asi,real,a1,cv5,sp3.ghatREL1,real
asi_real_a1_cv5_sp4.ghatREL1,0.683511436094302,0.826747504437904,asi,real,a1,cv5,sp4.ghatREL1,real
asi_real_a1_cv5_sp5.ghatREL1,0.41040307855224,0.640627097890996,asi,real,a1,cv5,sp5.ghatREL1,real
asi_real_a1_cv5_sp6.ghatREL1,0.379279131774914,0.615856421396184,asi,real,a1,cv5,sp6.ghatREL1,real
asi_real_a1_cv5_sp7.ghatREL1,0.549013100165521,0.74095418223094,asi,real,a1,cv5,sp7.ghatREL1,real
asi_real_a1_cv5_sp8.ghatREL1,0.417509241919341,0.646149550738326,asi,real,a1,cv5,sp8.ghatREL1,real
asi_real_a1_cv5_sp9.ghatREL1,0.215895723670943,0.464645804533887,asi,real,a1,cv5,sp9.ghatREL1,real
asi_real_a2_cv1_sp10.ghatREL1,0.365030167253744,0.604177264760719,asi,real,a2,cv1,sp10.ghatREL1,real
asi_real_a2_cv1_sp1.ghatREL1,0.560353532474121,0.748567653905858,asi,real,a2,cv1,sp1.ghatREL1,real
asi_real_a2_cv1_sp2.ghatREL1,0.242732326894975,0.492678725839644,asi,real,a2,cv1,sp2.ghatREL1,real
asi_real_a2_cv1_sp3.ghatREL1,0.152406859823849,0.390393211805545,asi,real,a2,cv1,sp3.ghatREL1,real
asi_real_a2_cv1_sp4.ghatREL1,0.303514412831821,0.55092142164906,asi,real,a2,cv1,sp4.ghatREL1,real
asi_real_a2_cv1_sp5.ghatREL1,0.469144700791239,0.684941384931032,asi,real,a2,cv1,sp5.ghatREL1,real
asi_real_a2_cv1_sp6.ghatREL1,0.690771931972052,0.831126904853917,asi,real,a2,cv1,sp6.ghatREL1,real
asi_real_a2_cv1_sp7.ghatREL1,0.202823520764874,0.450359324056774,asi,real,a2,cv1,sp7.ghatREL1,real
asi_real_a2_cv1_sp8.ghatREL1,0.334017368281106,0.577942357230464,asi,real,a2,cv1,sp8.ghatREL1,real
asi_real_a2_cv1_sp9.ghatREL1,0.407302128215457,0.63820226277839,asi,real,a2,cv1,sp9.ghatREL1,real
asi_real_a2_cv2_sp10.ghatREL1,0.279649359672435,0.528818834453194,asi,real,a2,cv2,sp10.ghatREL1,real
asi_real_a2_cv2_sp1.ghatREL1,0.233948044265247,0.483681759285222,asi,real,a2,cv2,sp1.ghatREL1,real
asi_real_a2_cv2_sp2.ghatREL1,0.525898702533185,0.725188735801367,asi,real,a2,cv2,sp2.ghatREL1,real
