id,DN,nonmiss,chr,DR
LH123HT,26030,136782,10,0.1903
LH82,38131,203189,10,0.1877
Mo17,94613,482604,10,0.196
PH207,32711,169183,10,0.1933
PHG35,41218,215072,10,0.1916
PHG39,39349,211428,10,0.1861
PHG47,41437,219103,10,0.1891
PHG84,32826,175204,10,0.1874
PHJ40,37606,199559,10,0.1884
PHZ51,47871,260238,10,0.184
