file,R2,r,trait,cs,mode,cv,sp,type
asi_cs1_d2_cv1_sp2.ghatREL1,0.0393346242190265,0.19832958483047,asi,cs1,d2,cv1,sp2.ghatREL1,random
asi_cs1_d2_cv1_sp3.ghatREL1,0.400952142766892,0.633207819571815,asi,cs1,d2,cv1,sp3.ghatREL1,random
asi_cs1_d2_cv1_sp4.ghatREL1,0.0497740490677233,0.223100984013346,asi,cs1,d2,cv1,sp4.ghatREL1,random
asi_cs1_d2_cv1_sp5.ghatREL1,5.94436146010688e-05,-0.00770996852140583,asi,cs1,d2,cv1,sp5.ghatREL1,random
asi_cs1_d2_cv1_sp6.ghatREL1,0.00532999178652867,0.0730067927423789,asi,cs1,d2,cv1,sp6.ghatREL1,random
asi_cs1_d2_cv1_sp7.ghatREL1,0.0256352757247379,-0.160110198690583,asi,cs1,d2,cv1,sp7.ghatREL1,random
asi_cs1_d2_cv1_sp8.ghatREL1,0.106319870977525,0.326067279832744,asi,cs1,d2,cv1,sp8.ghatREL1,random
asi_cs1_d2_cv1_sp9.ghatREL1,0.192085706071283,0.438275833318793,asi,cs1,d2,cv1,sp9.ghatREL1,random
asi_cs1_d2_cv2_sp10.ghatREL1,0.110733154717726,0.332765915799269,asi,cs1,d2,cv2,sp10.ghatREL1,random
asi_cs1_d2_cv2_sp1.ghatREL1,0.230222501223179,0.479815069816673,asi,cs1,d2,cv2,sp1.ghatREL1,random
asi_cs1_d2_cv2_sp2.ghatREL1,0.291099850962503,0.539536700292485,asi,cs1,d2,cv2,sp2.ghatREL1,random
asi_cs1_d2_cv2_sp3.ghatREL1,0.166608215834814,0.408176696829711,asi,cs1,d2,cv2,sp3.ghatREL1,random
asi_cs1_d2_cv2_sp4.ghatREL1,0.0231807813543344,-0.152252360751268,asi,cs1,d2,cv2,sp4.ghatREL1,random
asi_cs1_d2_cv2_sp5.ghatREL1,0.106563021032453,0.326439919483591,asi,cs1,d2,cv2,sp5.ghatREL1,random
asi_cs1_d2_cv2_sp6.ghatREL1,0.0966029761454674,0.310810193117065,asi,cs1,d2,cv2,sp6.ghatREL1,random
asi_cs1_d2_cv2_sp7.ghatREL1,0.0105597431684168,-0.102760610977245,asi,cs1,d2,cv2,sp7.ghatREL1,random
asi_cs1_d2_cv2_sp8.ghatREL1,0.113836055983206,0.337395992838099,asi,cs1,d2,cv2,sp8.ghatREL1,random
asi_cs1_d2_cv2_sp9.ghatREL1,0.0230095867490162,0.151689112163715,asi,cs1,d2,cv2,sp9.ghatREL1,random
asi_cs1_d2_cv3_sp10.ghatREL1,0.498486960766236,0.706036090271762,asi,cs1,d2,cv3,sp10.ghatREL1,random
asi_cs1_d2_cv3_sp1.ghatREL1,0.259953758081019,0.509856605410795,asi,cs1,d2,cv3,sp1.ghatREL1,random
asi_cs1_d2_cv3_sp2.ghatREL1,0.221499074055899,0.470636881317114,asi,cs1,d2,cv3,sp2.ghatREL1,random
asi_cs1_d2_cv3_sp3.ghatREL1,0.19259854467458,0.438860507080074,asi,cs1,d2,cv3,sp3.ghatREL1,random
asi_cs1_d2_cv3_sp4.ghatREL1,0.101613119657255,0.318768128358616,asi,cs1,d2,cv3,sp4.ghatREL1,random
asi_cs1_d2_cv3_sp5.ghatREL1,0.540775272204039,0.735374239557002,asi,cs1,d2,cv3,sp5.ghatREL1,random
asi_cs1_d2_cv3_sp6.ghatREL1,0.568316478395922,0.75386767963345,asi,cs1,d2,cv3,sp6.ghatREL1,random
asi_cs1_d2_cv3_sp7.ghatREL1,0.287435925927258,0.536130512027863,asi,cs1,d2,cv3,sp7.ghatREL1,random
asi_cs1_d2_cv3_sp8.ghatREL1,0.13714865517508,0.370335868064491,asi,cs1,d2,cv3,sp8.ghatREL1,random
asi_cs1_d2_cv3_sp9.ghatREL1,0.0733606550027326,0.270851721432101,asi,cs1,d2,cv3,sp9.ghatREL1,random
asi_cs1_d2_cv4_sp10.ghatREL1,0.00580310725663694,0.076178128466358,asi,cs1,d2,cv4,sp10.ghatREL1,random
asi_cs1_d2_cv4_sp1.ghatREL1,0.3577436683179,0.598116768129686,asi,cs1,d2,cv4,sp1.ghatREL1,random
asi_cs1_d2_cv4_sp2.ghatREL1,0.119368271301486,-0.345497136459169,asi,cs1,d2,cv4,sp2.ghatREL1,random
asi_cs1_d2_cv4_sp3.ghatREL1,0.003896184707008,0.0624194257183451,asi,cs1,d2,cv4,sp3.ghatREL1,random
asi_cs1_d2_cv4_sp4.ghatREL1,0.358904912572515,0.599086732095207,asi,cs1,d2,cv4,sp4.ghatREL1,random
asi_cs1_d2_cv4_sp5.ghatREL1,0.139818801593107,0.373923523722574,asi,cs1,d2,cv4,sp5.ghatREL1,random
asi_cs1_d2_cv4_sp6.ghatREL1,0.184320973842092,0.42932618583321,asi,cs1,d2,cv4,sp6.ghatREL1,random
asi_cs1_d2_cv4_sp7.ghatREL1,0.484642089871616,0.696162401937663,asi,cs1,d2,cv4,sp7.ghatREL1,random
asi_cs1_d2_cv4_sp8.ghatREL1,0.062419897228511,-0.249839743092469,asi,cs1,d2,cv4,sp8.ghatREL1,random
asi_cs1_d2_cv4_sp9.ghatREL1,0.140467607086387,0.374790084028896,asi,cs1,d2,cv4,sp9.ghatREL1,random
asi_cs1_d2_cv5_sp10.ghatREL1,0.00796435323774289,0.0892432251643949,asi,cs1,d2,cv5,sp10.ghatREL1,random
asi_cs1_d2_cv5_sp1.ghatREL1,0.0506592137037759,-0.22507601761133,asi,cs1,d2,cv5,sp1.ghatREL1,random
asi_cs1_d2_cv5_sp2.ghatREL1,0.39813184571496,0.630976897924924,asi,cs1,d2,cv5,sp2.ghatREL1,random
asi_cs1_d2_cv5_sp3.ghatREL1,0.0619865522114824,0.248970986686165,asi,cs1,d2,cv5,sp3.ghatREL1,random
asi_cs1_d2_cv5_sp4.ghatREL1,0.0645454964424288,0.254058057227927,asi,cs1,d2,cv5,sp4.ghatREL1,random
asi_cs1_d2_cv5_sp5.ghatREL1,0.369399657394375,0.607782574112137,asi,cs1,d2,cv5,sp5.ghatREL1,random
asi_cs1_d2_cv5_sp6.ghatREL1,0.127028034226371,0.356409924421825,asi,cs1,d2,cv5,sp6.ghatREL1,random
asi_cs1_d2_cv5_sp7.ghatREL1,0.080183941185379,0.283167690927795,asi,cs1,d2,cv5,sp7.ghatREL1,random
asi_cs1_d2_cv5_sp8.ghatREL1,0.0767938536792393,0.277117039676811,asi,cs1,d2,cv5,sp8.ghatREL1,random
asi_cs1_d2_cv5_sp9.ghatREL1,0.383235337463394,0.619060043504177,asi,cs1,d2,cv5,sp9.ghatREL1,random
asi_cs2_a2_cv1_sp10.ghatREL1,0.0443644781070934,-0.210628768469773,asi,cs2,a2,cv1,sp10.ghatREL1,random
asi_cs2_a2_cv1_sp1.ghatREL1,0.0307774906103304,0.175435146451133,asi,cs2,a2,cv1,sp1.ghatREL1,random
asi_cs2_a2_cv1_sp2.ghatREL1,0.0374372438926089,0.193487063889576,asi,cs2,a2,cv1,sp2.ghatREL1,random
