frq,totvar,V1,nvar,sample
0.1,0.019994323637,5909,0.0338370682636656,0
0.15,0.050419974799,15603,0.0323142823809524,0
0.2,0.056283413756,13673,0.0411639097169604,0
0.25,0.131258161916,33511,0.0391686795129957,0
0.3,0.022585697005,4524,0.0499241755194518,0
0.35,0.167041718351,37630,0.04439057091443,0
0.4,0.156020679276,33498,0.0465761177610604,0
0.45,0.066603928534,12512,0.053232040068734,0
0.5,0.075567246109,15515,0.0487059272375121,0
0.1,0.017774476007,5508,0.0322702904992738,1
0.15,0.058800577061,19708,0.0298358925619038,1
0.2,0.059895016104,14984,0.0399726482274426,1
0.25,0.144256579939,37238,0.0387390783444331,1
0.3,0.019514018842,4357,0.0447877412026624,1
0.35,0.173812657804,39600,0.0438920853040404,1
0.4,0.158948408098,34337,0.0462907091761074,1
0.45,0.06005599154,11728,0.051207359771487,1
0.5,0.074869882431,15396,0.0486294377961808,1
0.1,0.018016499778,5609,0.0321206984810127,2
0.15,0.059196021234,19832,0.0298487400332795,2
0.2,0.05916648103,14792,0.0399989731138453,2
0.25,0.143806627771,36901,0.0389709297230427,2
0.3,0.020075805017,4453,0.0450837750213339,2
0.35,0.172664607625,39330,0.043901502065853,2
0.4,0.15766338573,33893,0.0465179788540407,2
0.45,0.060660741435,11931,0.0508429649107367,2
0.5,0.075285068961,15415,0.0488388381193643,2
0.1,0.017803676751,5491,0.0324233778018576,3
0.15,0.059199531902,19828,0.0298565321272947,3
0.2,0.059807297651,15012,0.0398396600393019,3
0.25,0.144516028988,37098,0.0389552075551243,3
0.3,0.01992884553,4448,0.0448040591951439,3
0.35,0.173273245263,39373,0.0440081388928961,3
0.4,0.155870106382,33695,0.0462591204576347,3
0.45,0.060705244279,11815,0.0513798089538722,3
0.5,0.075769345229,15480,0.0489466054450904,3
0.1,0.018140661912,5677,0.0319546625189361,4
0.15,0.059099348921,19895,0.0297056290128173,4
0.2,0.057998262194,14895,0.0389380746518966,4
0.25,0.143582611286,36957,0.0388512626257543,4
0.3,0.019606896748,4433,0.0442294084096549,4
0.35,0.173494388868,39281,0.0441675081764721,4
0.4,0.158492012201,33980,0.0466427346088876,4
0.45,0.059941976407,11683,0.0513070071103312,4
0.5,0.076125829415,15539,0.0489901727363408,4
0.1,0.018335818377,5628,0.0325796346428571,5
0.15,0.059333691021,20091,0.0295324727594445,5
0.2,0.059628276423,15052,0.03961485279232,5
0.25,0.144018127286,36987,0.0389374989282721,5
0.3,0.019783295109,4397,0.0449927111871731,5
0.35,0.172639259952,39332,0.0438928251683108,5
0.4,0.156340556648,33595,0.0465368527006995,5
0.45,0.061099267492,11764,0.0519374936178171,5
0.5,0.075276028703,15362,0.0490014507896107,5
0.1,0.018234170498,5683,0.0320854662994897,6
0.15,0.059245841888,19962,0.0296793116361086,6
0.2,0.059430393407,14981,0.0396705115860089,6
0.25,0.142837035788,36762,0.0388545334279963,6
0.3,0.019515803639,4404,0.0443138138941871,6
0.35,0.174025253478,39424,0.0441419575583401,6
0.4,0.157017036475,33840,0.0463998334736998,6
0.45,0.060896154423,11926,0.0510616756858964,6
0.5,0.075969508986,15573,0.0487828350260065,6
0.1,0.018401419907,5692,0.0323285662456079,7
0.15,0.058577349438,19783,0.0296099425961684,7
0.2,0.059938819117,15161,0.039534871787481,7
0.25,0.144081646801,37172,0.0387608002800495,7
0.3,0.019545046011,4349,0.0449414716279604,7
0.35,0.174457478959,39407,0.0442706826094349,7
0.4,0.157119568482,33871,0.0463876379445543,7
0.45,0.060555571385,11824,0.0512141165299391,7
0.5,0.07519996752,15318,0.0490925496278888,7
0.1,0.01785969481,5541,0.0322318982313662,8
0.15,0.058620786728,19644,0.0298415733699857,8
0.2,0.06006279144,15083,0.0398215152423258,8
0.25,0.144959922475,36968,0.0392122707409111,8
0.3,0.019795405045,4406,0.0449282910689968,8
0.35,0.172436280814,39270,0.0439104356541889,8
0.4,0.157465101871,33976,0.0463459800656346,8
0.45,0.060763587839,12006,0.0506110176903215,8
0.5,0.074739667041,15463,0.0483345192013193,8
0.1,0.017975569778,5531,0.032499674160188,9
0.15,0.058962119083,19846,0.0297098251955054,9
0.2,0.059512473618,14942,0.0398289878316156,9
0.25,0.1433646717,36820,0.0389366300108637,9
0.3,0.019828817914,4461,0.0444492667877158,9
0.35,0.173898412532,39458,0.0440717756936489,9
0.4,0.156976951259,33941,0.0462499488108777,9
0.45,0.060830128762,11807,0.0515203936325908,9
0.5,0.076095577485,15585,0.0488261645717036,9
0.1,0.018108197992,5602,0.0323245233702249,10
0.15,0.058971837765,19837,0.0297282037430055,10
0.2,0.058976781109,14886,0.0396189581546419,10
0.25,0.145049448727,37346,0.0388393532713008,10
0.3,0.018925079652,4252,0.0445086539322672,10
0.35,0.173800875426,39446,0.0440604561745171,10
0.4,0.15713051525,33848,0.0464223928297093,10
0.45,0.061256076687,11851,0.0516885298177369,10
0.5,0.074601395984,15231,0.0489799724141553,10
