frq,totvar,V1,nvar,sample
0.1,0.00040285746,35,0.115102131428571,0
0.15,9.217451e-05,7,0.131677871428571,0
0.2,0.01093136562,829,0.131862070205066,0
0.25,0.01414869734,1031,0.137232757904947,0
0.3,0.00609054377,412,0.147828732281553,0
0.35,0.02411038486,1760,0.136990823068182,0
0.4,0.02302775895,1573,0.146393890336936,0
0.45,0.02183708562,1437,0.151963017536534,0
0.5,0.01225027692,855,0.143278092631579,0
0.1,0.00029651299,26,0.114043457692308,1
0.15,6.19829e-05,6,0.103304833333333,1
0.2,0.01082426581,825,0.131203221939394,1
0.25,0.01686724039,1253,0.134614847486034,1
0.3,0.00509438477,353,0.144316849008499,1
0.35,0.02817750372,1985,0.141952159798489,1
0.4,0.02520637744,1687,0.149415396799052,1
0.45,0.01781858337,1169,0.152425862874251,1
0.5,0.0132353939,882,0.150061155328798,1
0.1,0.00031775787,28,0.113484953571429,2
0.15,0.00020677164,20,0.10338582,2
0.2,0.00964692474,740,0.130363847837838,2
0.25,0.01661256595,1245,0.133434264658635,2
0.3,0.00550125669,384,0.14326189296875,2
0.35,0.02872302576,1989,0.144409380392157,2
0.4,0.02517383228,1676,0.150201863245823,2
0.45,0.01838861538,1185,0.15517818886076,2
0.5,0.01399509341,940,0.148883972446809,2
0.1,0.00028154558,25,0.112618232,3
0.15,0.00025680867,25,0.102723468,3
0.2,0.00979804361,736,0.133125592527174,3
0.25,0.01731320185,1282,0.135048376365055,3
0.3,0.00510390466,361,0.141382400554017,3
0.35,0.02831142369,1952,0.14503803119877,3
0.4,0.02476108254,1662,0.148983649458484,3
0.45,0.01930257701,1258,0.153438608982512,3
0.5,0.01395094886,937,0.148889528922092,3
0.1,0.00034186292,30,0.113954306666667,4
0.15,0.00011473808,11,0.104307345454545,4
0.2,0.00942956238,711,0.132623943459916,4
0.25,0.01718555084,1271,0.13521283115657,4
0.3,0.00536433205,369,0.145374852303523,4
0.35,0.02939683676,2051,0.14332928698196,4
0.4,0.02596403135,1749,0.148450722412807,4
0.45,0.01755793407,1161,0.151231128940568,4
0.5,0.01312256993,907,0.144681035611907,4
0.1,0.0002582147,23,0.112267260869565,5
0.15,0.00012554634,12,0.10462195,5
0.2,0.01079905663,829,0.130266063088058,5
0.25,0.01741811733,1281,0.135972812880562,5
0.3,0.00522510529,345,0.151452327246377,5
0.35,0.02964918531,2050,0.144630172243902,5
0.4,0.02545441318,1723,0.147733100290192,5
0.45,0.01962384185,1284,0.152833659267913,5
0.5,0.01403909109,948,0.148091678164557,5
0.1,0.00030428015,27,0.112696351851852,6
0.15,0.00011341651,11,0.103105918181818,6
0.2,0.01045517267,783,0.13352710945083,6
0.25,0.01688727772,1251,0.134990229576339,6
0.3,0.00488834115,346,0.141281536127168,6
0.35,0.02902525367,2017,0.143903092067427,6
0.4,0.02418851322,1629,0.148486882872928,6
0.45,0.01936976454,1273,0.152158401728201,6
0.5,0.01375529898,947,0.145251309186906,6
0.1,0.00029608534,26,0.113878976923077,7
0.15,0.00029276192,28,0.104557828571429,7
0.2,0.01026075853,778,0.131886356426735,7
0.25,0.01735064586,1288,0.134709983385093,7
0.3,0.00510747352,357,0.143066485154062,7
0.35,0.02948312673,2018,0.146100727106046,7
0.4,0.02523354283,1684,0.149842890914489,7
0.45,0.0184953849,1200,0.1541282075,7
0.5,0.01446793317,958,0.15102226691023,7
0.1,0.00037778564,33,0.114480496969697,8
0.15,0.00020710578,20,0.10355289,8
0.2,0.01073113043,811,0.132319734032059,8
0.25,0.01804939144,1348,0.133897562611276,8
0.3,0.00499710192,348,0.143594882758621,8
0.35,0.0277696731,1934,0.143586727507756,8
0.4,0.02483013742,1665,0.149129954474474,8
0.45,0.01922508232,1240,0.155040986451613,8
0.5,0.01304555708,892,0.146250639910314,8
0.1,0.00041213996,36,0.114483322222222,9
0.15,0.00022499952,22,0.102272509090909,9
0.2,0.01051308254,805,0.13059729863354,9
0.25,0.01716017758,1275,0.134589628078431,9
0.3,0.0048810767,347,0.140665034582133,9
0.35,0.02861030486,1997,0.143266423935904,9
0.4,0.02531219203,1701,0.148807713286302,9
0.45,0.01898755834,1247,0.15226590489174,9
0.5,0.01428509094,958,0.149113684133612,9
0.1,0.00052463232,46,0.114050504347826,10
0.15,0.00015614228,15,0.104094853333333,10
0.2,0.01089223921,829,0.131390099034982,10
0.25,0.01744170429,1307,0.133448387834736,10
0.3,0.00478846568,342,0.140013616374269,10
0.35,0.02923156491,2027,0.144210976369018,10
0.4,0.02406823353,1621,0.148477689882788,10
0.45,0.01977581967,1289,0.153419857796742,10
0.5,0.01395410291,924,0.151018429761905,10
