file,R2,r,trait,snpset
DTP_randsnp4_s6.ghatREL1,0.935268782861614,0.967092954612748,DTP,randsnp4
DTP_randsnp4_s7.ghatREL1,0.950183778879185,0.97477370649766,DTP,randsnp4
DTP_randsnp4_s8.ghatREL1,0.941342233300368,0.970227928530388,DTP,randsnp4
DTP_randsnp4_s9.ghatREL1,0.899880039429036,0.948620071171297,DTP,randsnp4
DTP_randsnp5_s10.ghatREL1,0.914839853071021,0.956472609681543,DTP,randsnp5
DTP_randsnp5_s11.ghatREL1,0.966235607445567,0.982972841662254,DTP,randsnp5
DTP_randsnp5_s12.ghatREL1,0.913649227704853,0.955850002722631,DTP,randsnp5
DTP_randsnp5_s1.ghatREL1,0.974870888013682,0.987355502346385,DTP,randsnp5
DTP_randsnp5_s2.ghatREL1,0.89768881775565,0.947464415033963,DTP,randsnp5
DTP_randsnp5_s3.ghatREL1,0.827246619211937,0.909530988593537,DTP,randsnp5
DTP_randsnp5_s4.ghatREL1,0.976532886397373,0.988196785259582,DTP,randsnp5
DTP_randsnp5_s5.ghatREL1,0.959311767720582,0.979444622079565,DTP,randsnp5
DTP_randsnp5_s6.ghatREL1,0.935279036195676,0.967098255709148,DTP,randsnp5
DTP_randsnp5_s7.ghatREL1,0.950230402262378,0.97479762118215,DTP,randsnp5
DTP_randsnp5_s8.ghatREL1,0.941341144832204,0.970227367595969,DTP,randsnp5
DTP_randsnp5_s9.ghatREL1,0.899783114927717,0.948568982693255,DTP,randsnp5
DTP_randsnp6_s10.ghatREL1,0.914859229588947,0.956482738782539,DTP,randsnp6
DTP_randsnp6_s11.ghatREL1,0.966238139880768,0.982974129812564,DTP,randsnp6
DTP_randsnp6_s12.ghatREL1,0.913832443348322,0.955945837036975,DTP,randsnp6
DTP_randsnp6_s1.ghatREL1,0.974878121303092,0.987359165300597,DTP,randsnp6
DTP_randsnp6_s2.ghatREL1,0.897583789263053,0.947408987324404,DTP,randsnp6
DTP_randsnp6_s3.ghatREL1,0.827294401862362,0.909557255956084,DTP,randsnp6
DTP_randsnp6_s4.ghatREL1,0.976565308739346,0.988213189923787,DTP,randsnp6
DTP_randsnp6_s5.ghatREL1,0.959299973769287,0.979438601326948,DTP,randsnp6
DTP_randsnp6_s6.ghatREL1,0.935329464272908,0.967124327205612,DTP,randsnp6
DTP_randsnp6_s7.ghatREL1,0.950246257851971,0.974805753907911,DTP,randsnp6
DTP_randsnp6_s8.ghatREL1,0.941258355174679,0.970184701577323,DTP,randsnp6
DTP_randsnp6_s9.ghatREL1,0.899809275023555,0.948582771835729,DTP,randsnp6
DTP_randsnp7_s10.ghatREL1,0.914753955872384,0.95642770551275,DTP,randsnp7
DTP_randsnp7_s11.ghatREL1,0.966262290679193,0.982986414290245,DTP,randsnp7
DTP_randsnp7_s12.ghatREL1,0.913821225116592,0.955939969410523,DTP,randsnp7
DTP_randsnp7_s1.ghatREL1,0.974878653077425,0.987359434591793,DTP,randsnp7
DTP_randsnp7_s2.ghatREL1,0.897566425836972,0.947399823642042,DTP,randsnp7
DTP_randsnp7_s3.ghatREL1,0.827137045155086,0.909470750027227,DTP,randsnp7
DTP_randsnp7_s4.ghatREL1,0.976533137931004,0.988196912528573,DTP,randsnp7
DTP_randsnp7_s5.ghatREL1,0.959298449705636,0.979437823297445,DTP,randsnp7
DTP_randsnp7_s6.ghatREL1,0.935290222783721,0.967104039275879,DTP,randsnp7
DTP_randsnp7_s7.ghatREL1,0.950224867879901,0.974794782443926,DTP,randsnp7
DTP_randsnp7_s8.ghatREL1,0.941258854867775,0.970184959102013,DTP,randsnp7
DTP_randsnp7_s9.ghatREL1,0.899813464876206,0.948584980313417,DTP,randsnp7
DTP_randsnp8_s10.ghatREL1,0.914774962893172,0.956438687472005,DTP,randsnp8
DTP_randsnp8_s11.ghatREL1,0.966210928453967,0.98296028834026,DTP,randsnp8
DTP_randsnp8_s12.ghatREL1,0.913758944667397,0.955907393353246,DTP,randsnp8
DTP_randsnp8_s1.ghatREL1,0.974838319570926,0.98733900944454,DTP,randsnp8
DTP_randsnp8_s2.ghatREL1,0.897625562301883,0.947431033005507,DTP,randsnp8
DTP_randsnp8_s3.ghatREL1,0.8272569820644,0.909536685386796,DTP,randsnp8
DTP_randsnp8_s4.ghatREL1,0.97655135825273,0.988206131458781,DTP,randsnp8
DTP_randsnp8_s5.ghatREL1,0.959273206151344,0.979424936455747,DTP,randsnp8
DTP_randsnp8_s6.ghatREL1,0.935361552774903,0.967140916710126,DTP,randsnp8
DTP_randsnp8_s7.ghatREL1,0.950207904830988,0.974786081574305,DTP,randsnp8
DTP_randsnp8_s8.ghatREL1,0.941278923170589,0.970195301560768,DTP,randsnp8
DTP_randsnp8_s9.ghatREL1,0.899892843942405,0.948626820168186,DTP,randsnp8
DTP_randsnp9_s10.ghatREL1,0.914813365728814,0.956458763213979,DTP,randsnp9
DTP_randsnp9_s11.ghatREL1,0.966313053287234,0.983012234556231,DTP,randsnp9
DTP_randsnp9_s12.ghatREL1,0.913726729176623,0.955890542466355,DTP,randsnp9
DTP_randsnp9_s1.ghatREL1,0.974922566176889,0.98738167198753,DTP,randsnp9
DTP_randsnp9_s2.ghatREL1,0.897597904886649,0.947416436888578,DTP,randsnp9
DTP_randsnp9_s3.ghatREL1,0.827351992056738,0.909588913771896,DTP,randsnp9
DTP_randsnp9_s4.ghatREL1,0.976545285502147,0.988203058840715,DTP,randsnp9
DTP_randsnp9_s5.ghatREL1,0.959280985332954,0.979428907748262,DTP,randsnp9
DTP_randsnp9_s6.ghatREL1,0.935251508118002,0.967084023297873,DTP,randsnp9
DTP_randsnp9_s7.ghatREL1,0.950200775988463,0.974782424948492,DTP,randsnp9
DTP_randsnp9_s8.ghatREL1,0.941304992753455,0.970208736691984,DTP,randsnp9
DTP_randsnp9_s9.ghatREL1,0.899899916079659,0.948630547726384,DTP,randsnp9
