file,genotype,ghat,V1,V2,trait,mode,tsf
asi_BPHmax_1a2,B73xLH1,0.6632869794,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xLH123HT,0.525549337,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xLH82,0.443380356,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xMO17,0.71456448,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPH207,0.6291620732,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPHG35,0.6181663872,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPHG39,0.7556183712,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPHG47,0.6973165852,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPHG84,0.780310042,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPHJ40,0.7010831257,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,B73xPHZ51,0.67988061136,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xLH123HT,0.54845725,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xLH82,0.482765898,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xMO17,0.786120542,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPH207,0.6639925895,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPHG35,0.6620994938,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPHG39,0.817974463,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPHG47,0.7245183886,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPHG84,0.910422444,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPHJ40,0.7578199805,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH1xPHZ51,0.854713619,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxLH82,0.33501336,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxMO17,0.573099502,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPH207,0.501687616,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPHG35,0.542068288,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPHG39,0.6525948999,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPHG47,0.554533042,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPHG84,0.5858714135,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPHJ40,0.572526373,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH123HTxPHZ51,0.501463026,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xMO17,0.494969115,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPH207,0.438431755,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPHG35,0.46634382,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPHG39,0.560531423,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPHG47,0.48130928,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPHG84,0.5842986257,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPHJ40,0.510408282,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,LH82xPHZ51,0.463230953,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPH207,0.728747219,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPHG35,0.724548217,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPHG39,0.875695482,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPHG47,0.7430203931,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPHG84,0.928833902,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPHJ40,0.7642110811,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,MO17xPHZ51,0.7374723406,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PH207xPHG35,0.6236959026,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PH207xPHG39,0.7570578681,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PH207xPHG47,0.6926915796,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PH207xPHG84,0.798812457,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PH207xPHJ40,0.7245067732,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PH207xPHZ51,0.679271542811,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG35xPHG39,0.7474645526,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG35xPHG47,0.68118197296,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG35xPHG84,0.7667679341,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG35xPHJ40,0.7273730525,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG35xPHZ51,0.67195014015,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG39xPHG47,0.822505713,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG39xPHG84,0.985072941,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG39xPHJ40,0.852213025,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG39xPHZ51,0.83225821,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG47xPHG84,0.831443146,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG47xPHJ40,0.779189505,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG47xPHZ51,0.730455272,Fix,0.678338647,asi,1a2,BPHmax
asi_BPHmax_1a2,PHG84xPHJ40,0.821306706,Fix,0.678338647,asi,1a2,BPHmax
