trait,A,D
ASI,0.438783432153,6.55408582603553e-08
DTP,0.801676961287,1.64770123302198e-122
DTS,0.801470182624,2.85690974855945e-24
EHT,0.7551531467949,0.0129206085807732
GY,0.503343637282349,0.238518554083904
PHT,0.760315335681962,0.0172553034863924
TW,0.583041722801856,0.0645825817465543
