file,R2,r,trait,cs,mode,sp,cv
asi_cs0_a2_sp8_cv2.ghatREL1,0.0247284625931156,0.157252861955246,asi,cs0,a2,sp8,cv2.ghatREL1
asi_cs0_a2_sp8_cv3.ghatREL1,0.0723617279393059,0.269001353043634,asi,cs0,a2,sp8,cv3.ghatREL1
asi_cs0_a2_sp8_cv4.ghatREL1,0.0128816294784465,-0.113497266391955,asi,cs0,a2,sp8,cv4.ghatREL1
asi_cs0_a2_sp8_cv5.ghatREL1,0.109192137792988,0.330442336562657,asi,cs0,a2,sp8,cv5.ghatREL1
asi_cs0_a2_sp9_cv1.ghatREL1,0.0186848971037179,0.136692710499565,asi,cs0,a2,sp9,cv1.ghatREL1
asi_cs0_a2_sp9_cv2.ghatREL1,0.00162075638081629,0.0402586187147086,asi,cs0,a2,sp9,cv2.ghatREL1
asi_cs0_a2_sp9_cv3.ghatREL1,0.117348140597936,0.342561148698938,asi,cs0,a2,sp9,cv3.ghatREL1
asi_cs0_a2_sp9_cv4.ghatREL1,0.000679085058670831,0.026059260516577,asi,cs0,a2,sp9,cv4.ghatREL1
asi_cs0_a2_sp9_cv5.ghatREL1,0.24154959121974,0.491476948818294,asi,cs0,a2,sp9,cv5.ghatREL1
asi_cs0_d2_sp10_cv1.ghatREL1,0.17324308473489,0.416224800720585,asi,cs0,d2,sp10,cv1.ghatREL1
asi_cs0_d2_sp10_cv2.ghatREL1,0.0533170029311659,0.230904748611123,asi,cs0,d2,sp10,cv2.ghatREL1
asi_cs0_d2_sp10_cv3.ghatREL1,0.016387820860586,-0.128014924366599,asi,cs0,d2,sp10,cv3.ghatREL1
asi_cs0_d2_sp10_cv4.ghatREL1,0.000551193547954398,0.0234775115366684,asi,cs0,d2,sp10,cv4.ghatREL1
asi_cs0_d2_sp10_cv5.ghatREL1,0.0331804858363096,-0.182155114768456,asi,cs0,d2,sp10,cv5.ghatREL1
asi_cs0_d2_sp1_cv1.ghatREL1,0.00070802376209265,0.0266087159046176,asi,cs0,d2,sp1,cv1.ghatREL1
asi_cs0_d2_sp1_cv2.ghatREL1,0.0648979322424961,0.25475072569572,asi,cs0,d2,sp1,cv2.ghatREL1
asi_cs0_d2_sp1_cv3.ghatREL1,0.0381126830520653,0.195224698878152,asi,cs0,d2,sp1,cv3.ghatREL1
asi_cs0_d2_sp1_cv4.ghatREL1,0.0977642165930894,0.312672698829126,asi,cs0,d2,sp1,cv4.ghatREL1
asi_cs0_d2_sp1_cv5.ghatREL1,0.00249339690448002,0.0499339253862544,asi,cs0,d2,sp1,cv5.ghatREL1
asi_cs0_d2_sp2_cv1.ghatREL1,0.0138947465944806,0.11787597971801,asi,cs0,d2,sp2,cv1.ghatREL1
asi_cs0_d2_sp2_cv2.ghatREL1,0.10549363763463,0.32479784117914,asi,cs0,d2,sp2,cv2.ghatREL1
asi_cs0_d2_sp2_cv3.ghatREL1,0.0483562846194701,0.2199006244181,asi,cs0,d2,sp2,cv3.ghatREL1
asi_cs0_d2_sp2_cv4.ghatREL1,0.221349163428972,-0.470477590782995,asi,cs0,d2,sp2,cv4.ghatREL1
asi_cs0_d2_sp2_cv5.ghatREL1,0.412928149144154,0.64259485614511,asi,cs0,d2,sp2,cv5.ghatREL1
asi_cs0_d2_sp3_cv1.ghatREL1,0.00536120517822074,-0.0732202511483042,asi,cs0,d2,sp3,cv1.ghatREL1
asi_cs0_d2_sp3_cv2.ghatREL1,0.00657379300061291,0.0810789306824708,asi,cs0,d2,sp3,cv2.ghatREL1
asi_cs0_d2_sp3_cv3.ghatREL1,0.0435384826701781,0.208658770892043,asi,cs0,d2,sp3,cv3.ghatREL1
asi_cs0_d2_sp3_cv4.ghatREL1,0.0813751449487771,0.285263290573423,asi,cs0,d2,sp3,cv4.ghatREL1
asi_cs0_d2_sp3_cv5.ghatREL1,0.0428529866921077,-0.207009629467104,asi,cs0,d2,sp3,cv5.ghatREL1
asi_cs0_d2_sp4_cv1.ghatREL1,0.0626936663584843,0.250387033127685,asi,cs0,d2,sp4,cv1.ghatREL1
asi_cs0_d2_sp4_cv2.ghatREL1,0.218946635977185,-0.467917338829397,asi,cs0,d2,sp4,cv2.ghatREL1
asi_cs0_d2_sp4_cv3.ghatREL1,0.000259334337477889,0.0161038609494086,asi,cs0,d2,sp4,cv3.ghatREL1
asi_cs0_d2_sp4_cv4.ghatREL1,0.24064260530716,0.490553366421187,asi,cs0,d2,sp4,cv4.ghatREL1
asi_cs0_d2_sp4_cv5.ghatREL1,0.00262450381765867,-0.0512299113571229,asi,cs0,d2,sp4,cv5.ghatREL1
asi_cs0_d2_sp5_cv1.ghatREL1,0.0124635342336569,0.111640199899754,asi,cs0,d2,sp5,cv1.ghatREL1
asi_cs0_d2_sp5_cv2.ghatREL1,0.113141729053539,0.336365469472624,asi,cs0,d2,sp5,cv2.ghatREL1
asi_cs0_d2_sp5_cv3.ghatREL1,0.154950228703572,0.39363717901587,asi,cs0,d2,sp5,cv3.ghatREL1
asi_cs0_d2_sp5_cv4.ghatREL1,0.0900455669329892,0.300075935278038,asi,cs0,d2,sp5,cv4.ghatREL1
asi_cs0_d2_sp5_cv5.ghatREL1,0.207290001302442,0.455291117091518,asi,cs0,d2,sp5,cv5.ghatREL1
asi_cs0_d2_sp6_cv1.ghatREL1,0.00956266976307196,-0.0977889040897379,asi,cs0,d2,sp6,cv1.ghatREL1
asi_cs0_d2_sp6_cv2.ghatREL1,0.12573710495317,0.354594282177772,asi,cs0,d2,sp6,cv2.ghatREL1
asi_cs0_d2_sp6_cv3.ghatREL1,0.193902842857451,0.440344005133999,asi,cs0,d2,sp6,cv3.ghatREL1
asi_cs0_d2_sp6_cv4.ghatREL1,0.000245113882215674,0.0156561132537956,asi,cs0,d2,sp6,cv4.ghatREL1
asi_cs0_d2_sp6_cv5.ghatREL1,0.00128818102535554,0.0358912388384065,asi,cs0,d2,sp6,cv5.ghatREL1
asi_cs0_d2_sp7_cv1.ghatREL1,0.0532953159517481,-0.230857782956841,asi,cs0,d2,sp7,cv1.ghatREL1
asi_cs0_d2_sp7_cv2.ghatREL1,0.085439284260588,0.292299990182326,asi,cs0,d2,sp7,cv2.ghatREL1
asi_cs0_d2_sp7_cv3.ghatREL1,0.147020104754328,0.383432007994022,asi,cs0,d2,sp7,cv3.ghatREL1
asi_cs0_d2_sp7_cv4.ghatREL1,0.236344824107824,0.486153087111276,asi,cs0,d2,sp7,cv4.ghatREL1
asi_cs0_d2_sp7_cv5.ghatREL1,0.0236835527894598,0.153894615855981,asi,cs0,d2,sp7,cv5.ghatREL1
asi_cs0_d2_sp8_cv1.ghatREL1,0.0807424336050346,0.2841521310936,asi,cs0,d2,sp8,cv1.ghatREL1
asi_cs0_d2_sp8_cv2.ghatREL1,0.000617728230606879,-0.0248541391041186,asi,cs0,d2,sp8,cv2.ghatREL1
asi_cs0_d2_sp8_cv3.ghatREL1,0.00966646796626639,0.0983181975336529,asi,cs0,d2,sp8,cv3.ghatREL1
asi_cs0_d2_sp8_cv4.ghatREL1,0.0876735558486168,-0.29609720675585,asi,cs0,d2,sp8,cv4.ghatREL1
asi_cs0_d2_sp8_cv5.ghatREL1,0.0264296421391977,0.162571959879918,asi,cs0,d2,sp8,cv5.ghatREL1
asi_cs0_d2_sp9_cv1.ghatREL1,0.000108471559025997,0.0104149680280833,asi,cs0,d2,sp9,cv1.ghatREL1
asi_cs0_d2_sp9_cv2.ghatREL1,0.0140029399397709,0.11833401852287,asi,cs0,d2,sp9,cv2.ghatREL1
asi_cs0_d2_sp9_cv3.ghatREL1,0.026369967897394,0.162388324387543,asi,cs0,d2,sp9,cv3.ghatREL1
asi_cs0_d2_sp9_cv4.ghatREL1,0.0084459757956594,-0.0919019901615813,asi,cs0,d2,sp9,cv4.ghatREL1
asi_cs0_d2_sp9_cv5.ghatREL1,0.246243544855284,0.496229326879502,asi,cs0,d2,sp9,cv5.ghatREL1
asi_cs10_a2_sp10_cv1.ghatREL1,0.0252294242055626,0.158837729162698,asi,cs10,a2,sp10,cv1.ghatREL1
asi_cs10_a2_sp10_cv2.ghatREL1,0.0713037479328428,0.26702761642355,asi,cs10,a2,sp10,cv2.ghatREL1
asi_cs10_a2_sp10_cv3.ghatREL1,0.174040947910989,0.41718215195642,asi,cs10,a2,sp10,cv3.ghatREL1
asi_cs10_a2_sp10_cv4.ghatREL1,0.00746342419439911,0.0863911117789273,asi,cs10,a2,sp10,cv4.ghatREL1
asi_cs10_a2_sp10_cv5.ghatREL1,0.00211807690286883,-0.0460225694944212,asi,cs10,a2,sp10,cv5.ghatREL1
asi_cs10_a2_sp1_cv1.ghatREL1,0.0419669271310542,0.204858309890163,asi,cs10,a2,sp1,cv1.ghatREL1
asi_cs10_a2_sp1_cv2.ghatREL1,0.116633771306678,0.34151686826082,asi,cs10,a2,sp1,cv2.ghatREL1
asi_cs10_a2_sp1_cv3.ghatREL1,0.0389289490236246,0.197304204272551,asi,cs10,a2,sp1,cv3.ghatREL1
asi_cs10_a2_sp1_cv4.ghatREL1,0.0945649642281227,0.307514169150175,asi,cs10,a2,sp1,cv4.ghatREL1
asi_cs10_a2_sp1_cv5.ghatREL1,0.0609552255548817,0.246891120850633,asi,cs10,a2,sp1,cv5.ghatREL1
asi_cs10_a2_sp2_cv1.ghatREL1,0.10343762900794,0.321617208818092,asi,cs10,a2,sp2,cv1.ghatREL1
asi_cs10_a2_sp2_cv2.ghatREL1,0.246222913929993,0.496208538751595,asi,cs10,a2,sp2,cv2.ghatREL1
asi_cs10_a2_sp2_cv3.ghatREL1,0.0547418091006488,0.233969675600597,asi,cs10,a2,sp2,cv3.ghatREL1
asi_cs10_a2_sp2_cv4.ghatREL1,0.167082945020488,-0.40875780728995,asi,cs10,a2,sp2,cv4.ghatREL1
asi_cs10_a2_sp2_cv5.ghatREL1,0.320324179851909,0.565971889630491,asi,cs10,a2,sp2,cv5.ghatREL1
asi_cs10_a2_sp3_cv1.ghatREL1,0.122893014215998,0.350560999279723,asi,cs10,a2,sp3,cv1.ghatREL1
asi_cs10_a2_sp3_cv2.ghatREL1,0.0353842131914933,0.188106919573665,asi,cs10,a2,sp3,cv2.ghatREL1
asi_cs10_a2_sp3_cv3.ghatREL1,0.122787800826343,0.350410902836004,asi,cs10,a2,sp3,cv3.ghatREL1
asi_cs10_a2_sp3_cv4.ghatREL1,0.0376174159304205,0.193952096999286,asi,cs10,a2,sp3,cv4.ghatREL1
asi_cs10_a2_sp3_cv5.ghatREL1,0.155746260636523,0.3946470076366,asi,cs10,a2,sp3,cv5.ghatREL1
asi_cs10_a2_sp4_cv1.ghatREL1,0.268633325615822,0.51829849084849,asi,cs10,a2,sp4,cv1.ghatREL1
asi_cs10_a2_sp4_cv2.ghatREL1,0.163377967297108,-0.404200404870045,asi,cs10,a2,sp4,cv2.ghatREL1
asi_cs10_a2_sp4_cv3.ghatREL1,0.00755468218864301,0.0869176747770153,asi,cs10,a2,sp4,cv3.ghatREL1
asi_cs10_a2_sp4_cv4.ghatREL1,0.212229351943336,0.460683570298894,asi,cs10,a2,sp4,cv4.ghatREL1
asi_cs10_a2_sp4_cv5.ghatREL1,0.0966468419800868,0.310880752025735,asi,cs10,a2,sp4,cv5.ghatREL1
asi_cs10_a2_sp5_cv1.ghatREL1,0.042502081395601,-0.206160329344908,asi,cs10,a2,sp5,cv1.ghatREL1
asi_cs10_a2_sp5_cv2.ghatREL1,0.282083143650969,0.531115000401014,asi,cs10,a2,sp5,cv2.ghatREL1
asi_cs10_a2_sp5_cv3.ghatREL1,0.245855017504113,0.49583769270207,asi,cs10,a2,sp5,cv3.ghatREL1
asi_cs10_a2_sp5_cv4.ghatREL1,0.108630357283158,0.329591197217337,asi,cs10,a2,sp5,cv4.ghatREL1
asi_cs10_a2_sp5_cv5.ghatREL1,0.324975223729127,0.570065981908346,asi,cs10,a2,sp5,cv5.ghatREL1
asi_cs10_a2_sp6_cv1.ghatREL1,0.00837440026428648,0.0915117493237152,asi,cs10,a2,sp6,cv1.ghatREL1
asi_cs10_a2_sp6_cv2.ghatREL1,0.371443186204763,0.609461390249426,asi,cs10,a2,sp6,cv2.ghatREL1
asi_cs10_a2_sp6_cv3.ghatREL1,0.152357174393149,0.390329571507398,asi,cs10,a2,sp6,cv3.ghatREL1
asi_cs10_a2_sp6_cv4.ghatREL1,0.0187463072205303,0.136917154588205,asi,cs10,a2,sp6,cv4.ghatREL1
asi_cs10_a2_sp6_cv5.ghatREL1,0.00254809159016219,0.0504786250819314,asi,cs10,a2,sp6,cv5.ghatREL1
asi_cs10_a2_sp7_cv1.ghatREL1,0.0374809775816857,-0.193600045407241,asi,cs10,a2,sp7,cv1.ghatREL1
asi_cs10_a2_sp7_cv2.ghatREL1,0.180405935212625,0.424742198530621,asi,cs10,a2,sp7,cv2.ghatREL1
asi_cs10_a2_sp7_cv3.ghatREL1,0.245827064430322,0.495809504175063,asi,cs10,a2,sp7,cv3.ghatREL1
asi_cs10_a2_sp7_cv4.ghatREL1,0.368121937523005,0.606730531227006,asi,cs10,a2,sp7,cv4.ghatREL1
asi_cs10_a2_sp7_cv5.ghatREL1,0.0584843340835403,0.241835344984021,asi,cs10,a2,sp7,cv5.ghatREL1
asi_cs10_a2_sp8_cv1.ghatREL1,0.10650768784989,0.326355156003226,asi,cs10,a2,sp8,cv1.ghatREL1
asi_cs10_a2_sp8_cv2.ghatREL1,0.0482545264627652,0.21966912951702,asi,cs10,a2,sp8,cv2.ghatREL1
asi_cs10_a2_sp8_cv3.ghatREL1,0.145868774052116,0.381927707887391,asi,cs10,a2,sp8,cv3.ghatREL1
asi_cs10_a2_sp8_cv4.ghatREL1,0.0222642183318096,-0.149211991246714,asi,cs10,a2,sp8,cv4.ghatREL1
asi_cs10_a2_sp8_cv5.ghatREL1,0.267510438827794,0.517214113136711,asi,cs10,a2,sp8,cv5.ghatREL1
asi_cs10_a2_sp9_cv1.ghatREL1,2.78320167696038e-05,0.00527560582015031,asi,cs10,a2,sp9,cv1.ghatREL1
asi_cs10_a2_sp9_cv2.ghatREL1,0.0216202566771786,0.147038283032612,asi,cs10,a2,sp9,cv2.ghatREL1
asi_cs10_a2_sp9_cv3.ghatREL1,0.147034501257278,0.38345078074934,asi,cs10,a2,sp9,cv3.ghatREL1
asi_cs10_a2_sp9_cv4.ghatREL1,0.015067772269544,-0.122750854455454,asi,cs10,a2,sp9,cv4.ghatREL1
asi_cs10_a2_sp9_cv5.ghatREL1,0.324366269691958,0.569531623083353,asi,cs10,a2,sp9,cv5.ghatREL1
asi_cs10_d2_sp10_cv1.ghatREL1,0.0358557357613785,0.189356108328669,asi,cs10,d2,sp10,cv1.ghatREL1
asi_cs10_d2_sp10_cv2.ghatREL1,0.193912276031828,0.440354716145777,asi,cs10,d2,sp10,cv2.ghatREL1
asi_cs10_d2_sp10_cv3.ghatREL1,0.00136506058915821,0.0369467263659205,asi,cs10,d2,sp10,cv3.ghatREL1
asi_cs10_d2_sp10_cv4.ghatREL1,0.0109642883038967,0.104710497582127,asi,cs10,d2,sp10,cv4.ghatREL1
asi_cs10_d2_sp10_cv5.ghatREL1,0.000577167935130401,-0.0240243196600945,asi,cs10,d2,sp10,cv5.ghatREL1
asi_cs10_d2_sp1_cv1.ghatREL1,0.00259461396336913,0.0509373533212036,asi,cs10,d2,sp1,cv1.ghatREL1
asi_cs10_d2_sp1_cv2.ghatREL1,0.116234948724766,0.340932469449253,asi,cs10,d2,sp1,cv2.ghatREL1
