file,R2,r,trait,cs,mode,sp,cv
asi_cs0_a2_sp8_cv3.ghatREL1,0.490229301528728,0.700163767649203,asi,cs0,a2,sp8,cv3.ghatREL1
asi_cs0_a2_sp8_cv4.ghatREL1,0.668595493057751,0.81767688793175,asi,cs0,a2,sp8,cv4.ghatREL1
asi_cs0_a2_sp8_cv5.ghatREL1,0.567862236901463,0.753566345388024,asi,cs0,a2,sp8,cv5.ghatREL1
asi_cs0_a2_sp9_cv1.ghatREL1,0.362752574829203,0.602289444394639,asi,cs0,a2,sp9,cv1.ghatREL1
asi_cs0_a2_sp9_cv2.ghatREL1,0.677935280945298,0.823368253544729,asi,cs0,a2,sp9,cv2.ghatREL1
asi_cs0_a2_sp9_cv3.ghatREL1,0.740272871586397,0.860391115473885,asi,cs0,a2,sp9,cv3.ghatREL1
asi_cs0_a2_sp9_cv4.ghatREL1,0.603698471976312,0.776980354948767,asi,cs0,a2,sp9,cv4.ghatREL1
asi_cs0_a2_sp9_cv5.ghatREL1,0.298798617255316,0.546624749947637,asi,cs0,a2,sp9,cv5.ghatREL1
asi_cs0_d2_sp10_cv1.ghatREL1,0.336309266255394,0.579921775979652,asi,cs0,d2,sp10,cv1.ghatREL1
asi_cs0_d2_sp10_cv2.ghatREL1,0.62322848619461,0.789448216284393,asi,cs0,d2,sp10,cv2.ghatREL1
asi_cs0_d2_sp10_cv3.ghatREL1,0.716854689534529,0.846672716895099,asi,cs0,d2,sp10,cv3.ghatREL1
asi_cs0_d2_sp10_cv4.ghatREL1,0.40974205897731,0.640110973954759,asi,cs0,d2,sp10,cv4.ghatREL1
asi_cs0_d2_sp10_cv5.ghatREL1,0.104834912274003,0.32378219882199,asi,cs0,d2,sp10,cv5.ghatREL1
asi_cs0_d2_sp1_cv1.ghatREL1,0.4133196234693,0.642899388294389,asi,cs0,d2,sp1,cv1.ghatREL1
asi_cs0_d2_sp1_cv2.ghatREL1,0.101503460860471,0.318596077911312,asi,cs0,d2,sp1,cv2.ghatREL1
asi_cs0_d2_sp1_cv3.ghatREL1,0.0999939720572055,0.316218234858785,asi,cs0,d2,sp1,cv3.ghatREL1
asi_cs0_d2_sp1_cv4.ghatREL1,0.457623626265319,0.67647884391555,asi,cs0,d2,sp1,cv4.ghatREL1
asi_cs0_d2_sp1_cv5.ghatREL1,0.304879689338135,0.552159115960368,asi,cs0,d2,sp1,cv5.ghatREL1
asi_cs0_d2_sp2_cv1.ghatREL1,0.512162864477591,0.715655548764621,asi,cs0,d2,sp2,cv1.ghatREL1
asi_cs0_d2_sp2_cv2.ghatREL1,0.205873602352994,0.453732963705519,asi,cs0,d2,sp2,cv2.ghatREL1
asi_cs0_d2_sp2_cv3.ghatREL1,0.1782927135997,0.422247218581367,asi,cs0,d2,sp2,cv3.ghatREL1
asi_cs0_d2_sp2_cv4.ghatREL1,0.225889640500191,0.475278487310536,asi,cs0,d2,sp2,cv4.ghatREL1
asi_cs0_d2_sp2_cv5.ghatREL1,0.660638244178576,0.812796557681303,asi,cs0,d2,sp2,cv5.ghatREL1
asi_cs0_d2_sp3_cv1.ghatREL1,0.593643221187525,0.770482460012896,asi,cs0,d2,sp3,cv1.ghatREL1
asi_cs0_d2_sp3_cv2.ghatREL1,0.420161666964124,0.648198786611117,asi,cs0,d2,sp3,cv2.ghatREL1
asi_cs0_d2_sp3_cv3.ghatREL1,0.194812420826538,0.441375600624387,asi,cs0,d2,sp3,cv3.ghatREL1
asi_cs0_d2_sp3_cv4.ghatREL1,0.485386370690262,0.6966967566239,asi,cs0,d2,sp3,cv4.ghatREL1
asi_cs0_d2_sp3_cv5.ghatREL1,0.153479139755859,0.391764137914459,asi,cs0,d2,sp3,cv5.ghatREL1
asi_cs0_d2_sp4_cv1.ghatREL1,0.665837649316636,0.81598875563125,asi,cs0,d2,sp4,cv1.ghatREL1
asi_cs0_d2_sp4_cv2.ghatREL1,0.329611313310695,0.574117856638073,asi,cs0,d2,sp4,cv2.ghatREL1
asi_cs0_d2_sp4_cv3.ghatREL1,0.18364848815848,0.428542282812886,asi,cs0,d2,sp4,cv3.ghatREL1
asi_cs0_d2_sp4_cv4.ghatREL1,0.437349991597219,0.661324422350498,asi,cs0,d2,sp4,cv4.ghatREL1
asi_cs0_d2_sp4_cv5.ghatREL1,0.121537765462453,0.348622669174644,asi,cs0,d2,sp4,cv5.ghatREL1
asi_cs0_d2_sp5_cv1.ghatREL1,0.449398432907297,0.670371861661344,asi,cs0,d2,sp5,cv1.ghatREL1
asi_cs0_d2_sp5_cv2.ghatREL1,0.428221016480961,0.654385984324971,asi,cs0,d2,sp5,cv2.ghatREL1
asi_cs0_d2_sp5_cv3.ghatREL1,0.628727374796482,0.792923309530299,asi,cs0,d2,sp5,cv3.ghatREL1
asi_cs0_d2_sp5_cv4.ghatREL1,0.295699007462101,0.54378213234907,asi,cs0,d2,sp5,cv4.ghatREL1
asi_cs0_d2_sp5_cv5.ghatREL1,0.329492347156803,0.574014239507003,asi,cs0,d2,sp5,cv5.ghatREL1
asi_cs0_d2_sp6_cv1.ghatREL1,0.0516251159550748,0.227211610519962,asi,cs0,d2,sp6,cv1.ghatREL1
asi_cs0_d2_sp6_cv2.ghatREL1,0.286782411537165,0.535520691978531,asi,cs0,d2,sp6,cv2.ghatREL1
asi_cs0_d2_sp6_cv3.ghatREL1,0.684350976500303,0.827255085508879,asi,cs0,d2,sp6,cv3.ghatREL1
asi_cs0_d2_sp6_cv4.ghatREL1,0.338636560053078,0.581924874922079,asi,cs0,d2,sp6,cv4.ghatREL1
asi_cs0_d2_sp6_cv5.ghatREL1,0.222207763208959,0.471389184442069,asi,cs0,d2,sp6,cv5.ghatREL1
asi_cs0_d2_sp7_cv1.ghatREL1,0.30567566731763,0.552879432894397,asi,cs0,d2,sp7,cv1.ghatREL1
asi_cs0_d2_sp7_cv2.ghatREL1,0.639930957848675,0.799956847491585,asi,cs0,d2,sp7,cv2.ghatREL1
asi_cs0_d2_sp7_cv3.ghatREL1,0.116679438382137,0.341583720897436,asi,cs0,d2,sp7,cv3.ghatREL1
asi_cs0_d2_sp7_cv4.ghatREL1,0.32286178768273,0.568209281587982,asi,cs0,d2,sp7,cv4.ghatREL1
asi_cs0_d2_sp7_cv5.ghatREL1,0.332347768667681,0.576496113315329,asi,cs0,d2,sp7,cv5.ghatREL1
asi_cs0_d2_sp8_cv1.ghatREL1,0.227386416704099,0.47685051819632,asi,cs0,d2,sp8,cv1.ghatREL1
asi_cs0_d2_sp8_cv2.ghatREL1,0.380064953472846,0.616494082269121,asi,cs0,d2,sp8,cv2.ghatREL1
asi_cs0_d2_sp8_cv3.ghatREL1,0.660889741384919,0.812951254002919,asi,cs0,d2,sp8,cv3.ghatREL1
asi_cs0_d2_sp8_cv4.ghatREL1,0.350244403997305,0.591814501340838,asi,cs0,d2,sp8,cv4.ghatREL1
asi_cs0_d2_sp8_cv5.ghatREL1,0.0598621650335805,0.244667458060079,asi,cs0,d2,sp8,cv5.ghatREL1
asi_cs0_d2_sp9_cv1.ghatREL1,0.0478222467141344,0.218682982223433,asi,cs0,d2,sp9,cv1.ghatREL1
asi_cs0_d2_sp9_cv2.ghatREL1,0.270503458242995,0.520099469566154,asi,cs0,d2,sp9,cv2.ghatREL1
asi_cs0_d2_sp9_cv3.ghatREL1,0.561344081363902,0.749228991272963,asi,cs0,d2,sp9,cv3.ghatREL1
asi_cs0_d2_sp9_cv4.ghatREL1,0.301919295290955,0.549471833027823,asi,cs0,d2,sp9,cv4.ghatREL1
asi_cs0_d2_sp9_cv5.ghatREL1,0.32555954603105,0.570578255834421,asi,cs0,d2,sp9,cv5.ghatREL1
asi_cs10_a2_sp10_cv1.ghatREL1,0.477217011673835,0.690808954540859,asi,cs10,a2,sp10,cv1.ghatREL1
