file,genotype,ghat,V1,V2,trait,mode,tsf
asi_BPHmax_a2,PHG35xPHZ51,0.680483985222,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG39xPHG47,0.68248819734,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG39xPHG84,0.68645162915,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG39xPHJ40,0.68438928981,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG39xPHZ51,0.68442890502,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG47xPHG84,0.68186909693,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG47xPHJ40,0.68075780326,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG47xPHZ51,0.679410924155,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG84xPHJ40,0.68437077698,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHG84xPHZ51,0.68332924938,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_a2,PHJ40xPHZ51,0.68254438077,Fix,0.679644585,asi,a2,BPHmax
asi_BPHmax_d2,B73xLH1,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xLH123HT,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xLH82,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xMO17,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPH207,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPHG35,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPHG39,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPHG47,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPHG84,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPHJ40,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,B73xPHZ51,0.67544489579,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xLH123HT,0.6733931442,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xLH82,0.668940023,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xMO17,0.68929100914,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPH207,0.68110102827,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPHG35,0.68305022867,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPHG39,0.6939401863,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPHG47,0.68262572067,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPHG84,0.6929064052,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPHJ40,0.68664340807,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH1xPHZ51,0.68997210024,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxLH82,0.6684097428,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxMO17,0.67323392249,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPH207,0.6666108206,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPHG35,0.67465085063,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPHG39,0.6778199339,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPHG47,0.6701245852,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPHG84,0.6693699708,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPHJ40,0.67499005461,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH123HTxPHZ51,0.6658981428,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xMO17,0.6692905933,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPH207,0.6675979611,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPHG35,0.67110733541,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPHG39,0.67435800882,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPHG47,0.6699917488,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPHG84,0.67265633439,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPHJ40,0.67149223426,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,LH82xPHZ51,0.6694294777,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPH207,0.68275591863,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPHG35,0.68380270402,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPHG39,0.6927285282,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPHG47,0.68398484068,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPHG84,0.6935102534,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPHJ40,0.68594344931,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,MO17xPHZ51,0.68700736474,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PH207xPHG35,0.680538966739,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PH207xPHG39,0.68686181858,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PH207xPHG47,0.67861841088,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PH207xPHG84,0.6851257858,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PH207xPHJ40,0.68344053199,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PH207xPHZ51,0.680002205085,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG35xPHG39,0.68656355647,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG35xPHG47,0.680600412463,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG35xPHG84,0.68462990915,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG35xPHJ40,0.68516685201,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG35xPHZ51,0.68235067084,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG39xPHG47,0.68757665476,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG39xPHG84,0.6952576101,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG39xPHJ40,0.69003670608,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG39xPHZ51,0.6917060264,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG47xPHG84,0.68517495032,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG47xPHJ40,0.68568394093,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG47xPHZ51,0.680863083031,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG84xPHJ40,0.68942389211,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHG84xPHZ51,0.68935716377,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmax_d2,PHJ40xPHZ51,0.68695294896,Fix,0.68006748,asi,d2,BPHmax
asi_BPHmin_a2,B73xLH1,2.765262013,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xLH123HT,1.303878968,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xLH82,1.250898843,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xMO17,2.563331847,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPH207,1.630902832,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPHG35,1.436874037,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPHG39,2.084191387,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPHG47,1.419924264,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPHG84,2.2436086064,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPHJ40,1.416850035,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,B73xPHZ51,1.351025706,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xLH123HT,3.076580708,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xLH82,3.039034312,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xMO17,3.27216173,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPH207,2.620699709,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPHG35,3.208757763,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPHG39,3.39268351,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPHG47,3.14092118,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPHG84,3.3868742,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPHJ40,3.195160334,Fix,2.21121264,asi,a2,BPHmin
asi_BPHmin_a2,LH1xPHZ51,3.237041,Fix,2.21121264,asi,a2,BPHmin
