trait,effa,effar,effd,effdr,effk,effkr,h2a,h2ar,h2d,h2dr,h2k,h2kr
asi,3.52718143997636e-07,-0.0443033005858,0.0246712184568665,0.0195503995370074,0.0319981860555942,0.0186622102897361,0.0157288039757102,0.0210176518352273,0.474250686586067,-0.00622791077181342,0.0157288069458592,0.0210176512368299
dts,0.01067679540199,0.0175980837735664,0.284243259910051,-0.00738155170568437,0.60509214672746,-0.00356448574405685,0.516557572376323,-0.00447142812358632,0.000136943795086699,-0.026284125342187,0.516557572376323,-0.00447142812358632
dtp,0.985155947042545,0.000132951221141601,0.0853446167923005,-0.0122938782594382,0.0810059916916431,-0.012468183831793,0.477427261641158,-0.00507672289321286,0.00236575839360032,-0.0217208898061051,0.477427261641158,-0.00507672289321286
tw,0.359065078232373,-0.00956508999655466,0.00998553583560557,0.0268647392389626,0.0103811453039775,0.026724418418334,0.172063190882606,-0.0142417191387523,0.799038410977408,-0.00265523623638919,0.151948927989525,-0.0149411807594023
pht,0.0534081034034646,0.0138719284168898,2.2207985339584e-05,0.0304545901989694,5.61474880949042e-05,0.0289258036178673,0.00889565740964375,-0.01878645647549,0.209516328546843,-0.00901235290548457,0.0083155985142667,-0.0189511743595469
eht,4.93760675013277e-07,0.0361431252348153,0.794299815162089,-0.00187457412489872,0.779348926616648,0.00201431544445998,0.306452327076195,-0.00735275436968106,0.749460857740274,-0.0022960262110585,0.303985966775379,-0.00739034560246676
gy,8.03801469828613e-14,0.0946591174245066,0.0694280699399314,-0.0230563125445024,0.813396786620636,0.00299790443708006,0.94285175746799,0.000910450277570546,0.532917975766631,-0.00791938821955176,0.613736628100126,-0.00641048443807764
