file,R2,r,trait,cs,mode,cv,sp,type
gy_real_a2_cv5_sp3.ghatREL1,0.485068285264271,0.696468438096279,gy,real,a2,cv5,sp3.ghatREL1,real
gy_real_a2_cv5_sp4.ghatREL1,0.657347347738798,0.810769602130468,gy,real,a2,cv5,sp4.ghatREL1,real
gy_real_a2_cv5_sp5.ghatREL1,0.540603875378415,0.735257693178667,gy,real,a2,cv5,sp5.ghatREL1,real
gy_real_a2_cv5_sp6.ghatREL1,0.0945497088926497,0.307489363869142,gy,real,a2,cv5,sp6.ghatREL1,real
gy_real_a2_cv5_sp7.ghatREL1,0.411811640198858,0.641725517802477,gy,real,a2,cv5,sp7.ghatREL1,real
gy_real_a2_cv5_sp8.ghatREL1,0.403005444232944,0.634827097903786,gy,real,a2,cv5,sp8.ghatREL1,real
gy_real_a2_cv5_sp9.ghatREL1,0.375127121994159,0.612476221574486,gy,real,a2,cv5,sp9.ghatREL1,real
gy_real_d2_cv1_sp10.ghatREL1,0.293209417871562,0.54148815118298,gy,real,d2,cv1,sp10.ghatREL1,real
gy_real_d2_cv1_sp1.ghatREL1,0.313615585958045,0.560013915861066,gy,real,d2,cv1,sp1.ghatREL1,real
gy_real_d2_cv1_sp2.ghatREL1,0.222736969301916,0.471950176715632,gy,real,d2,cv1,sp2.ghatREL1,real
gy_real_d2_cv1_sp3.ghatREL1,0.160613070067841,0.40076560489623,gy,real,d2,cv1,sp3.ghatREL1,real
gy_real_d2_cv1_sp4.ghatREL1,0.497262427029934,0.705168367859715,gy,real,d2,cv1,sp4.ghatREL1,real
gy_real_d2_cv1_sp5.ghatREL1,0.614487805057384,0.783892725478036,gy,real,d2,cv1,sp5.ghatREL1,real
gy_real_d2_cv1_sp6.ghatREL1,0.660302219703621,0.812589822544942,gy,real,d2,cv1,sp6.ghatREL1,real
gy_real_d2_cv1_sp7.ghatREL1,0.27836427525784,0.527602383673388,gy,real,d2,cv1,sp7.ghatREL1,real
gy_real_d2_cv1_sp8.ghatREL1,0.365939824969978,0.604929603317591,gy,real,d2,cv1,sp8.ghatREL1,real
