trait,P1,P2,SCA.all
GY,B73,LH1,-14.7249
GY,B73,LH123HT,13.6028
GY,B73,LH82,21.0094
GY,B73,MO17,24.8844
GY,B73,PH207,-21.9633
GY,B73,PHG35,3.8925
GY,B73,PHG39,14.7075
GY,B73,PHG47,25.4283
GY,B73,PHG84,9.2627
GY,B73,PHJ40,-3.2438
GY,B73,PHZ51,1.3781
GY,LH1,LH123HT,-8.3365
GY,LH1,LH82,8.2653
GY,LH1,MO17,-0.3442
GY,LH1,PH207,-22.0976
GY,LH1,PHG35,-26.5864
GY,LH1,PHG39,-25.2469
GY,LH1,PHG47,-3.5477
GY,LH1,PHG84,-10.7962
GY,LH1,PHJ40,-10.6493
GY,LH1,PHZ51,0.1525
GY,LH123HT,LH82,11.1747
GY,LH123HT,MO17,-8.7024
GY,LH123HT,PH207,3.5838
GY,LH123HT,PHG35,0.3824
GY,LH123HT,PHG39,10.1583
GY,LH123HT,PHG47,-2.5139
GY,LH123HT,PHG84,1.3185
GY,LH123HT,PHJ40,-12.5196
GY,LH123HT,PHZ51,-5.4176
GY,LH82,MO17,4.1759
GY,LH82,PH207,-5.1398
GY,LH82,PHG35,-4.5933
GY,LH82,PHG39,10.3044
GY,LH82,PHG47,11.8921
GY,LH82,PHG84,1.3052
GY,LH82,PHJ40,-2.6562
GY,LH82,PHZ51,8.0847
GY,MO17,PH207,0.4291
GY,MO17,PHG35,-0.5781
GY,MO17,PHG39,28.4054
GY,MO17,PHG47,14.7035
GY,MO17,PHG84,1.9764
GY,MO17,PHJ40,-9.5415
GY,MO17,PHZ51,-5.2024
GY,PH207,PHG35,-13.5658
GY,PH207,PHG39,0.6956
GY,PH207,PHG47,-0.9537
GY,PH207,PHG84,-0.8943
GY,PH207,PHJ40,-7.6199
GY,PH207,PHZ51,-8.3651
GY,PHG35,PHG39,-12.7686
GY,PHG35,PHG47,3.9135
GY,PHG35,PHG84,0.8207
GY,PHG35,PHJ40,-25.6099
GY,PHG35,PHZ51,-2.9113
GY,PHG39,PHG47,21.1459
GY,PHG39,PHG84,14.5893
GY,PHG39,PHJ40,9.9113
GY,PHG39,PHZ51,18.4689
GY,PHG47,PHG84,12.1006
GY,PHG47,PHJ40,1.8625
GY,PHG47,PHZ51,11.4795
GY,PHG84,PHJ40,-2.0424
GY,PHG84,PHZ51,-37.6397
GY,PHJ40,PHZ51,-8.6933
ASI,B73,LH1,-0.8818
ASI,B73,LH123HT,0.2775
ASI,B73,LH82,-0.2161
ASI,B73,MO17,-0.5173
ASI,B73,PH207,-0.1957
ASI,B73,PHG35,-0.0559
ASI,B73,PHG39,0.0639
ASI,B73,PHG47,0.5258
ASI,B73,PHG84,-0.1535
ASI,B73,PHJ40,-0.5114
ASI,B73,PHZ51,-0.2748
ASI,LH1,LH123HT,-0.2698
ASI,LH1,LH82,-0.104
ASI,LH1,MO17,-1.6015
ASI,LH1,PH207,-1.5443
ASI,LH1,PHG35,-0.115
ASI,LH1,PHG39,-0.0127
ASI,LH1,PHG47,-0.4217
ASI,LH1,PHG84,-0.8427
ASI,LH1,PHJ40,-0.0912
ASI,LH1,PHZ51,0.4952
ASI,LH123HT,LH82,0.7193
ASI,LH123HT,MO17,-0.0914
ASI,LH123HT,PH207,-0.5112
ASI,LH123HT,PHG35,1.0523
ASI,LH123HT,PHG39,0.4003
ASI,LH123HT,PHG47,0.9613
ASI,LH123HT,PHG84,-0.3219
ASI,LH123HT,PHJ40,0.6802
ASI,LH123HT,PHZ51,-0.3427
ASI,LH82,MO17,-0.508
ASI,LH82,PH207,-0.0871
ASI,LH82,PHG35,0.8028
ASI,LH82,PHG39,0.0471
ASI,LH82,PHG47,0.3839
ASI,LH82,PHG84,0.4784
ASI,LH82,PHJ40,0.5565
ASI,LH82,PHZ51,-0.2611
ASI,MO17,PH207,-0.6026
ASI,MO17,PHG35,0.6405
ASI,MO17,PHG39,-0.0541
ASI,MO17,PHG47,-0.0218
ASI,MO17,PHG84,-0.3625
ASI,MO17,PHJ40,-0.1543
ASI,MO17,PHZ51,-0.4431
ASI,PH207,PHG35,0.1341
ASI,PH207,PHG39,-0.4625
ASI,PH207,PHG47,0.421
ASI,PH207,PHG84,-0.3467
ASI,PH207,PHJ40,0.5772
ASI,PH207,PHZ51,-1.2914
ASI,PHG35,PHG39,0.6488
ASI,PHG35,PHG47,0.0689
ASI,PHG35,PHG84,-0.0152
ASI,PHG35,PHJ40,1.0858
ASI,PHG35,PHZ51,0.2305
ASI,PHG39,PHG47,0.3886
ASI,PHG39,PHG84,0.0675
ASI,PHG39,PHJ40,0.4334
ASI,PHG39,PHZ51,-0.2405
ASI,PHG47,PHG84,0.4394
ASI,PHG47,PHJ40,0.6421
ASI,PHG47,PHZ51,-0.001
ASI,PHG84,PHJ40,0.423
ASI,PHG84,PHZ51,-0.2762
ASI,PHJ40,PHZ51,0.5589
DTP,B73,LH1,1.516
DTP,B73,LH123HT,2.2273
DTP,B73,LH82,-1.2274
DTP,B73,MO17,1.1907
DTP,B73,PH207,-1.8943
DTP,B73,PHG35,-0.5516
DTP,B73,PHG39,2.2375
DTP,B73,PHG47,-1.0738
DTP,B73,PHG84,3.288
DTP,B73,PHJ40,-3.171
DTP,B73,PHZ51,0.5688
DTP,LH1,LH123HT,2.7797
DTP,LH1,LH82,0.0783
DTP,LH1,MO17,1.8016
DTP,LH1,PH207,-0.7819
DTP,LH1,PHG35,0.8275
DTP,LH1,PHG39,3.6243
DTP,LH1,PHG47,0.3308
DTP,LH1,PHG84,3.6253
DTP,LH1,PHJ40,-1.4143
DTP,LH1,PHZ51,2.6218
DTP,LH123HT,LH82,-0.2821
DTP,LH123HT,MO17,2.8153
DTP,LH123HT,PH207,-1.3474
DTP,LH123HT,PHG35,1.6186
DTP,LH123HT,PHG39,3.1189
DTP,LH123HT,PHG47,2.2069
DTP,LH123HT,PHG84,3.6839
DTP,LH123HT,PHJ40,-2.2176
DTP,LH123HT,PHZ51,1.0052
DTP,LH82,MO17,-1.3518
DTP,LH82,PH207,-3.6314
DTP,LH82,PHG35,-2.7364
DTP,LH82,PHG39,-0.0695
DTP,LH82,PHG47,-2.7996
DTP,LH82,PHG84,0.9242
DTP,LH82,PHJ40,-5.2028
DTP,LH82,PHZ51,-1.6052
DTP,MO17,PH207,-0.7181
DTP,MO17,PHG35,0.6019
DTP,MO17,PHG39,1.9825
DTP,MO17,PHG47,0.049
DTP,MO17,PHG84,3.0134
DTP,MO17,PHJ40,-2.5539
DTP,MO17,PHZ51,0.8363
DTP,PH207,PHG35,-1.8134
DTP,PH207,PHG39,-0.2595
DTP,PH207,PHG47,-2.9825
DTP,PH207,PHG84,0.9102
DTP,PH207,PHJ40,-5.6876
DTP,PH207,PHZ51,-1.8911
DTP,PHG35,PHG39,1.0346
DTP,PHG35,PHG47,-1.0412
DTP,PHG35,PHG84,2.4937
DTP,PHG35,PHJ40,-3.8568
DTP,PHG35,PHZ51,-0.6486
DTP,PHG39,PHG47,-0.1881
DTP,PHG39,PHG84,3.5273
DTP,PHG39,PHJ40,-2.0254
DTP,PHG39,PHZ51,1.5764
DTP,PHG47,PHG84,1.7561
DTP,PHG47,PHJ40,-4.5437
DTP,PHG47,PHZ51,-0.5956
DTP,PHG84,PHJ40,-0.8467
DTP,PHG84,PHZ51,3.8066
DTP,PHJ40,PHZ51,-2.6684
DTS,B73,LH1,2.376
DTS,B73,LH123HT,1.9662
DTS,B73,LH82,-1.0014
DTS,B73,MO17,1.7292
DTS,B73,PH207,-1.7707
DTS,B73,PHG35,-0.5012
DTS,B73,PHG39,2.1709
DTS,B73,PHG47,-1.5473
DTS,B73,PHG84,3.4826
DTS,B73,PHJ40,-2.6639
DTS,B73,PHZ51,0.8525
DTS,LH1,LH123HT,3.1006
DTS,LH1,LH82,0.1752
DTS,LH1,MO17,3.4415
DTS,LH1,PH207,0.7535
DTS,LH1,PHG35,0.9197
DTS,LH1,PHG39,3.6017
DTS,LH1,PHG47,0.7053
DTS,LH1,PHG84,4.4393
DTS,LH1,PHJ40,-1.3501
DTS,LH1,PHZ51,2.0668
DTS,LH123HT,LH82,-0.9981
DTS,LH123HT,MO17,2.8874
DTS,LH123HT,PH207,-0.8328
DTS,LH123HT,PHG35,0.5609
DTS,LH123HT,PHG39,2.7421
DTS,LH123HT,PHG47,1.241
DTS,LH123HT,PHG84,3.9676
DTS,LH123HT,PHJ40,-2.8832
DTS,LH123HT,PHZ51,1.3457
DTS,LH82,MO17,-0.8614
DTS,LH82,PH207,-3.5751
DTS,LH82,PHG35,-3.6071
DTS,LH82,PHG39,-0.0839
DTS,LH82,PHG47,-3.1622
DTS,LH82,PHG84,0.4473
DTS,LH82,PHJ40,-5.7531
DTS,LH82,PHZ51,-1.3277
DTS,MO17,PH207,-0.1226
DTS,MO17,PHG35,-0.0403
DTS,MO17,PHG39,2.0662
DTS,MO17,PHG47,0.0964
DTS,MO17,PHG84,3.3405
DTS,MO17,PHJ40,-2.3775
DTS,MO17,PHZ51,1.3539
DTS,PH207,PHG35,-2.0121
DTS,PH207,PHG39,0.2316
DTS,PH207,PHG47,-3.3622
DTS,PH207,PHG84,1.2869
DTS,PH207,PHJ40,-6.3097
DTS,PH207,PHZ51,-0.5387
DTS,PHG35,PHG39,0.378
DTS,PHG35,PHG47,-1.0801
DTS,PHG35,PHG84,2.5067
DTS,PHG35,PHJ40,-4.948
DTS,PHG35,PHZ51,-0.918
DTS,PHG39,PHG47,-0.5576
DTS,PHG39,PHG84,3.461
DTS,PHG39,PHJ40,-2.5003
DTS,PHG39,PHZ51,1.8408
DTS,PHG47,PHG84,1.3239
DTS,PHG47,PHJ40,-5.213
DTS,PHG47,PHZ51,-0.6062
DTS,PHG84,PHJ40,-1.2376
DTS,PHG84,PHZ51,4.0995
DTS,PHJ40,PHZ51,-3.2153
EHT,B73,LH1,-6.4809
EHT,B73,LH123HT,27.2061
EHT,B73,LH82,-2.627
EHT,B73,MO17,18.2451
EHT,B73,PH207,0.5522
EHT,B73,PHG35,9.9365
EHT,B73,PHG39,10.5416
EHT,B73,PHG47,0.2034
EHT,B73,PHG84,13.8359
EHT,B73,PHJ40,-0.6119
EHT,B73,PHZ51,23.4858
