Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb5,B73,PH207,62.54983,69.81974,64.91807,-7.27,-0.1041,-2.368,-0.112,-4.819,-0.0351,DTS,11.2
hyb6,B73,PHG35,63.77286,69.81974,64.38018,-6.047,-0.0866,-0.607,-0.0939,-3.327,-0.009,DTS,9.39
hyb7,B73,PHG39,66.27346,69.81974,74.20415,-7.931,-0.1069,-3.546,-0.1136,-5.738,-0.0492,DTS,11.36
hyb8,B73,PHG47,62.73472,69.81974,66.99702,-7.085,-0.1015,-4.262,-0.1058,-5.674,-0.0623,DTS,10.58
hyb9,B73,PHG84,67.64617,69.81974,75.6744,-8.028,-0.1061,-2.174,-0.115,-5.101,-0.0299,DTS,11.5
hyb10,B73,PHJ40,61.52563,69.81974,59.96965,-8.294,-0.1188,1.556,-0.1383,-3.369,0.024,DTS,13.83
hyb11,B73,PHZ51,65.07942,69.81974,71.09179,-6.012,-0.0846,-4.74,-0.0861,-5.376,-0.0673,DTS,8.61
hyb12,LH1,LH123HT,67.26975,75.06237,72.20521,-7.793,-0.1038,-4.935,-0.1079,-6.364,-0.067,DTS,10.79
hyb13,LH1,LH82,64.31274,75.06237,63.7072,-10.75,-0.1432,0.606,-0.1687,-5.072,0.0087,DTS,16.87
hyb14,LH1,MO17,67.51114,75.06237,71.6486,-7.551,-0.1006,-4.137,-0.1054,-5.844,-0.0564,DTS,10.54
hyb15,LH1,PH207,64.915,75.06237,64.91807,-10.147,-0.1352,-0.003,-0.1563,-5.075,0,DTS,15.63
hyb16,LH1,PHG35,65.1121,75.06237,64.38018,-9.95,-0.1326,0.732,-0.1546,-4.609,0.0105,DTS,15.46
hyb17,LH1,PHG39,67.63575,75.06237,74.20415,-7.427,-0.0989,-6.568,-0.1001,-6.998,-0.088,DTS,10.01
hyb18,LH1,PHG47,64.8558,75.06237,66.99702,-10.207,-0.136,-2.141,-0.1524,-6.174,-0.0301,DTS,15.24
hyb19,LH1,PHG84,68.51046,75.06237,75.6744,-7.164,-0.0947,-6.552,-0.0954,-6.858,-0.0869,DTS,9.54
hyb20,LH1,PHJ40,62.91055,75.06237,59.96965,-12.152,-0.1619,2.941,-0.2026,-4.605,0.0436,DTS,20.26
hyb21,LH1,PHZ51,66.25749,75.06237,71.09179,-8.805,-0.1173,-4.834,-0.1239,-6.82,-0.0661,DTS,12.39
hyb22,LH123HT,LH82,63.19744,72.20521,63.7072,-9.008,-0.1248,-0.51,-0.1414,-4.759,-0.0075,DTS,14.14
hyb23,LH123HT,MO17,67.10695,72.20521,71.6486,-5.098,-0.0706,-4.542,-0.0712,-4.82,-0.0631,DTS,7.12
hyb24,LH123HT,PH207,63.36214,72.20521,64.91807,-8.843,-0.1225,-1.556,-0.1362,-5.2,-0.0227,DTS,13.62
hyb25,LH123HT,PHG35,64.81636,72.20521,64.38018,-7.389,-0.1023,0.436,-0.1148,-3.476,0.0064,DTS,11.48
hyb26,LH123HT,PHG39,66.96385,72.20521,74.20415,-7.24,-0.0976,-5.241,-0.1003,-6.241,-0.0716,DTS,10.03
hyb27,LH123HT,PHG47,65.463,72.20521,66.99702,-6.742,-0.0934,-1.534,-0.1006,-4.138,-0.022,DTS,10.06
hyb28,LH123HT,PHG84,68.19167,72.20521,75.6744,-7.483,-0.0989,-4.014,-0.1036,-5.748,-0.0543,DTS,10.36
hyb29,LH123HT,PHJ40,61.31952,72.20521,59.96965,-10.886,-0.1508,1.35,-0.1815,-4.768,0.0204,DTS,18.15
hyb30,LH123HT,PHZ51,65.54424,72.20521,71.09179,-6.661,-0.0923,-5.548,-0.0937,-6.104,-0.0774,DTS,9.37
hyb31,LH82,MO17,63.32062,63.7072,71.6486,-8.328,-0.1162,-0.387,-0.1307,-4.357,-0.0057,DTS,13.07
hyb32,LH82,PH207,60.5918,63.7072,64.91807,-4.326,-0.0666,-3.115,-0.0679,-3.721,-0.0484,DTS,6.79
hyb33,LH82,PHG35,60.65283,63.7072,64.38018,-3.727,-0.0579,-3.054,-0.0585,-3.391,-0.0477,DTS,5.85
hyb34,LH82,PHG39,64.15419,63.7072,74.20415,-10.05,-0.1354,0.447,-0.1578,-4.801,0.0065,DTS,15.78
hyb35,LH82,PHG47,61.0433,63.7072,66.99702,-5.954,-0.0889,-2.664,-0.0935,-4.309,-0.0408,DTS,9.35
hyb36,LH82,PHG84,64.5681,63.7072,75.6744,-11.106,-0.1468,0.861,-0.1743,-5.123,0.0124,DTS,17.43
hyb37,LH82,PHJ40,58.44702,63.7072,59.96965,-5.26,-0.0826,-1.523,-0.0877,-3.391,-0.0246,DTS,8.77
hyb38,LH82,PHZ51,62.86128,63.7072,71.09179,-8.231,-0.1158,-0.846,-0.1292,-4.538,-0.0126,DTS,12.92
hyb39,MO17,PH207,64.05167,71.6486,64.91807,-7.597,-0.106,-0.866,-0.117,-4.232,-0.0127,DTS,11.7
hyb40,MO17,PHG35,64.1367,71.6486,64.38018,-7.512,-0.1048,-0.243,-0.1167,-3.878,-0.0036,DTS,11.67
hyb41,MO17,PHG39,66.27792,71.6486,74.20415,-7.926,-0.1068,-5.371,-0.1106,-6.648,-0.0736,DTS,11.06
hyb42,MO17,PHG47,64.28253,71.6486,66.99702,-7.366,-0.1028,-2.714,-0.1099,-5.04,-0.0392,DTS,10.99
hyb43,MO17,PHG84,67.49944,71.6486,75.6744,-8.175,-0.108,-4.149,-0.1141,-6.162,-0.0563,DTS,11.41
hyb44,MO17,PHJ40,61.72178,71.6486,59.96965,-9.927,-0.1386,1.752,-0.1655,-4.087,0.0266,DTS,16.55
hyb45,MO17,PHZ51,65.42622,71.6486,71.09179,-6.222,-0.0868,-5.666,-0.0875,-5.944,-0.0794,DTS,8.75
hyb46,PH207,PHG35,62.15548,64.91807,64.38018,-2.763,-0.0426,-2.225,-0.0429,-2.494,-0.0344,DTS,4.29
hyb47,PH207,PHG39,64.4336,64.91807,74.20415,-9.771,-0.1317,-0.484,-0.1505,-5.128,-0.007,DTS,15.05
hyb48,PH207,PHG47,60.63429,64.91807,66.99702,-6.363,-0.095,-4.284,-0.098,-5.323,-0.065,DTS,9.8
hyb49,PH207,PHG84,65.43999,64.91807,75.6744,-10.234,-0.1352,0.522,-0.1576,-4.856,0.0074,DTS,15.76
hyb50,PH207,PHJ40,57.92549,64.91807,59.96965,-6.993,-0.1077,-2.044,-0.1166,-4.518,-0.0327,DTS,11.66
hyb51,PH207,PHZ51,63.6052,64.91807,71.09179,-7.487,-0.1053,-1.313,-0.1153,-4.4,-0.0193,DTS,11.53
hyb52,PHG35,PHG39,64.50908,64.38018,74.20415,-9.695,-0.1307,0.129,-0.1506,-4.783,0.0019,DTS,15.06
hyb53,PHG35,PHG47,63.07095,64.38018,66.99702,-3.926,-0.0586,-1.309,-0.061,-2.618,-0.0199,DTS,6.1
hyb54,PHG35,PHG84,66.8025,64.38018,75.6744,-8.872,-0.1172,2.422,-0.1378,-3.225,0.0346,DTS,13.78
hyb55,PHG35,PHJ40,59.24929,64.38018,59.96965,-5.131,-0.0797,-0.72,-0.0856,-2.926,-0.0116,DTS,8.56
hyb56,PHG35,PHZ51,63.24668,64.38018,71.09179,-7.845,-0.1104,-1.133,-0.1219,-4.489,-0.0167,DTS,12.19
hyb57,PHG39,PHG47,63.72387,74.20415,66.99702,-10.48,-0.1412,-3.273,-0.1564,-6.877,-0.0464,DTS,15.64
hyb58,PHG39,PHG84,67.65998,74.20415,75.6744,-8.014,-0.1059,-6.544,-0.108,-7.279,-0.0873,DTS,10.8
hyb59,PHG39,PHJ40,61.57309,74.20415,59.96965,-12.631,-0.1702,1.603,-0.2106,-5.514,0.0239,DTS,21.06
hyb60,PHG39,PHZ51,65.99897,74.20415,71.09179,-8.205,-0.1106,-5.093,-0.1154,-6.649,-0.0701,DTS,11.54
hyb61,PHG47,PHG84,65.43761,66.99702,75.6744,-10.237,-0.1353,-1.559,-0.1528,-5.898,-0.0219,DTS,15.28
hyb62,PHG47,PHJ40,58.87823,66.99702,59.96965,-8.119,-0.1212,-1.091,-0.1354,-4.605,-0.0172,DTS,13.54
hyb63,PHG47,PHZ51,63.5909,66.99702,71.09179,-7.501,-0.1055,-3.406,-0.112,-5.454,-0.0493,DTS,11.2
hyb64,PHG84,PHJ40,62.89546,75.6744,59.96965,-12.779,-0.1689,2.926,-0.2131,-4.927,0.0431,DTS,21.31
hyb65,PHG84,PHZ51,68.22797,75.6744,71.09179,-7.446,-0.0984,-2.864,-0.1047,-5.155,-0.039,DTS,10.47
hyb66,PHJ40,PHZ51,60.86701,59.96965,71.09179,-10.225,-0.1438,0.897,-0.1705,-4.664,0.0137,DTS,17.05
hyb1,B73,LH1,99.34535,89.89069,58.12669,9.455,0.1052,41.219,0.1627,25.337,0.5569,EHT,10.52
hyb2,B73,LH123HT,133.33796,89.89069,94.01991,39.318,0.4182,43.447,0.4374,41.383,0.4725,EHT,41.82
hyb3,B73,LH82,103.19723,89.89069,61.54759,13.307,0.148,41.65,0.2162,27.478,0.5501,EHT,14.8
hyb4,B73,MO17,123.77414,89.89069,84.62486,33.883,0.3769,39.149,0.4004,36.516,0.4487,EHT,37.69
hyb5,B73,PH207,106.18711,89.89069,69.42718,16.296,0.1813,36.76,0.2347,26.528,0.4615,EHT,18.13
hyb6,B73,PHG35,114.91141,89.89069,72.71357,25.021,0.2783,42.198,0.3441,33.609,0.519,EHT,27.83
hyb7,B73,PHG39,116.65481,89.89069,86.27727,26.764,0.2977,30.378,0.3102,28.571,0.3449,EHT,29.77
hyb8,B73,PHG47,105.98342,89.89069,47.08585,16.093,0.179,58.898,0.3418,37.495,0.86,EHT,17.9
hyb9,B73,PHG84,119.29901,89.89069,73.19205,29.408,0.3272,46.107,0.4018,37.758,0.5654,EHT,32.72
hyb10,B73,PHJ40,105.39155,89.89069,61.86926,15.501,0.1724,43.522,0.2505,29.512,0.5736,EHT,17.24
hyb11,B73,PHZ51,128.2899,89.89069,87.00818,38.399,0.4272,41.282,0.4413,39.84,0.4667,EHT,42.72
hyb12,LH1,LH123HT,102.48756,58.12669,94.01991,8.468,0.0901,44.361,0.1457,26.414,0.5831,EHT,9.01
hyb13,LH1,LH82,79.71697,58.12669,61.54759,18.169,0.2952,21.59,0.3126,19.88,0.3608,EHT,29.52
hyb14,LH1,MO17,105.9451,58.12669,84.62486,21.32,0.2519,47.818,0.3668,34.569,0.6699,EHT,25.19
hyb15,LH1,PH207,79.83803,58.12669,69.42718,10.411,0.15,21.711,0.1791,16.061,0.3404,EHT,15
hyb16,LH1,PHG35,90.76416,58.12669,72.71357,18.051,0.2482,32.637,0.3105,25.344,0.4989,EHT,24.82
hyb17,LH1,PHG39,96.22386,58.12669,86.27727,9.947,0.1153,38.097,0.1711,24.022,0.5276,EHT,11.53
hyb18,LH1,PHG47,86.05118,58.12669,47.08585,27.924,0.4804,38.965,0.593,33.445,0.7407,EHT,48.04
hyb19,LH1,PHG84,91.62334,58.12669,73.19205,18.431,0.2518,33.497,0.3171,25.964,0.5102,EHT,25.18
hyb20,LH1,PHJ40,87.47776,58.12669,61.86926,25.609,0.4139,29.351,0.4406,27.48,0.4892,EHT,41.39
hyb21,LH1,PHZ51,113.17454,58.12669,87.00818,26.166,0.3007,55.048,0.4502,40.607,0.7586,EHT,30.07
hyb22,LH123HT,LH82,99.42996,94.01991,61.54759,5.41,0.0575,37.882,0.0879,21.646,0.487,EHT,5.75
hyb23,LH123HT,MO17,120.80182,94.01991,84.62486,26.782,0.2849,36.177,0.3165,31.479,0.405,EHT,28.49
hyb24,LH123HT,PH207,105.46223,94.01991,69.42718,11.442,0.1217,36.035,0.1648,23.739,0.4409,EHT,12.17
hyb25,LH123HT,PHG35,118.86743,94.01991,72.71357,24.848,0.2643,46.154,0.3417,35.501,0.5536,EHT,26.43
hyb26,LH123HT,PHG39,125.98826,94.01991,86.27727,31.968,0.34,39.711,0.3705,35.84,0.4405,EHT,34
hyb27,LH123HT,PHG47,112.12762,94.01991,47.08585,18.108,0.1926,65.042,0.3846,41.575,0.9219,EHT,19.26
hyb28,LH123HT,PHG84,113.85855,94.01991,73.19205,19.839,0.211,40.666,0.2711,30.253,0.4864,EHT,21.1
hyb29,LH123HT,PHJ40,104.58561,94.01991,61.86926,10.566,0.1124,42.716,0.1708,26.641,0.548,EHT,11.24
hyb30,LH123HT,PHZ51,127.28179,94.01991,87.00818,33.262,0.3538,40.274,0.3823,36.768,0.4449,EHT,35.38
hyb31,LH82,MO17,100.83816,61.54759,84.62486,16.213,0.1916,39.291,0.2634,27.752,0.5376,EHT,19.16
hyb32,LH82,PH207,86.34663,61.54759,69.42718,16.919,0.2437,24.799,0.2749,20.859,0.3787,EHT,24.37
hyb33,LH82,PHG35,87.99404,61.54759,72.71357,15.28,0.2101,26.446,0.2483,20.863,0.3939,EHT,21.01
hyb34,LH82,PHG39,95.57758,61.54759,86.27727,9.3,0.1078,34.03,0.1511,21.665,0.4604,EHT,10.78
hyb35,LH82,PHG47,85.26476,61.54759,47.08585,23.717,0.3853,38.179,0.5037,30.948,0.7029,EHT,38.53
hyb36,LH82,PHG84,98.16266,61.54759,73.19205,24.971,0.3412,36.615,0.4057,30.793,0.5435,EHT,34.12
hyb37,LH82,PHJ40,90.63952,61.54759,61.86926,28.77,0.465,29.092,0.4674,28.931,0.4714,EHT,46.5
hyb38,LH82,PHZ51,107.46404,61.54759,87.00818,20.456,0.2351,45.916,0.3324,33.186,0.6182,EHT,23.51
hyb39,MO17,PH207,112.29238,84.62486,69.42718,27.668,0.3269,42.865,0.3985,35.266,0.5565,EHT,32.69
hyb40,MO17,PHG35,114.2326,84.62486,72.71357,29.608,0.3499,41.519,0.4072,35.563,0.5278,EHT,34.99
hyb41,MO17,PHG39,116.32001,84.62486,86.27727,30.043,0.3482,31.695,0.355,30.869,0.3709,EHT,34.82
hyb42,MO17,PHG47,102.22083,84.62486,47.08585,17.596,0.2079,55.135,0.3737,36.365,0.8372,EHT,20.79
hyb43,MO17,PHG84,115.83755,84.62486,73.19205,31.213,0.3688,42.645,0.4265,36.929,0.5404,EHT,36.88
hyb44,MO17,PHJ40,109.95251,84.62486,61.86926,25.328,0.2993,48.083,0.4094,36.705,0.6564,EHT,29.93
hyb45,MO17,PHZ51,115.65075,84.62486,87.00818,28.643,0.3292,31.026,0.3385,29.834,0.3615,EHT,32.92
hyb46,PH207,PHG35,97.57537,69.42718,72.71357,24.862,0.3419,28.148,0.3581,26.505,0.3961,EHT,34.19
hyb47,PH207,PHG39,101.00814,69.42718,86.27727,14.731,0.1707,31.581,0.2122,23.156,0.4057,EHT,17.07
hyb48,PH207,PHG47,94.42115,69.42718,47.08585,24.994,0.36,47.335,0.5308,36.165,0.8125,EHT,36
hyb49,PH207,PHG84,100.78477,69.42718,73.19205,27.593,0.377,31.358,0.3974,29.475,0.4397,EHT,37.7
hyb50,PH207,PHJ40,103.00442,69.42718,61.86926,33.577,0.4836,41.135,0.5427,37.356,0.6266,EHT,48.36
hyb51,PH207,PHZ51,109.762,69.42718,87.00818,22.754,0.2615,40.335,0.3277,31.544,0.5157,EHT,26.15
hyb52,PHG35,PHG39,110.57513,72.71357,86.27727,24.298,0.2816,37.862,0.3342,31.08,0.4763,EHT,28.16
hyb53,PHG35,PHG47,100.1265,72.71357,47.08585,27.413,0.377,53.041,0.5822,40.227,0.8855,EHT,37.7
hyb54,PHG35,PHG84,102.8001,72.71357,73.19205,29.608,0.4045,30.087,0.4072,29.847,0.4124,EHT,40.45
hyb55,PHG35,PHJ40,102.8837,72.71357,61.86926,30.17,0.4149,41.014,0.4876,35.592,0.6095,EHT,41.49
hyb56,PHG35,PHZ51,109.42238,72.71357,87.00818,22.414,0.2576,36.709,0.3083,29.562,0.4597,EHT,25.76
hyb57,PHG39,PHG47,105.99855,86.27727,47.08585,19.721,0.2286,58.913,0.4188,39.317,0.8835,EHT,22.86
hyb58,PHG39,PHG84,115.58401,86.27727,73.19205,29.307,0.3397,42.392,0.4004,35.849,0.5317,EHT,33.97
hyb59,PHG39,PHJ40,110.54337,86.27727,61.86926,24.266,0.2813,48.674,0.3922,36.47,0.6571,EHT,28.13
hyb60,PHG39,PHZ51,128.07613,86.27727,87.00818,41.068,0.472,41.799,0.476,41.433,0.4824,EHT,47.2
hyb61,PHG47,PHG84,102.31069,47.08585,73.19205,29.119,0.3978,55.225,0.6184,42.172,0.9183,EHT,39.78
hyb62,PHG47,PHJ40,96.85868,47.08585,61.86926,34.989,0.5655,49.773,0.7431,42.381,0.9136,EHT,56.55
hyb63,PHG47,PHZ51,110.72995,47.08585,87.00818,23.722,0.2726,63.644,0.5038,43.683,0.9492,EHT,27.26
hyb64,PHG84,PHJ40,97.60779,73.19205,61.86926,24.416,0.3336,35.739,0.3946,30.077,0.5292,EHT,33.36
hyb65,PHG84,PHZ51,114.17483,73.19205,87.00818,27.167,0.3122,40.983,0.3712,34.075,0.5116,EHT,31.22
hyb66,PHJ40,PHZ51,108.31809,61.86926,87.00818,21.31,0.2449,46.449,0.3444,33.879,0.624,EHT,24.49
hyb1,B73,LH1,211.5865,179.5402,125.7387,32.046,0.1785,85.848,0.2549,58.947,0.5624,PHT,17.85
hyb2,B73,LH123HT,268.7837,179.5402,207.2093,61.574,0.2972,89.244,0.343,75.409,0.4615,PHT,29.72
hyb3,B73,LH82,211.6642,179.5402,125.8908,32.124,0.1789,85.773,0.2552,58.949,0.5617,PHT,17.89
hyb4,B73,MO17,244.8903,179.5402,179.3781,65.35,0.364,65.512,0.3643,65.431,0.3651,PHT,36.4
hyb5,B73,PH207,217.6899,179.5402,145.7262,38.15,0.2125,71.964,0.2618,55.057,0.4425,PHT,21.25
hyb6,B73,PHG35,231.0142,179.5402,172.9522,51.474,0.2867,58.062,0.2976,54.768,0.3294,PHT,28.67
hyb7,B73,PHG39,242.1224,179.5402,185.508,56.614,0.3052,62.582,0.3153,59.598,0.3429,PHT,30.52
hyb8,B73,PHG47,228.6805,179.5402,124.0231,49.14,0.2737,104.657,0.3962,76.899,0.6895,PHT,27.37
hyb9,B73,PHG84,250.704,179.5402,169.5083,71.164,0.3964,81.196,0.4198,76.18,0.4652,PHT,39.64
hyb10,B73,PHJ40,214.7458,179.5402,128.5431,35.206,0.1961,86.203,0.2739,60.704,0.5596,PHT,19.61
hyb11,B73,PHZ51,258.3178,179.5402,193.3971,64.921,0.3357,78.778,0.3616,71.849,0.4225,PHT,33.57
hyb12,LH1,LH123HT,236.4438,125.7387,207.2093,29.234,0.1411,110.705,0.2325,69.97,0.665,PHT,14.11
hyb13,LH1,LH82,176.4425,125.7387,125.8908,50.552,0.4016,50.704,0.402,50.628,0.403,PHT,40.16
hyb14,LH1,MO17,222.9518,125.7387,179.3781,43.574,0.2429,97.213,0.3465,70.393,0.6372,PHT,24.29
hyb15,LH1,PH207,182.8213,125.7387,145.7262,37.095,0.2546,57.083,0.295,47.089,0.4206,PHT,25.46
hyb16,LH1,PHG35,205.2367,125.7387,172.9522,32.285,0.1867,79.498,0.2568,55.891,0.5323,PHT,18.67
hyb17,LH1,PHG39,211.7088,125.7387,185.508,26.201,0.1412,85.97,0.2084,56.085,0.5524,PHT,14.12
hyb18,LH1,PHG47,199.9736,125.7387,124.0231,74.235,0.5904,75.951,0.5986,75.093,0.6082,PHT,59.04
hyb19,LH1,PHG84,218.7351,125.7387,169.5083,49.227,0.2904,92.996,0.3915,71.112,0.63,PHT,29.04
hyb20,LH1,PHJ40,206.2612,125.7387,128.5431,77.718,0.6046,80.523,0.6181,79.12,0.6333,PHT,60.46
hyb21,LH1,PHZ51,243.5339,125.7387,193.3971,50.137,0.2592,117.795,0.3987,83.966,0.7382,PHT,25.92
hyb22,LH123HT,LH82,215.458,207.2093,125.8908,8.249,0.0398,89.567,0.0655,48.908,0.5378,PHT,3.98
hyb23,LH123HT,MO17,244.3139,207.2093,179.3781,37.105,0.1791,64.936,0.2069,51.02,0.3359,PHT,17.91
hyb24,LH123HT,PH207,231.3787,207.2093,145.7262,24.169,0.1166,85.653,0.1659,54.911,0.4854,PHT,11.66
hyb25,LH123HT,PHG35,250.6067,207.2093,172.9522,43.397,0.2094,77.654,0.2509,60.526,0.4085,PHT,20.94
hyb26,LH123HT,PHG39,266.2418,207.2093,185.508,59.032,0.2849,80.734,0.3182,69.883,0.4112,PHT,28.49
hyb27,LH123HT,PHG47,239.3559,207.2093,124.0231,32.147,0.1551,115.333,0.2592,73.74,0.6964,PHT,15.51
hyb28,LH123HT,PHG84,245.2203,207.2093,169.5083,38.011,0.1834,75.712,0.2242,56.862,0.402,PHT,18.34
hyb29,LH123HT,PHJ40,214.3906,207.2093,128.5431,7.181,0.0347,85.847,0.0559,46.514,0.5114,PHT,3.47
hyb30,LH123HT,PHZ51,253.3262,207.2093,193.3971,46.117,0.2226,59.929,0.2385,53.023,0.2992,PHT,22.26
hyb31,LH82,MO17,200.2577,125.8908,179.3781,20.88,0.1164,74.367,0.1659,47.623,0.4872,PHT,11.64
hyb32,LH82,PH207,186.9708,125.8908,145.7262,41.245,0.283,61.08,0.3276,51.162,0.4498,PHT,28.3
hyb33,LH82,PHG35,194.7958,125.8908,172.9522,21.844,0.1263,68.905,0.1735,45.374,0.4611,PHT,12.63
hyb34,LH82,PHG39,210.4883,125.8908,185.508,24.98,0.1347,84.598,0.1984,54.789,0.5433,PHT,13.47
hyb35,LH82,PHG47,191.1365,125.8908,124.0231,65.246,0.5183,67.113,0.5261,66.18,0.5371,PHT,51.83
hyb36,LH82,PHG84,207.7678,125.8908,169.5083,38.26,0.2257,81.877,0.3039,60.068,0.5543,PHT,22.57
hyb37,LH82,PHJ40,186.9723,125.8908,128.5431,58.429,0.4545,61.081,0.4641,59.755,0.4801,PHT,45.45
hyb38,LH82,PHZ51,217.8551,125.8908,193.3971,24.458,0.1265,91.964,0.1943,58.211,0.5761,PHT,12.65
hyb39,MO17,PH207,225.2131,179.3781,145.7262,45.835,0.2555,79.487,0.3145,62.661,0.489,PHT,25.55
hyb40,MO17,PHG35,228.0506,179.3781,172.9522,48.673,0.2713,55.098,0.2814,51.885,0.3128,PHT,27.13
hyb41,MO17,PHG39,245.3271,179.3781,185.508,59.819,0.3225,65.949,0.3335,62.884,0.3615,PHT,32.25
hyb42,MO17,PHG47,219.8883,179.3781,124.0231,40.51,0.2258,95.865,0.3266,68.188,0.6319,PHT,22.58
hyb43,MO17,PHG84,237.9645,179.3781,169.5083,58.586,0.3266,68.456,0.3456,63.521,0.3924,PHT,32.66
hyb44,MO17,PHJ40,205.8237,179.3781,128.5431,26.446,0.1474,77.281,0.2057,51.863,0.502,PHT,14.74
hyb45,MO17,PHZ51,241.8996,179.3781,193.3971,48.502,0.2508,62.522,0.2704,55.512,0.3354,PHT,25.08
hyb46,PH207,PHG35,211.6653,145.7262,172.9522,38.713,0.2238,65.939,0.2657,52.326,0.4138,PHT,22.38
hyb47,PH207,PHG39,223.5668,145.7262,185.508,38.059,0.2052,77.841,0.2612,57.95,0.47,PHT,20.52
hyb48,PH207,PHG47,208.3284,145.7262,124.0231,62.602,0.4296,84.305,0.5048,73.454,0.6251,PHT,42.96
hyb49,PH207,PHG84,231.1209,145.7262,169.5083,61.613,0.3635,85.395,0.4228,73.504,0.5418,PHT,36.35
hyb50,PH207,PHJ40,205.9775,145.7262,128.5431,60.251,0.4135,77.434,0.4687,68.843,0.5647,PHT,41.35
hyb51,PH207,PHZ51,238.5492,145.7262,193.3971,45.152,0.2335,92.823,0.3098,68.988,0.5474,PHT,23.35
hyb52,PHG35,PHG39,232.7364,172.9522,185.508,47.228,0.2546,59.784,0.2731,53.506,0.3336,PHT,25.46
hyb53,PHG35,PHG47,218.9595,172.9522,124.0231,46.007,0.266,94.936,0.371,70.472,0.6394,PHT,26.6
hyb54,PHG35,PHG84,226.0771,172.9522,169.5083,53.125,0.3072,56.569,0.3134,54.847,0.3304,PHT,30.72
hyb55,PHG35,PHJ40,205.2838,172.9522,128.5431,32.332,0.1869,76.741,0.2515,54.536,0.5091,PHT,18.69
hyb56,PHG35,PHZ51,239.2151,172.9522,193.3971,45.818,0.2369,66.263,0.2649,56.04,0.3617,PHT,23.69
hyb57,PHG39,PHG47,231.5816,185.508,124.0231,46.074,0.2484,107.559,0.3715,76.816,0.695,PHT,24.84
hyb58,PHG39,PHG84,248.9521,185.508,169.5083,63.444,0.342,79.444,0.3743,71.444,0.4476,PHT,34.2
hyb59,PHG39,PHJ40,225.8608,185.508,128.5431,40.353,0.2175,97.318,0.3139,68.835,0.6198,PHT,21.75
hyb60,PHG39,PHZ51,264.2954,185.508,193.3971,70.898,0.3666,78.787,0.3822,74.843,0.4159,PHT,36.66
hyb61,PHG47,PHG84,228.0417,124.0231,169.5083,58.533,0.3453,104.019,0.472,81.276,0.7087,PHT,34.53
hyb62,PHG47,PHJ40,206.1406,124.0231,128.5431,77.597,0.6037,82.118,0.6257,79.858,0.6503,PHT,60.37
hyb63,PHG47,PHZ51,245.7316,124.0231,193.3971,52.334,0.2706,121.708,0.422,87.021,0.7669,PHT,27.06
hyb64,PHG84,PHJ40,215.1166,169.5083,128.5431,45.608,0.2691,86.573,0.3548,66.091,0.5809,PHT,26.91
hyb65,PHG84,PHZ51,247.8583,169.5083,193.3971,54.461,0.2816,78.35,0.3213,66.406,0.4318,PHT,28.16
hyb66,PHJ40,PHZ51,226.6742,128.5431,193.3971,33.277,0.1721,98.131,0.2589,65.704,0.6096,PHT,17.21
hyb1,B73,LH1,58.75938,55.77341,59.60612,-0.847,-0.0142,2.986,-0.0152,1.07,0.0518,TW,1.42
hyb2,B73,LH123HT,57.60379,55.77341,57.46858,0.135,0.0023,1.83,0.0024,0.983,0.0323,TW,0.23
hyb3,B73,LH82,56.43625,55.77341,58.26956,-1.833,-0.0315,0.663,-0.0329,-0.585,0.0116,TW,3.15
hyb4,B73,MO17,55.25585,55.77341,55.56046,-0.518,-0.0093,-0.305,-0.0093,-0.411,-0.0055,TW,0.93
hyb5,B73,PH207,56.70054,55.77341,52.38557,0.927,0.0166,4.315,0.0177,2.621,0.0798,TW,1.66
hyb6,B73,PHG35,57.21605,55.77341,56.9607,0.255,0.0045,1.443,0.0046,0.849,0.0256,TW,0.45
hyb7,B73,PHG39,59.19018,55.77341,56.96409,2.226,0.0391,3.417,0.0399,2.821,0.0606,TW,3.91
hyb8,B73,PHG47,54.58519,55.77341,56.18412,-1.599,-0.0285,-1.188,-0.0287,-1.394,-0.0212,TW,2.85
hyb9,B73,PHG84,58.36204,55.77341,56.95253,1.41,0.0248,2.589,0.0253,1.999,0.0459,TW,2.48
hyb10,B73,PHJ40,57.21487,55.77341,57.24215,-0.027,-5e-04,1.441,-5e-04,0.707,0.0255,TW,0.05
hyb11,B73,PHZ51,56.69923,55.77341,56.64187,0.057,0.001,0.926,0.001,0.492,0.0165,TW,0.1
hyb12,LH1,LH123HT,57.632,59.60612,57.46858,-1.974,-0.0331,0.163,-0.0343,-0.905,0.0028,TW,3.31
hyb13,LH1,LH82,57.77179,59.60612,58.26956,-1.834,-0.0308,-0.498,-0.0315,-1.166,-0.0084,TW,3.08
hyb14,LH1,MO17,57.69082,59.60612,55.56046,-1.915,-0.0321,2.13,-0.0345,0.108,0.037,TW,3.21
hyb15,LH1,PH207,57.33432,59.60612,52.38557,-2.272,-0.0381,4.949,-0.0434,1.338,0.0884,TW,3.81
hyb16,LH1,PHG35,57.11135,59.60612,56.9607,-2.495,-0.0419,0.151,-0.0438,-1.172,0.0026,TW,4.19
hyb17,LH1,PHG39,58.36756,59.60612,56.96409,-1.239,-0.0208,1.403,-0.0218,0.082,0.0241,TW,2.08
