Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb44,MO17,PHJ40,161.42923,74.87945,67.24853,86.55,1.1559,94.181,1.287,90.365,1.3253,GY,115.59
hyb45,MO17,PHZ51,165.88884,74.87945,56.27893,91.009,1.2154,109.61,1.6171,100.31,1.6714,GY,121.54
hyb46,PH207,PHG35,158.82418,73.38526,73.80703,85.017,1.1519,85.439,1.1585,85.228,1.1609,GY,115.19
hyb47,PH207,PHG39,171.55467,73.38526,37.24616,98.169,1.3377,134.309,2.6357,116.239,2.428,GY,133.77
hyb48,PH207,PHG47,169.94545,73.38526,64.27034,96.56,1.3158,105.675,1.5024,101.118,1.5354,GY,131.58
hyb49,PH207,PHG84,169.47838,73.38526,37.65306,96.093,1.3094,131.825,2.5521,113.959,2.3744,GY,130.94
hyb50,PH207,PHJ40,162.42959,73.38526,67.24853,89.044,1.2134,95.181,1.3241,92.113,1.3536,GY,121.34
hyb51,PH207,PHZ51,161.14633,73.38526,56.27893,87.761,1.1959,104.867,1.5594,96.314,1.6175,GY,119.59
hyb52,PHG35,PHG39,158.20506,73.80703,37.24616,84.398,1.1435,120.959,2.266,102.678,2.1784,GY,114.35
hyb53,PHG35,PHG47,174.47499,73.80703,64.27034,100.668,1.3639,110.205,1.5663,105.436,1.5963,GY,136.39
hyb54,PHG35,PHG84,171.46862,73.80703,37.65306,97.662,1.3232,133.816,2.5937,115.739,2.4011,GY,132.32
hyb55,PHG35,PHJ40,146.08003,73.80703,67.24853,72.273,0.9792,78.831,1.0747,75.552,1.1177,GY,97.92
hyb56,PHG35,PHZ51,166.82014,73.80703,56.27893,93.013,1.2602,110.541,1.6527,101.777,1.6995,GY,126.02
hyb57,PHG39,PHG47,192.59449,37.24616,64.27034,128.324,1.9966,155.348,3.4453,141.836,3.0605,GY,199.66
hyb59,PHG39,PHJ40,180.35588,37.24616,67.24853,113.107,1.6819,143.11,3.0367,128.109,2.7391,GY,168.19
hyb60,PHG39,PHZ51,190.76214,37.24616,56.27893,134.483,2.3896,153.516,3.6107,144,3.2829,GY,238.96
hyb61,PHG47,PHG84,183.0247,64.27034,37.65306,118.754,1.8477,145.372,3.1539,132.063,2.8526,GY,184.77
hyb62,PHG47,PHJ40,173.27456,64.27034,67.24853,106.026,1.5766,109.004,1.6497,107.515,1.6576,GY,157.66
hyb63,PHG47,PHZ51,184.85769,64.27034,56.27893,120.587,1.8762,128.579,2.1427,124.583,2.1332,GY,187.62
hyb64,PHG84,PHJ40,168.53233,37.65306,67.24853,101.284,1.5061,130.879,2.6899,116.082,2.4953,GY,150.61
hyb65,PHG84,PHZ51,133.50681,37.65306,56.27893,77.228,1.3722,95.854,2.051,86.541,2.0409,GY,137.22
hyb66,PHJ40,PHZ51,161.96581,67.24853,56.27893,94.717,1.4085,105.687,1.683,100.202,1.7111,GY,140.85
hyb1,B73,LH1,-1.910851,-2.043093,-4.678851,0.132,-0.0646,2.768,-0.0282,1.45,-0.8236,ASI,2.82
hyb2,B73,LH123HT,-0.713503,-2.043093,-0.896816,0.183,-0.2041,1.33,-0.0896,0.756,-0.9048,ASI,8.96
hyb3,B73,LH82,-1.18437,-2.043093,-0.682811,-0.502,0.7352,0.859,0.2457,0.179,-0.6302,ASI,-24.57
hyb4,B73,MO17,-1.555635,-2.043093,-4.220733,0.487,-0.2384,2.665,-0.1154,1.576,-0.8509,ASI,11.54
hyb5,B73,PH207,-1.094337,-2.043093,-2.815722,0.949,-0.4645,1.721,-0.337,1.335,-0.7084,ASI,33.7
