line,no,score
LH1,176495,0.794074743664126
MO17,189241,0.793428338024001
PHG35,156386,0.794179074744542
PHG47,187976,0.793298356981742
PHJ40,186689,0.794228233655973
LH123HT,175217,0.791799147268815
LH82,178001,0.793508707366813
PH207,172770,0.787735709440296
PHG39,160948,0.790966833225638
PHG84,195959,0.795605367515654
PHZ51,190908,0.791600975197477
